ward,precinct,total,"WALTER BURNETT, JR.","WALTER BURNETT, JR. Percent",CYNTHIA D. BEDNARZ,CYNTHIA D. BEDNARZ Percent,precinct_id
27,1,354,173,48.87,181,51.13,27001
27,2,263,178,67.68,85,32.32,27002
27,3,132,86,65.15,46,34.85,27003
27,4,130,83,63.85,47,36.15,27004
27,5,175,134,76.57,41,23.43,27005
27,6,214,149,69.63,65,30.37,27006
27,7,300,143,47.67,157,52.33,27007
27,8,151,116,76.82,35,23.18,27008
27,9,126,60,47.62,66,52.38,27009
27,10,320,286,89.38,34,10.63,27010
27,11,254,144,56.69,110,43.31,27011
27,12,164,81,49.39,83,50.61,27012
27,13,352,292,82.95,60,17.05,27013
27,14,92,74,80.43,18,19.57,27014
27,15,113,82,72.57,31,27.43,27015
27,16,196,83,42.35,113,57.65,27016
27,17,218,143,65.6,75,34.4,27017
27,18,153,118,77.12,35,22.88,27018
27,19,99,73,73.74,26,26.26,27019
27,20,126,97,76.98,29,23.02,27020
27,21,225,121,53.78,104,46.22,27021
27,22,111,90,81.08,21,18.92,27022
27,23,183,159,86.89,24,13.11,27023
27,24,127,86,67.72,41,32.28,27024
27,25,235,165,70.21,70,29.79,27025
27,26,206,157,76.21,49,23.79,27026
27,27,246,200,81.3,46,18.7,27027
27,28,176,114,64.77,62,35.23,27028
27,29,135,88,65.19,47,34.81,27029
27,30,113,78,69.03,35,30.97,27030
27,31,178,141,79.21,37,20.79,27031
27,32,219,162,73.97,57,26.03,27032
27,33,229,136,59.39,93,40.61,27033
27,34,192,160,83.33,32,16.67,27034
27,35,252,138,54.76,114,45.24,27035
27,36,181,132,72.93,49,27.07,27036
27,37,309,225,72.82,84,27.18,27037
27,38,296,207,69.93,89,30.07,27038
27,39,198,146,73.74,52,26.26,27039
27,40,277,177,63.9,100,36.1,27040
27,41,232,212,91.38,20,8.62,27041
27,42,168,104,61.9,64,38.1,27042
27,43,137,99,72.26,38,27.74,27043
27,44,138,116,84.06,22,15.94,27044
27,45,355,174,49.01,181,50.99,27045
27,46,186,110,59.14,76,40.86,27046
27,47,205,147,71.71,58,28.29,27047
27,48,333,225,67.57,108,32.43,27048
27,49,168,124,73.81,44,26.19,27049
27,50,211,174,82.46,37,17.54,27050
