ward,precinct,total,GILBERT VILLEGAS,GILBERT VILLEGAS Percent,precinct_id
36,1,193,193,100.0,36001
36,2,161,161,100.0,36002
36,3,168,168,100.0,36003
36,4,148,148,100.0,36004
36,5,154,154,100.0,36005
36,6,143,143,100.0,36006
36,7,279,279,100.0,36007
36,8,131,131,100.0,36008
36,9,124,124,100.0,36009
36,10,236,236,100.0,36010
36,11,126,126,100.0,36011
36,12,99,99,100.0,36012
36,13,116,116,100.0,36013
36,14,234,234,100.0,36014
36,15,210,210,100.0,36015
36,16,248,248,100.0,36016
36,17,269,269,100.0,36017
36,18,226,226,100.0,36018
36,19,187,187,100.0,36019
36,20,212,212,100.0,36020
36,21,115,115,100.0,36021
36,22,114,114,100.0,36022
36,23,127,127,100.0,36023
36,24,196,196,100.0,36024
36,25,148,148,100.0,36025
36,26,191,191,100.0,36026
36,27,183,183,100.0,36027
36,28,186,186,100.0,36028
36,29,251,251,100.0,36029
36,30,201,201,100.0,36030
