ward,precinct,total,PATRICK J. O'CONNOR,PATRICK J. O'CONNOR Percent,ANDRÃ‰ VASQUEZ,ANDRÃ‰ VASQUEZ Percent,precinct_id
40,1,302,208,68.87,94,31.13,40001
40,2,317,210,66.25,107,33.75,40002
40,3,432,172,39.81,260,60.19,40003
40,4,231,127,54.98,104,45.02,40004
40,5,397,190,47.86,207,52.14,40005
40,6,425,125,29.41,300,70.59,40006
40,7,376,167,44.41,209,55.59,40007
40,8,453,135,29.8,318,70.2,40008
40,9,256,142,55.47,114,44.53,40009
40,10,281,146,51.96,135,48.04,40010
40,11,402,172,42.79,230,57.21,40011
40,12,296,140,47.3,156,52.7,40012
40,13,514,139,27.04,375,72.96,40013
40,14,246,150,60.98,96,39.02,40014
40,15,311,195,62.7,116,37.3,40015
40,16,505,164,32.48,341,67.52,40016
40,17,344,191,55.52,153,44.48,40017
40,18,211,85,40.28,126,59.72,40018
40,19,403,231,57.32,172,42.68,40019
40,20,310,179,57.74,131,42.26,40020
40,21,446,207,46.41,239,53.59,40021
40,22,385,176,45.71,209,54.29,40022
40,23,482,166,34.44,316,65.56,40023
40,24,261,167,63.98,94,36.02,40024
40,25,454,189,41.63,265,58.37,40025
40,26,384,157,40.89,227,59.11,40026
40,27,437,168,38.44,269,61.56,40027
40,28,376,119,31.65,257,68.35,40028
40,29,390,260,66.67,130,33.33,40029
40,30,412,293,71.12,119,28.88,40030
40,31,417,152,36.45,265,63.55,40031
40,32,434,156,35.94,278,64.06,40032
40,33,407,163,40.05,244,59.95,40033
40,34,284,208,73.24,76,26.76,40034
40,35,199,110,55.28,89,44.72,40035
40,36,364,169,46.43,195,53.57,40036
40,37,293,123,41.98,170,58.02,40037
40,38,421,136,32.3,285,67.7,40038
40,39,82,44,53.66,38,46.34,40039
