ward,precinct,total,Marie Newman,Marie Newman Percent,Rush Darwish,Rush Darwish Percent,Daniel William Lipinski,Daniel William Lipinski Percent,Charles M. Hughes,Charles M. Hughes Percent,precinct_id
11,1,315,195,61.9,17,5.4,91,28.89,12,3.81,11001
11,4,220,124,56.36,7,3.18,83,37.73,6,2.73,11004
11,5,391,289,73.91,21,5.37,72,18.41,9,2.3,11005
11,8,251,152,60.56,11,4.38,76,30.28,12,4.78,11008
11,9,255,168,65.88,8,3.14,73,28.63,6,2.35,11009
11,10,253,140,55.34,10,3.95,95,37.55,8,3.16,11010
11,11,259,166,64.09,12,4.63,75,28.96,6,2.32,11011
11,12,374,143,38.24,10,2.67,205,54.81,16,4.28,11012
11,13,314,124,39.49,8,2.55,173,55.1,9,2.87,11013
11,15,103,67,65.05,4,3.88,25,24.27,7,6.8,11015
11,16,189,82,43.39,7,3.7,92,48.68,8,4.23,11016
11,17,386,266,68.91,14,3.63,105,27.2,1,0.26,11017
11,18,241,105,43.57,16,6.64,116,48.13,4,1.66,11018
11,19,366,258,70.49,9,2.46,93,25.41,6,1.64,11019
11,20,203,101,49.75,7,3.45,88,43.35,7,3.45,11020
11,21,386,168,43.52,10,2.59,199,51.55,9,2.33,11021
11,22,350,196,56.0,17,4.86,126,36.0,11,3.14,11022
11,23,202,94,46.53,8,3.96,93,46.04,7,3.47,11023
11,24,398,151,37.94,12,3.02,224,56.28,11,2.76,11024
11,25,339,223,65.78,6,1.77,102,30.09,8,2.36,11025
11,26,336,203,60.42,7,2.08,123,36.61,3,0.89,11026
11,27,92,59,64.13,1,1.09,30,32.61,2,2.17,11027
11,28,102,47,46.08,2,1.96,48,47.06,5,4.9,11028
11,29,319,151,47.34,9,2.82,147,46.08,12,3.76,11029
11,31,281,127,45.2,11,3.91,132,46.98,11,3.91,11031
11,32,127,46,36.22,8,6.3,70,55.12,3,2.36,11032
11,37,1,1,100.0,0,0.0,0,0.0,0,0.0,11037
12,1,284,178,62.68,14,4.93,87,30.63,5,1.76,12001
12,3,301,203,67.44,11,3.65,81,26.91,6,1.99,12003
12,4,304,195,64.14,11,3.62,87,28.62,11,3.62,12004
12,5,88,43,48.86,4,4.55,36,40.91,5,5.68,12005
12,8,11,10,90.91,0,0.0,0,0.0,1,9.09,12008
12,9,221,135,61.09,12,5.43,69,31.22,5,2.26,12009
12,19,240,154,64.17,6,2.5,72,30.0,8,3.33,12019
12,23,296,194,65.54,15,5.07,80,27.03,7,2.36,12023
13,1,205,86,41.95,3,1.46,113,55.12,3,1.46,13001
13,2,203,68,33.5,3,1.48,126,62.07,6,2.96,13002
13,3,187,98,52.41,2,1.07,84,44.92,3,1.6,13003
13,4,216,64,29.63,6,2.78,141,65.28,5,2.31,13004
13,5,242,118,48.76,8,3.31,113,46.69,3,1.24,13005
13,6,253,77,30.43,5,1.98,167,66.01,4,1.58,13006
13,7,170,76,44.71,4,2.35,83,48.82,7,4.12,13007
13,8,169,76,44.97,0,0.0,89,52.66,4,2.37,13008
13,9,214,115,53.74,7,3.27,87,40.65,5,2.34,13009
13,10,221,58,26.24,2,0.9,158,71.49,3,1.36,13010
