ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,precinct_id
28,1,99,99,100.0,28001
28,12,132,132,100.0,28012
28,14,148,148,100.0,28014
28,31,232,232,100.0,28031
28,39,104,104,100.0,28039
28,41,112,112,100.0,28041
28,42,109,109,100.0,28042
28,43,172,172,100.0,28043
29,2,268,268,100.0,29002
29,3,229,229,100.0,29003
29,6,136,136,100.0,29006
29,8,164,164,100.0,29008
29,11,109,109,100.0,29011
29,14,210,210,100.0,29014
29,16,197,197,100.0,29016
29,18,189,189,100.0,29018
29,19,207,207,100.0,29019
29,20,212,212,100.0,29020
29,21,232,232,100.0,29021
29,22,175,175,100.0,29022
29,28,264,264,100.0,29028
29,34,154,154,100.0,29034
29,42,237,237,100.0,29042
37,1,157,157,100.0,37001
37,5,187,187,100.0,37005
37,6,187,187,100.0,37006
37,9,175,175,100.0,37009
37,10,216,216,100.0,37010
37,11,92,92,100.0,37011
37,14,176,176,100.0,37014
37,15,192,192,100.0,37015
37,16,189,189,100.0,37016
37,17,130,130,100.0,37017
37,20,136,136,100.0,37020
37,22,53,53,100.0,37022
37,23,179,179,100.0,37023
37,24,174,174,100.0,37024
37,25,164,164,100.0,37025
37,26,226,226,100.0,37026
37,27,159,159,100.0,37027
37,29,68,68,100.0,37029
37,30,144,144,100.0,37030
37,31,177,177,100.0,37031
37,32,149,149,100.0,37032
37,33,202,202,100.0,37033
37,34,168,168,100.0,37034
37,36,146,146,100.0,37036
37,38,203,203,100.0,37038
37,39,157,157,100.0,37039
37,40,192,192,100.0,37040
37,41,166,166,100.0,37041
