ward,precinct,total,Aaron M. Ortiz,Aaron M. Ortiz Percent,Alicia Elena Martinez,Alicia Elena Martinez Percent,precinct_id
12,20,21,10,47.62,11,52.38,12020
14,1,230,91,39.57,139,60.43,14001
14,2,288,199,69.1,89,30.9,14002
14,4,203,105,51.72,98,48.28,14004
14,5,306,205,66.99,101,33.01,14005
14,6,95,53,55.79,42,44.21,14006
14,7,270,175,64.81,95,35.19,14007
14,8,236,142,60.17,94,39.83,14008
14,9,289,125,43.25,164,56.75,14009
14,10,145,94,64.83,51,35.17,14010
14,12,196,115,58.67,81,41.33,14012
14,13,192,107,55.73,85,44.27,14013
14,14,228,163,71.49,65,28.51,14014
14,16,165,111,67.27,54,32.73,14016
14,17,194,131,67.53,63,32.47,14017
14,18,63,31,49.21,32,50.79,14018
14,19,162,117,72.22,45,27.78,14019
14,20,157,88,56.05,69,43.95,14020
14,21,162,122,75.31,40,24.69,14021
14,22,78,42,53.85,36,46.15,14022
14,23,150,63,42.0,87,58.0,14023
14,24,278,98,35.25,180,64.75,14024
14,25,129,94,72.87,35,27.13,14025
14,26,171,115,67.25,56,32.75,14026
14,27,231,156,67.53,75,32.47,14027
14,28,163,108,66.26,55,33.74,14028
14,29,199,151,75.88,48,24.12,14029
14,30,121,83,68.6,38,31.4,14030
14,31,133,96,72.18,37,27.82,14031
15,3,22,16,72.73,6,27.27,15003
15,4,212,123,58.02,89,41.98,15004
15,8,196,134,68.37,62,31.63,15008
15,9,46,24,52.17,22,47.83,15009
15,10,129,69,53.49,60,46.51,15010
15,11,123,68,55.28,55,44.72,15011
15,12,200,114,57.0,86,43.0,15012
15,16,234,103,44.02,131,55.98,15016
15,19,184,103,55.98,81,44.02,15019
16,1,193,127,65.8,66,34.2,16001
16,2,46,20,43.48,26,56.52,16002
16,7,143,92,64.34,51,35.66,16007
16,11,143,76,53.15,67,46.85,16011
16,13,142,77,54.23,65,45.77,16013
16,17,120,59,49.17,61,50.83,16017
16,23,158,85,53.8,73,46.2,16023
16,32,169,85,50.3,84,49.7,16032
16,35,200,98,49.0,102,51.0,16035
17,1,141,77,54.61,64,45.39,17001
17,7,170,73,42.94,97,57.06,17007
17,12,242,148,61.16,94,38.84,17012
17,14,146,76,52.05,70,47.95,17014
17,16,163,86,52.76,77,47.24,17016
17,30,49,28,57.14,21,42.86,17030
22,1,122,82,67.21,40,32.79,22001
22,2,252,122,48.41,130,51.59,22002
22,8,266,176,66.17,90,33.83,22008
22,12,174,114,65.52,60,34.48,22012
22,23,263,203,77.19,60,22.81,22023
23,3,159,73,45.91,86,54.09,23003
23,6,30,20,66.67,10,33.33,23006
23,12,15,6,40.0,9,60.0,23012
23,14,165,75,45.45,90,54.55,23014
23,17,96,49,51.04,47,48.96,23017
23,19,177,88,49.72,89,50.28,23019
23,20,4,2,50.0,2,50.0,23020
23,22,124,55,44.35,69,55.65,23022
23,24,83,50,60.24,33,39.76,23024
23,25,140,69,49.29,71,50.71,23025
23,26,73,49,67.12,24,32.88,23026
23,31,178,92,51.69,86,48.31,23031
23,37,66,29,43.94,37,56.06,23037
