ward,precinct,total,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,28,69,69,100.0,01028
1,42,23,23,100.0,01042
2,20,58,58,100.0,02020
2,22,270,270,100.0,02022
2,24,197,197,100.0,02024
2,26,195,195,100.0,02026
32,1,200,200,100.0,32001
32,5,18,18,100.0,32005
32,7,288,288,100.0,32007
32,8,301,301,100.0,32008
32,9,245,245,100.0,32009
32,10,271,271,100.0,32010
32,13,259,259,100.0,32013
32,15,261,261,100.0,32015
32,16,265,265,100.0,32016
32,18,234,234,100.0,32018
32,19,233,233,100.0,32019
32,21,321,321,100.0,32021
32,23,272,272,100.0,32023
32,24,171,171,100.0,32024
32,25,254,254,100.0,32025
32,27,217,217,100.0,32027
32,29,78,78,100.0,32029
32,30,215,215,100.0,32030
32,33,126,126,100.0,32033
32,34,60,60,100.0,32034
32,36,11,11,100.0,32036
32,37,122,122,100.0,32037
32,38,238,238,100.0,32038
32,39,250,250,100.0,32039
32,40,281,281,100.0,32040
32,41,274,274,100.0,32041
32,42,225,225,100.0,32042
33,3,58,58,100.0,33003
33,5,51,51,100.0,33005
33,8,471,471,100.0,33008
33,10,239,239,100.0,33010
33,20,49,49,100.0,33020
33,23,335,335,100.0,33023
33,24,449,449,100.0,33024
43,2,282,282,100.0,43002
43,6,189,189,100.0,43006
43,9,245,245,100.0,43009
43,16,323,323,100.0,43016
43,17,186,186,100.0,43017
43,18,300,300,100.0,43018
43,20,302,302,100.0,43020
43,21,276,276,100.0,43021
43,22,193,193,100.0,43022
43,24,163,163,100.0,43024
43,29,349,349,100.0,43029
43,30,316,316,100.0,43030
43,31,247,247,100.0,43031
43,37,261,261,100.0,43037
43,39,194,194,100.0,43039
43,40,212,212,100.0,43040
43,41,366,366,100.0,43041
43,44,259,259,100.0,43044
43,46,150,150,100.0,43046
44,2,267,267,100.0,44002
44,9,262,262,100.0,44009
44,11,231,231,100.0,44011
44,16,353,353,100.0,44016
44,25,272,272,100.0,44025
44,30,344,344,100.0,44030
47,1,212,212,100.0,47001
47,2,325,325,100.0,47002
47,3,279,279,100.0,47003
47,4,387,387,100.0,47004
47,5,184,184,100.0,47005
47,6,344,344,100.0,47006
47,7,301,301,100.0,47007
47,8,335,335,100.0,47008
47,9,271,271,100.0,47009
47,11,299,299,100.0,47011
47,12,338,338,100.0,47012
47,13,357,357,100.0,47013
47,14,309,309,100.0,47014
47,16,334,334,100.0,47016
47,17,321,321,100.0,47017
47,18,308,308,100.0,47018
47,21,319,319,100.0,47021
47,24,346,346,100.0,47024
47,25,357,357,100.0,47025
47,27,289,289,100.0,47027
47,28,25,25,100.0,47028
47,29,335,335,100.0,47029
47,33,297,297,100.0,47033
47,35,324,324,100.0,47035
47,39,333,333,100.0,47039
47,40,370,370,100.0,47040
47,41,79,79,100.0,47041
47,43,273,273,100.0,47043
47,44,234,234,100.0,47044
47,46,299,299,100.0,47046
47,47,377,377,100.0,47047
47,48,33,33,100.0,47048
