ward,precinct,total,Kam Buckner,Kam Buckner Percent,precinct_id
2,2,155,155,100.0,02002
2,10,121,121,100.0,02010
2,11,199,199,100.0,02011
2,13,214,214,100.0,02013
2,18,210,210,100.0,02018
2,19,102,102,100.0,02019
2,23,145,145,100.0,02023
2,27,101,101,100.0,02027
2,29,142,142,100.0,02029
2,34,194,194,100.0,02034
2,42,76,76,100.0,02042
3,2,22,22,100.0,03002
3,4,295,295,100.0,03004
3,11,49,49,100.0,03011
3,12,112,112,100.0,03012
3,19,269,269,100.0,03019
3,21,90,90,100.0,03021
3,27,137,137,100.0,03027
3,30,221,221,100.0,03030
3,31,170,170,100.0,03031
4,3,178,178,100.0,04003
4,4,342,342,100.0,04004
4,6,93,93,100.0,04006
4,7,341,341,100.0,04007
4,8,297,297,100.0,04008
4,11,161,161,100.0,04011
4,12,310,310,100.0,04012
4,15,53,53,100.0,04015
4,18,265,265,100.0,04018
4,19,176,176,100.0,04019
4,23,68,68,100.0,04023
4,24,238,238,100.0,04024
4,26,235,235,100.0,04026
4,28,246,246,100.0,04028
4,29,223,223,100.0,04029
4,30,305,305,100.0,04030
4,32,287,287,100.0,04032
4,33,273,273,100.0,04033
4,34,46,46,100.0,04034
4,35,307,307,100.0,04035
4,36,163,163,100.0,04036
4,38,206,206,100.0,04038
5,4,313,313,100.0,05004
5,5,195,195,100.0,05005
5,6,178,178,100.0,05006
5,10,176,176,100.0,05010
5,13,187,187,100.0,05013
5,14,27,27,100.0,05014
5,15,243,243,100.0,05015
5,16,209,209,100.0,05016
5,17,64,64,100.0,05017
5,21,93,93,100.0,05021
5,28,122,122,100.0,05028
5,30,76,76,100.0,05030
5,36,88,88,100.0,05036
7,1,131,131,100.0,07001
7,2,159,159,100.0,07002
7,3,215,215,100.0,07003
7,4,189,189,100.0,07004
7,10,213,213,100.0,07010
7,11,9,9,100.0,07011
7,15,184,184,100.0,07015
7,16,35,35,100.0,07016
7,17,1,1,100.0,07017
7,19,164,164,100.0,07019
7,20,122,122,100.0,07020
7,21,28,28,100.0,07021
7,23,192,192,100.0,07023
7,24,130,130,100.0,07024
7,25,119,119,100.0,07025
7,28,24,24,100.0,07028
7,30,19,19,100.0,07030
7,31,116,116,100.0,07031
7,33,3,3,100.0,07033
8,1,7,7,100.0,08001
8,2,82,82,100.0,08002
8,21,0,0,0.0,08021
8,42,219,219,100.0,08042
10,18,80,80,100.0,10018
10,27,121,121,100.0,10027
10,34,65,65,100.0,10034
10,36,0,0,0.0,10036
20,5,229,229,100.0,20005
20,9,278,278,100.0,20009
20,16,230,230,100.0,20016
20,22,249,249,100.0,20022
20,24,67,67,100.0,20024
42,1,175,175,100.0,42001
42,2,196,196,100.0,42002
42,4,408,408,100.0,42004
42,6,236,236,100.0,42006
42,7,234,234,100.0,42007
42,8,222,222,100.0,42008
42,11,85,85,100.0,42011
42,13,227,227,100.0,42013
42,19,77,77,100.0,42019
42,24,145,145,100.0,42024
42,26,253,253,100.0,42026
42,28,209,209,100.0,42028
42,29,181,181,100.0,42029
42,30,160,160,100.0,42030
42,31,240,240,100.0,42031
42,34,178,178,100.0,42034
42,35,276,276,100.0,42035
42,40,173,173,100.0,42040
43,35,215,215,100.0,43035
