ward,precinct,total,Thaddeus Jones,Thaddeus Jones Percent,DeAndre Tillman,DeAndre Tillman Percent,precinct_id
9,3,139,67,48.2,72,51.8,09003
9,4,57,34,59.65,23,40.35,09004
9,7,132,75,56.82,57,43.18,09007
9,11,156,93,59.62,63,40.38,09011
9,15,188,83,44.15,105,55.85,09015
9,16,247,157,63.56,90,36.44,09016
9,18,157,82,52.23,75,47.77,09018
9,26,189,116,61.38,73,38.62,09026
9,28,76,53,69.74,23,30.26,09028
9,31,11,9,81.82,2,18.18,09031
9,33,162,101,62.35,61,37.65,09033
9,41,194,117,60.31,77,39.69,09041
9,44,172,94,54.65,78,45.35,09044
9,45,161,102,63.35,59,36.65,09045
