ward,precinct,total,"Jaime M. Andrade, Jr.","Jaime M. Andrade, Jr. Percent",Syamala Krishnamsetty,Syamala Krishnamsetty Percent,precinct_id
1,41,14,6,42.86,8,57.14,01041
1,42,15,10,66.67,5,33.33,01042
30,3,191,114,59.69,77,40.31,30003
30,7,4,3,75.0,1,25.0,30007
30,8,290,169,58.28,121,41.72,30008
30,15,278,205,73.74,73,26.26,30015
30,18,162,79,48.77,83,51.23,30018
30,22,329,193,58.66,136,41.34,30022
30,23,8,5,62.5,3,37.5,30023
30,24,258,119,46.12,139,53.88,30024
30,25,133,69,51.88,64,48.12,30025
30,28,256,164,64.06,92,35.94,30028
30,32,210,122,58.1,88,41.9,30032
32,1,99,57,57.58,42,42.42,32001
32,3,177,83,46.89,94,53.11,32003
32,17,349,183,52.44,166,47.56,32017
32,26,161,100,62.11,61,37.89,32026
32,28,146,78,53.42,68,46.58,32028
32,43,287,129,44.95,158,55.05,32043
33,1,365,244,66.85,121,33.15,33001
33,2,222,113,50.9,109,49.1,33002
33,3,400,232,58.0,168,42.0,33003
33,4,434,285,65.67,149,34.33,33004
33,5,209,139,66.51,70,33.49,33005
33,6,288,246,85.42,42,14.58,33006
33,7,254,146,57.48,108,42.52,33007
33,9,334,235,70.36,99,29.64,33009
33,11,321,230,71.65,91,28.35,33011
33,12,295,219,74.24,76,25.76,33012
33,13,308,203,65.91,105,34.09,33013
33,14,127,79,62.2,48,37.8,33014
33,15,309,216,69.9,93,30.1,33015
33,16,420,316,75.24,104,24.76,33016
33,17,305,223,73.11,82,26.89,33017
33,18,293,132,45.05,161,54.95,33018
33,19,360,231,64.17,129,35.83,33019
33,20,345,230,66.67,115,33.33,33020
33,21,336,251,74.7,85,25.3,33021
33,22,291,253,86.94,38,13.06,33022
33,25,397,294,74.06,103,25.94,33025
33,26,225,110,48.89,115,51.11,33026
33,27,363,207,57.02,156,42.98,33027
33,28,321,167,52.02,154,47.98,33028
35,1,269,143,53.16,126,46.84,35001
35,4,263,181,68.82,82,31.18,35004
35,5,216,126,58.33,90,41.67,35005
35,6,255,139,54.51,116,45.49,35006
35,9,198,143,72.22,55,27.78,35009
35,20,238,160,67.23,78,32.77,35020
35,22,317,197,62.15,120,37.85,35022
35,23,266,180,67.67,86,32.33,35023
35,24,227,134,59.03,93,40.97,35024
35,26,232,175,75.43,57,24.57,35026
35,27,227,165,72.69,62,27.31,35027
35,29,203,136,67.0,67,33.0,35029
35,30,187,121,64.71,66,35.29,35030
35,31,235,167,71.06,68,28.94,35031
39,3,330,231,70.0,99,30.0,39003
39,6,1,1,100.0,0,0.0,39006
39,12,137,82,59.85,55,40.15,39012
39,25,144,87,60.42,57,39.58,39025
39,28,369,250,67.75,119,32.25,39028
39,31,182,131,71.98,51,28.02,39031
39,34,270,156,57.78,114,42.22,39034
45,1,248,177,71.37,71,28.63,45001
45,2,259,180,69.5,79,30.5,45002
45,3,287,213,74.22,74,25.78,45003
45,4,376,272,72.34,104,27.66,45004
45,5,317,244,76.97,73,23.03,45005
45,6,405,270,66.67,135,33.33,45006
45,7,408,322,78.92,86,21.08,45007
45,8,19,15,78.95,4,21.05,45008
