ward,precinct,total,Erin Haggerty Antonietti,Erin Haggerty Antonietti Percent,Thomas G. O'Brien,Thomas G. O'Brien Percent,precinct_id
13,1,168,121,72.02,47,27.98,13001
13,2,160,113,70.63,47,29.38,13002
13,3,166,99,59.64,67,40.36,13003
13,4,183,124,67.76,59,32.24,13004
13,5,222,144,64.86,78,35.14,13005
13,6,211,153,72.51,58,27.49,13006
13,7,144,106,73.61,38,26.39,13007
13,8,136,92,67.65,44,32.35,13008
13,9,183,123,67.21,60,32.79,13009
13,10,176,118,67.05,58,32.95,13010
13,11,226,157,69.47,69,30.53,13011
13,12,172,115,66.86,57,33.14,13012
13,13,202,127,62.87,75,37.13,13013
13,14,166,112,67.47,54,32.53,13014
13,15,296,203,68.58,93,31.42,13015
13,16,124,82,66.13,42,33.87,13016
13,17,141,96,68.09,45,31.91,13017
13,18,147,106,72.11,41,27.89,13018
13,19,256,178,69.53,78,30.47,13019
13,20,125,88,70.4,37,29.6,13020
13,21,197,141,71.57,56,28.43,13021
13,22,180,129,71.67,51,28.33,13022
13,23,134,96,71.64,38,28.36,13023
13,24,179,121,67.6,58,32.4,13024
13,25,189,124,65.61,65,34.39,13025
13,26,166,109,65.66,57,34.34,13026
13,27,176,103,58.52,73,41.48,13027
13,28,156,101,64.74,55,35.26,13028
13,29,146,94,64.38,52,35.62,13029
13,30,162,109,67.28,53,32.72,13030
13,31,188,130,69.15,58,30.85,13031
13,32,162,101,62.35,61,37.65,13032
13,33,191,134,70.16,57,29.84,13033
13,34,275,218,79.27,57,20.73,13034
13,35,219,144,65.75,75,34.25,13035
13,36,129,85,65.89,44,34.11,13036
13,37,190,128,67.37,62,32.63,13037
13,38,172,126,73.26,46,26.74,13038
13,39,178,125,70.22,53,29.78,13039
13,40,169,105,62.13,64,37.87,13040
13,41,227,155,68.28,72,31.72,13041
13,42,199,142,71.36,57,28.64,13042
13,43,187,118,63.1,69,36.9,13043
13,44,192,134,69.79,58,30.21,13044
13,45,246,174,70.73,72,29.27,13045
13,46,205,146,71.22,59,28.78,13046
13,47,224,168,75.0,56,25.0,13047
13,48,172,123,71.51,49,28.49,13048
14,1,213,126,59.15,87,40.85,14001
14,2,251,154,61.35,97,38.65,14002
14,3,159,85,53.46,74,46.54,14003
14,4,163,103,63.19,60,36.81,14004
14,7,240,136,56.67,104,43.33,14007
14,8,199,115,57.79,84,42.21,14008
14,9,240,155,64.58,85,35.42,14009
14,12,177,106,59.89,71,40.11,14012
14,13,172,106,61.63,66,38.37,14013
14,18,90,50,55.56,40,44.44,14018
14,22,244,142,58.2,102,41.8,14022
14,23,155,86,55.48,69,44.52,14023
14,24,224,131,58.48,93,41.52,14024
14,27,202,115,56.93,87,43.07,14027
14,28,137,82,59.85,55,40.15,14028
15,22,59,26,44.07,33,55.93,15022
16,29,39,23,58.97,16,41.03,16029
17,1,193,113,58.55,80,41.45,17001
17,3,161,81,50.31,80,49.69,17003
17,8,124,65,52.42,59,47.58,17008
17,11,130,70,53.85,60,46.15,17011
17,12,66,43,65.15,23,34.85,17012
17,14,47,28,59.57,19,40.43,17014
17,17,165,87,52.73,78,47.27,17017
17,19,58,31,53.45,27,46.55,17019
17,25,22,15,68.18,7,31.82,17025
17,30,128,62,48.44,66,51.56,17030
17,31,103,60,58.25,43,41.75,17031
17,32,140,79,56.43,61,43.57,17032
17,33,76,39,51.32,37,48.68,17033
17,34,104,57,54.81,47,45.19,17034
17,35,7,4,57.14,3,42.86,17035
17,36,110,60,54.55,50,45.45,17036
17,37,165,91,55.15,74,44.85,17037
17,40,0,0,0.0,0,0.0,17040
18,1,184,122,66.3,62,33.7,18001
18,2,171,101,59.06,70,40.94,18002
18,3,147,102,69.39,45,30.61,18003
18,4,237,171,72.15,66,27.85,18004
