ward,precinct,total,Jamie Guerra Dickler,Jamie Guerra Dickler Percent,Anne Shaw,Anne Shaw Percent,precinct_id
1,1,255,145,56.86,110,43.14,01001
1,2,237,127,53.59,110,46.41,01002
1,3,268,158,58.96,110,41.04,01003
1,4,229,137,59.83,92,40.17,01004
1,5,241,147,61.0,94,39.0,01005
1,6,208,108,51.92,100,48.08,01006
1,7,194,117,60.31,77,39.69,01007
1,8,181,97,53.59,84,46.41,01008
1,9,172,110,63.95,62,36.05,01009
1,10,240,142,59.17,98,40.83,01010
1,11,251,141,56.18,110,43.82,01011
1,12,298,166,55.7,132,44.3,01012
1,13,119,76,63.87,43,36.13,01013
1,14,238,143,60.08,95,39.92,01014
1,15,194,102,52.58,92,47.42,01015
1,16,326,195,59.82,131,40.18,01016
1,17,243,143,58.85,100,41.15,01017
1,18,229,120,52.4,109,47.6,01018
1,19,263,162,61.6,101,38.4,01019
1,20,230,119,51.74,111,48.26,01020
1,21,291,141,48.45,150,51.55,01021
1,22,145,85,58.62,60,41.38,01022
1,23,396,257,64.9,139,35.1,01023
1,24,244,126,51.64,118,48.36,01024
1,25,229,123,53.71,106,46.29,01025
1,26,170,87,51.18,83,48.82,01026
1,27,262,171,65.27,91,34.73,01027
1,28,69,28,40.58,41,59.42,01028
1,29,284,178,62.68,106,37.32,01029
1,30,288,150,52.08,138,47.92,01030
1,31,169,94,55.62,75,44.38,01031
1,32,214,121,56.54,93,43.46,01032
1,33,269,140,52.04,129,47.96,01033
1,34,211,138,65.4,73,34.6,01034
1,35,282,159,56.38,123,43.62,01035
1,36,250,138,55.2,112,44.8,01036
1,37,194,108,55.67,86,44.33,01037
1,38,180,89,49.44,91,50.56,01038
1,39,169,96,56.8,73,43.2,01039
1,40,242,133,54.96,109,45.04,01040
1,41,157,88,56.05,69,43.95,01041
1,42,68,43,63.24,25,36.76,01042
1,43,149,89,59.73,60,40.27,01043
1,44,202,122,60.4,80,39.6,01044
2,1,230,140,60.87,90,39.13,02001
2,3,252,152,60.32,100,39.68,02003
2,4,217,125,57.6,92,42.4,02004
2,5,267,146,54.68,121,45.32,02005
2,6,227,127,55.95,100,44.05,02006
2,7,155,92,59.35,63,40.65,02007
2,8,226,150,66.37,76,33.63,02008
2,14,287,171,59.58,116,40.42,02014
2,15,218,131,60.09,87,39.91,02015
2,16,209,136,65.07,73,34.93,02016
2,17,298,194,65.1,104,34.9,02017
2,20,28,13,46.43,15,53.57,02020
2,21,263,172,65.4,91,34.6,02021
2,25,241,144,59.75,97,40.25,02025
26,1,179,91,50.84,88,49.16,26001
26,2,44,18,40.91,26,59.09,26002
26,3,185,103,55.68,82,44.32,26003
26,4,110,49,44.55,61,55.45,26004
26,5,191,114,59.69,77,40.31,26005
26,6,163,87,53.37,76,46.63,26006
26,7,195,127,65.13,68,34.87,26007
26,8,94,49,52.13,45,47.87,26008
26,9,143,69,48.25,74,51.75,26009
26,10,52,34,65.38,18,34.62,26010
26,11,172,95,55.23,77,44.77,26011
26,12,188,90,47.87,98,52.13,26012
26,13,92,38,41.3,54,58.7,26013
26,14,137,70,51.09,67,48.91,26014
26,15,89,50,56.18,39,43.82,26015
26,16,73,38,52.05,35,47.95,26016
26,18,80,31,38.75,49,61.25,26018
26,19,106,39,36.79,67,63.21,26019
26,20,167,94,56.29,73,43.71,26020
26,21,204,103,50.49,101,49.51,26021
26,22,85,54,63.53,31,36.47,26022
26,23,142,71,50.0,71,50.0,26023
26,24,106,58,54.72,48,45.28,26024
26,25,130,68,52.31,62,47.69,26025
26,26,108,44,40.74,64,59.26,26026
26,27,174,89,51.15,85,48.85,26027
26,28,222,124,55.86,98,44.14,26028
26,29,75,31,41.33,44,58.67,26029
26,30,141,63,44.68,78,55.32,26030
26,31,83,47,56.63,36,43.37,26031
26,32,176,96,54.55,80,45.45,26032
26,33,198,100,50.51,98,49.49,26033
26,34,159,88,55.35,71,44.65,26034
26,35,146,69,47.26,77,52.74,26035
26,36,156,92,58.97,64,41.03,26036
26,37,166,87,52.41,79,47.59,26037
26,38,65,29,44.62,36,55.38,26038
26,39,187,116,62.03,71,37.97,26039
26,40,138,74,53.62,64,46.38,26040
26,41,183,85,46.45,98,53.55,26041
26,42,137,62,45.26,75,54.74,26042
26,43,98,52,53.06,46,46.94,26043
26,44,64,25,39.06,39,60.94,26044
26,45,80,42,52.5,38,47.5,26045
26,47,99,57,57.58,42,42.42,26047
26,48,173,93,53.76,80,46.24,26048
26,49,79,34,43.04,45,56.96,26049
27,1,254,147,57.87,107,42.13,27001
27,5,5,3,60.0,2,40.0,27005
27,7,256,147,57.42,109,42.58,27007
27,11,110,53,48.18,57,51.82,27011
27,13,289,138,47.75,151,52.25,27013
27,16,8,5,62.5,3,37.5,27016
27,24,13,6,46.15,7,53.85,27024
27,27,11,5,45.45,6,54.55,27027
27,33,39,27,69.23,12,30.77,27033
27,35,26,12,46.15,14,53.85,27035
27,40,206,121,58.74,85,41.26,27040
27,43,11,9,81.82,2,18.18,27043
27,45,13,7,53.85,6,46.15,27045
30,14,129,62,48.06,67,51.94,30014
30,19,187,102,54.55,85,45.45,30019
31,1,100,56,56.0,44,44.0,31001
31,2,92,47,51.09,45,48.91,31002
31,4,140,74,52.86,66,47.14,31004
31,5,143,69,48.25,74,51.75,31005
31,6,80,44,55.0,36,45.0,31006
31,7,242,131,54.13,111,45.87,31007
31,10,153,77,50.33,76,49.67,31010
31,13,138,64,46.38,74,53.62,31013
31,16,214,128,59.81,86,40.19,31016
31,17,71,42,59.15,29,40.85,31017
31,18,110,58,52.73,52,47.27,31018
31,20,98,44,44.9,54,55.1,31020
31,21,101,51,50.5,50,49.5,31021
31,22,98,54,55.1,44,44.9,31022
31,23,132,70,53.03,62,46.97,31023
31,24,140,67,47.86,73,52.14,31024
31,26,141,73,51.77,68,48.23,31026
31,27,116,61,52.59,55,47.41,31027
31,28,81,44,54.32,37,45.68,31028
31,29,94,44,46.81,50,53.19,31029
31,30,95,50,52.63,45,47.37,31030
31,32,81,49,60.49,32,39.51,31032
31,35,102,57,55.88,45,44.12,31035
31,36,110,59,53.64,51,46.36,31036
31,37,129,67,51.94,62,48.06,31037
31,38,91,43,47.25,48,52.75,31038
31,39,146,81,55.48,65,44.52,31039
31,40,138,67,48.55,71,51.45,31040
31,41,99,59,59.6,40,40.4,31041
32,1,306,196,64.05,110,35.95,32001
32,2,247,142,57.49,105,42.51,32002
32,3,317,202,63.72,115,36.28,32003
32,4,229,155,67.69,74,32.31,32004
32,5,233,142,60.94,91,39.06,32005
32,6,248,154,62.1,94,37.9,32006
32,9,220,120,54.55,100,45.45,32009
32,11,242,141,58.26,101,41.74,32011
32,12,194,116,59.79,78,40.21,32012
32,13,149,77,51.68,72,48.32,32013
32,14,278,179,64.39,99,35.61,32014
32,15,223,125,56.05,98,43.95,32015
32,16,233,137,58.8,96,41.2,32016
32,17,295,179,60.68,116,39.32,32017
32,19,41,21,51.22,20,48.78,32019
32,20,292,198,67.81,94,32.19,32020
32,21,35,21,60.0,14,40.0,32021
32,22,276,181,65.58,95,34.42,32022
32,24,139,76,54.68,63,45.32,32024
32,25,49,25,51.02,24,48.98,32025
32,26,308,191,62.01,117,37.99,32026
32,27,167,101,60.48,66,39.52,32027
32,28,296,179,60.47,117,39.53,32028
32,29,254,166,65.35,88,34.65,32029
32,30,171,104,60.82,67,39.18,32030
32,31,228,143,62.72,85,37.28,32031
32,32,273,179,65.57,94,34.43,32032
32,33,225,137,60.89,88,39.11,32033
32,34,238,139,58.4,99,41.6,32034
32,35,187,115,61.5,72,38.5,32035
32,36,231,149,64.5,82,35.5,32036
32,37,230,133,57.83,97,42.17,32037
32,38,208,123,59.13,85,40.87,32038
32,40,236,139,58.9,97,41.1,32040
32,41,245,144,58.78,101,41.22,32041
32,42,183,97,53.01,86,46.99,32042
32,43,261,178,68.2,83,31.8,32043
33,1,329,201,61.09,128,38.91,33001
33,3,420,234,55.71,186,44.29,33003
33,4,395,225,56.96,170,43.04,33004
33,5,227,134,59.03,93,40.97,33005
33,6,250,142,56.8,108,43.2,33006
33,8,454,307,67.62,147,32.38,33008
33,9,287,158,55.05,129,44.95,33009
33,10,243,128,52.67,115,47.33,33010
33,11,282,176,62.41,106,37.59,33011
33,12,267,155,58.05,112,41.95,33012
33,13,274,157,57.3,117,42.7,33013
33,14,109,64,58.72,45,41.28,33014
33,15,269,175,65.06,94,34.94,33015
33,16,386,230,59.59,156,40.41,33016
33,17,272,149,54.78,123,45.22,33017
33,19,325,174,53.54,151,46.46,33019
33,20,367,218,59.4,149,40.6,33020
33,21,299,161,53.85,138,46.15,33021
33,22,267,152,56.93,115,43.07,33022
33,23,322,189,58.7,133,41.3,33023
33,24,438,304,69.41,134,30.59,33024
33,25,354,183,51.69,171,48.31,33025
33,26,211,129,61.14,82,38.86,33026
33,27,314,192,61.15,122,38.85,33027
33,28,262,156,59.54,106,40.46,33028
35,1,249,158,63.45,91,36.55,35001
35,2,268,177,66.04,91,33.96,35002
35,3,204,109,53.43,95,46.57,35003
35,4,244,140,57.38,104,42.62,35004
35,5,191,106,55.5,85,44.5,35005
35,6,239,156,65.27,83,34.73,35006
35,7,246,146,59.35,100,40.65,35007
35,8,230,129,56.09,101,43.91,35008
35,10,326,200,61.35,126,38.65,35010
35,11,261,148,56.7,113,43.3,35011
35,12,145,76,52.41,69,47.59,35012
35,13,138,63,45.65,75,54.35,35013
35,14,179,98,54.75,81,45.25,35014
35,15,281,181,64.41,100,35.59,35015
35,16,125,59,47.2,66,52.8,35016
35,17,214,122,57.01,92,42.99,35017
35,18,163,84,51.53,79,48.47,35018
35,19,146,83,56.85,63,43.15,35019
35,20,207,111,53.62,96,46.38,35020
35,21,228,119,52.19,109,47.81,35021
35,23,145,75,51.72,70,48.28,35023
35,24,203,120,59.11,83,40.89,35024
35,25,194,126,64.95,68,35.05,35025
35,26,213,125,58.69,88,41.31,35026
35,27,216,101,46.76,115,53.24,35027
35,28,233,125,53.65,108,46.35,35028
36,6,134,71,52.99,63,47.01,36006
36,8,141,81,57.45,60,42.55,36008
36,9,156,78,50.0,78,50.0,36009
36,11,114,60,52.63,54,47.37,36011
36,12,91,49,53.85,42,46.15,36012
36,13,108,63,58.33,45,41.67,36013
36,21,119,69,57.98,50,42.02,36021
36,22,123,60,48.78,63,51.22,36022
36,23,48,29,60.42,19,39.58,36023
36,25,169,97,57.4,72,42.6,36025
37,2,117,45,38.46,72,61.54,37002
37,10,201,62,30.85,139,69.15,37010
37,12,137,60,43.8,77,56.2,37012
37,16,50,21,42.0,29,58.0,37016
37,22,122,29,23.77,93,76.23,37022
37,26,0,0,0.0,0,0.0,37026
37,41,100,27,27.0,73,73.0,37041
40,8,356,219,61.52,137,38.48,40008
40,38,191,118,61.78,73,38.22,40038
47,9,126,80,63.49,46,36.51,47009
47,13,91,56,61.54,35,38.46,47013
47,40,159,81,50.94,78,49.06,47040
47,42,116,81,69.83,35,30.17,47042
