ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,precinct_id
13,1,159,159,100.0,13001
13,2,151,151,100.0,13002
13,3,156,156,100.0,13003
13,4,183,183,100.0,13004
13,5,214,214,100.0,13005
13,6,207,207,100.0,13006
13,7,139,139,100.0,13007
13,8,127,127,100.0,13008
13,9,168,168,100.0,13009
13,10,161,161,100.0,13010
13,11,223,223,100.0,13011
13,12,161,161,100.0,13012
13,13,194,194,100.0,13013
13,14,164,164,100.0,13014
13,15,269,269,100.0,13015
13,16,127,127,100.0,13016
13,17,134,134,100.0,13017
13,18,136,136,100.0,13018
13,19,245,245,100.0,13019
13,20,127,127,100.0,13020
13,21,177,177,100.0,13021
13,22,171,171,100.0,13022
13,23,132,132,100.0,13023
13,24,162,162,100.0,13024
13,25,181,181,100.0,13025
13,26,156,156,100.0,13026
13,27,155,155,100.0,13027
13,28,157,157,100.0,13028
13,29,138,138,100.0,13029
13,30,162,162,100.0,13030
13,31,166,166,100.0,13031
13,32,155,155,100.0,13032
13,33,164,164,100.0,13033
13,34,236,236,100.0,13034
13,35,221,221,100.0,13035
13,36,124,124,100.0,13036
13,37,187,187,100.0,13037
13,38,168,168,100.0,13038
13,39,179,179,100.0,13039
13,40,159,159,100.0,13040
13,41,223,223,100.0,13041
13,42,183,183,100.0,13042
13,43,171,171,100.0,13043
13,44,185,185,100.0,13044
13,45,220,220,100.0,13045
13,46,202,202,100.0,13046
13,47,209,209,100.0,13047
13,48,156,156,100.0,13048
