ward,precinct,total,Matthew J. O'Shea,Matthew J. O'Shea Percent,precinct_id
19,1,237,237,100.0,19001
19,2,394,394,100.0,19002
19,3,188,188,100.0,19003
19,4,269,269,100.0,19004
19,5,347,347,100.0,19005
19,6,229,229,100.0,19006
19,7,242,242,100.0,19007
19,8,242,242,100.0,19008
19,9,191,191,100.0,19009
19,10,335,335,100.0,19010
19,11,237,237,100.0,19011
19,12,199,199,100.0,19012
19,13,329,329,100.0,19013
19,14,285,285,100.0,19014
19,15,259,259,100.0,19015
19,16,253,253,100.0,19016
19,17,228,228,100.0,19017
19,18,305,305,100.0,19018
19,19,392,392,100.0,19019
19,20,297,297,100.0,19020
19,21,214,214,100.0,19021
19,22,323,323,100.0,19022
19,23,289,289,100.0,19023
19,24,194,194,100.0,19024
19,25,280,280,100.0,19025
19,26,290,290,100.0,19026
19,27,278,278,100.0,19027
19,28,299,299,100.0,19028
19,29,221,221,100.0,19029
19,30,222,222,100.0,19030
19,31,265,265,100.0,19031
19,32,225,225,100.0,19032
19,33,248,248,100.0,19033
19,34,268,268,100.0,19034
19,35,279,279,100.0,19035
19,36,337,337,100.0,19036
19,37,290,290,100.0,19037
19,38,244,244,100.0,19038
19,39,89,89,100.0,19039
19,40,300,300,100.0,19040
19,41,202,202,100.0,19041
19,42,213,213,100.0,19042
19,43,357,357,100.0,19043
19,44,271,271,100.0,19044
19,45,255,255,100.0,19045
19,46,284,284,100.0,19046
19,47,408,408,100.0,19047
19,48,285,285,100.0,19048
19,49,331,331,100.0,19049
19,50,222,222,100.0,19050
19,51,310,310,100.0,19051
19,52,251,251,100.0,19052
19,53,230,230,100.0,19053
19,54,170,170,100.0,19054
19,55,191,191,100.0,19055
19,56,316,316,100.0,19056
19,57,270,270,100.0,19057
