ward,precinct,total,Emma M. Mitts,Emma M. Mitts Percent,precinct_id
37,1,146,146,100.0,37001
37,2,118,118,100.0,37002
37,3,103,103,100.0,37003
37,4,120,120,100.0,37004
37,5,188,188,100.0,37005
37,6,174,174,100.0,37006
37,7,108,108,100.0,37007
37,8,96,96,100.0,37008
37,9,156,156,100.0,37009
37,10,196,196,100.0,37010
37,11,87,87,100.0,37011
37,12,124,124,100.0,37012
37,13,128,128,100.0,37013
37,14,180,180,100.0,37014
37,15,201,201,100.0,37015
37,16,177,177,100.0,37016
37,17,127,127,100.0,37017
37,18,159,159,100.0,37018
37,19,132,132,100.0,37019
37,20,123,123,100.0,37020
37,21,130,130,100.0,37021
37,22,152,152,100.0,37022
37,23,171,171,100.0,37023
37,24,164,164,100.0,37024
37,25,173,173,100.0,37025
37,26,208,208,100.0,37026
37,27,173,173,100.0,37027
37,28,167,167,100.0,37028
37,29,139,139,100.0,37029
37,30,169,169,100.0,37030
37,31,179,179,100.0,37031
37,32,144,144,100.0,37032
37,33,210,210,100.0,37033
37,34,181,181,100.0,37034
37,35,210,210,100.0,37035
37,36,146,146,100.0,37036
37,37,189,189,100.0,37037
37,38,185,185,100.0,37038
37,39,147,147,100.0,37039
37,40,187,187,100.0,37040
37,41,150,150,100.0,37041
