ward,precinct,total,Tommy Hanson,Tommy Hanson Percent,Kimball Ladien,Kimball Ladien Percent,precinct_id
1,3,6,6,100.0,0,0.0,01003
1,4,6,6,100.0,0,0.0,01004
1,5,5,4,80.0,1,20.0,01005
1,6,10,8,80.0,2,20.0,01006
1,8,6,6,100.0,0,0.0,01008
1,10,9,6,66.67,3,33.33,01010
1,11,8,8,100.0,0,0.0,01011
1,14,2,1,50.0,1,50.0,01014
1,21,11,10,90.91,1,9.09,01021
1,28,4,3,75.0,1,25.0,01028
1,32,6,5,83.33,1,16.67,01032
1,33,6,6,100.0,0,0.0,01033
1,35,14,11,78.57,3,21.43,01035
1,36,6,6,100.0,0,0.0,01036
1,37,24,20,83.33,4,16.67,01037
1,38,0,0,0.0,0,0.0,01038
1,39,8,6,75.0,2,25.0,01039
1,40,10,9,90.0,1,10.0,01040
2,1,6,3,50.0,3,50.0,02001
2,3,11,8,72.73,3,27.27,02003
2,4,2,2,100.0,0,0.0,02004
2,5,17,14,82.35,3,17.65,02005
2,6,6,4,66.67,2,33.33,02006
2,7,5,3,60.0,2,40.0,02007
2,8,10,7,70.0,3,30.0,02008
2,12,7,6,85.71,1,14.29,02012
2,14,3,3,100.0,0,0.0,02014
2,15,6,5,83.33,1,16.67,02015
2,16,3,3,100.0,0,0.0,02016
2,17,0,0,0.0,0,0.0,02017
2,20,6,6,100.0,0,0.0,02020
2,21,9,7,77.78,2,22.22,02021
2,22,8,6,75.0,2,25.0,02022
2,24,7,7,100.0,0,0.0,02024
2,25,9,9,100.0,0,0.0,02025
2,26,14,12,85.71,2,14.29,02026
2,28,14,12,85.71,2,14.29,02028
2,30,20,16,80.0,4,20.0,02030
2,31,18,14,77.78,4,22.22,02031
2,33,30,23,76.67,7,23.33,02033
2,37,17,10,58.82,7,41.18,02037
2,38,3,3,100.0,0,0.0,02038
2,44,18,15,83.33,3,16.67,02044
26,28,5,3,60.0,2,40.0,26028
26,32,10,7,70.0,3,30.0,26032
27,7,7,6,85.71,1,14.29,27007
27,12,9,7,77.78,2,22.22,27012
27,13,0,0,0.0,0,0.0,27013
27,27,1,1,100.0,0,0.0,27027
27,35,8,8,100.0,0,0.0,27035
27,37,0,0,0.0,0,0.0,27037
27,40,1,1,100.0,0,0.0,27040
27,42,3,3,100.0,0,0.0,27042
27,43,0,0,0.0,0,0.0,27043
27,46,10,9,90.0,1,10.0,27046
29,23,4,2,50.0,2,50.0,29023
29,29,20,17,85.0,3,15.0,29029
29,31,19,12,63.16,7,36.84,29031
29,32,29,22,75.86,7,24.14,29032
29,38,0,0,0.0,0,0.0,29038
29,39,7,4,57.14,3,42.86,29039
30,15,10,7,70.0,3,30.0,30015
30,17,6,5,83.33,1,16.67,30017
30,21,13,8,61.54,5,38.46,30021
32,1,12,11,91.67,1,8.33,32001
32,2,8,6,75.0,2,25.0,32002
32,4,7,5,71.43,2,28.57,32004
32,5,9,8,88.89,1,11.11,32005
32,6,5,5,100.0,0,0.0,32006
32,7,12,10,83.33,2,16.67,32007
32,8,12,11,91.67,1,8.33,32008
32,9,10,9,90.0,1,10.0,32009
32,10,11,10,90.91,1,9.09,32010
32,13,14,13,92.86,1,7.14,32013
32,15,13,9,69.23,4,30.77,32015
32,16,8,6,75.0,2,25.0,32016
32,18,12,9,75.0,3,25.0,32018
32,19,10,9,90.0,1,10.0,32019
32,21,12,12,100.0,0,0.0,32021
32,23,11,8,72.73,3,27.27,32023
32,24,12,10,83.33,2,16.67,32024
32,25,7,6,85.71,1,14.29,32025
32,27,16,11,68.75,5,31.25,32027
32,29,8,7,87.5,1,12.5,32029
32,30,17,13,76.47,4,23.53,32030
32,31,14,14,100.0,0,0.0,32031
32,32,7,7,100.0,0,0.0,32032
32,33,0,0,0.0,0,0.0,32033
32,34,7,5,71.43,2,28.57,32034
32,35,11,9,81.82,2,18.18,32035
32,36,7,7,100.0,0,0.0,32036
32,37,15,14,93.33,1,6.67,32037
32,38,10,6,60.0,4,40.0,32038
32,39,16,12,75.0,4,25.0,32039
32,40,12,9,75.0,3,25.0,32040
32,41,14,9,64.29,5,35.71,32041
32,42,11,7,63.64,4,36.36,32042
33,2,24,19,79.17,5,20.83,33002
33,3,2,0,0.0,2,100.0,33003
33,5,3,2,66.67,1,33.33,33005
33,7,2,2,100.0,0,0.0,33007
33,8,6,6,100.0,0,0.0,33008
33,10,2,2,100.0,0,0.0,33010
33,18,6,6,100.0,0,0.0,33018
33,19,5,3,60.0,2,40.0,33019
33,23,0,0,0.0,0,0.0,33023
33,24,11,9,81.82,2,18.18,33024
33,27,4,3,75.0,1,25.0,33027
36,7,26,21,80.77,5,19.23,36007
36,14,19,18,94.74,1,5.26,36014
36,15,17,14,82.35,3,17.65,36015
36,16,11,10,90.91,1,9.09,36016
36,17,16,14,87.5,2,12.5,36017
36,18,14,10,71.43,4,28.57,36018
36,20,9,6,66.67,3,33.33,36020
36,24,19,14,73.68,5,26.32,36024
36,26,26,21,80.77,5,19.23,36026
36,28,33,31,93.94,2,6.06,36028
36,29,12,10,83.33,2,16.67,36029
36,30,12,8,66.67,4,33.33,36030
38,2,39,31,79.49,8,20.51,38002
38,3,22,19,86.36,3,13.64,38003
38,4,22,18,81.82,4,18.18,38004
38,5,27,24,88.89,3,11.11,38005
38,6,28,23,82.14,5,17.86,38006
38,7,29,27,93.1,2,6.9,38007
38,8,28,23,82.14,5,17.86,38008
38,9,36,32,88.89,4,11.11,38009
38,10,31,23,74.19,8,25.81,38010
38,11,13,10,76.92,3,23.08,38011
38,12,31,24,77.42,7,22.58,38012
38,13,40,29,72.5,11,27.5,38013
38,14,27,22,81.48,5,18.52,38014
38,15,15,13,86.67,2,13.33,38015
38,16,30,22,73.33,8,26.67,38016
38,17,42,38,90.48,4,9.52,38017
38,18,22,20,90.91,2,9.09,38018
38,19,34,26,76.47,8,23.53,38019
38,20,32,28,87.5,4,12.5,38020
38,21,14,10,71.43,4,28.57,38021
38,22,12,10,83.33,2,16.67,38022
38,23,18,15,83.33,3,16.67,38023
38,24,31,26,83.87,5,16.13,38024
38,25,20,19,95.0,1,5.0,38025
38,26,34,31,91.18,3,8.82,38026
38,27,23,23,100.0,0,0.0,38027
38,28,47,40,85.11,7,14.89,38028
38,29,21,14,66.67,7,33.33,38029
38,30,27,20,74.07,7,25.93,38030
38,31,13,9,69.23,4,30.77,38031
38,32,20,16,80.0,4,20.0,38032
38,33,27,24,88.89,3,11.11,38033
38,34,19,19,100.0,0,0.0,38034
38,35,11,9,81.82,2,18.18,38035
38,36,16,11,68.75,5,31.25,38036
38,37,18,13,72.22,5,27.78,38037
38,38,20,12,60.0,8,40.0,38038
38,39,27,24,88.89,3,11.11,38039
38,40,12,12,100.0,0,0.0,38040
39,1,11,10,90.91,1,9.09,39001
39,2,33,26,78.79,7,21.21,39002
39,3,13,9,69.23,4,30.77,39003
39,4,23,19,82.61,4,17.39,39004
39,5,21,18,85.71,3,14.29,39005
39,6,3,3,100.0,0,0.0,39006
39,7,17,13,76.47,4,23.53,39007
39,8,6,4,66.67,2,33.33,39008
39,9,21,14,66.67,7,33.33,39009
39,10,2,1,50.0,1,50.0,39010
39,11,12,7,58.33,5,41.67,39011
39,12,6,5,83.33,1,16.67,39012
39,13,21,14,66.67,7,33.33,39013
39,14,27,26,96.3,1,3.7,39014
39,15,21,18,85.71,3,14.29,39015
39,16,11,7,63.64,4,36.36,39016
39,17,14,11,78.57,3,21.43,39017
39,18,11,9,81.82,2,18.18,39018
39,19,24,17,70.83,7,29.17,39019
39,20,46,37,80.43,9,19.57,39020
39,21,30,25,83.33,5,16.67,39021
39,22,16,13,81.25,3,18.75,39022
39,23,22,15,68.18,7,31.82,39023
39,24,36,29,80.56,7,19.44,39024
39,25,9,4,44.44,5,55.56,39025
39,26,20,14,70.0,6,30.0,39026
39,27,0,0,0.0,0,0.0,39027
39,28,15,14,93.33,1,6.67,39028
39,29,3,2,66.67,1,33.33,39029
39,30,9,7,77.78,2,22.22,39030
39,32,17,13,76.47,4,23.53,39032
39,33,8,8,100.0,0,0.0,39033
39,34,17,15,88.24,2,11.76,39034
39,35,16,10,62.5,6,37.5,39035
39,36,8,5,62.5,3,37.5,39036
39,37,18,14,77.78,4,22.22,39037
39,38,24,19,79.17,5,20.83,39038
39,39,12,8,66.67,4,33.33,39039
39,40,20,16,80.0,4,20.0,39040
39,41,21,20,95.24,1,4.76,39041
39,42,16,14,87.5,2,12.5,39042
39,43,15,15,100.0,0,0.0,39043
39,44,19,18,94.74,1,5.26,39044
39,45,11,10,90.91,1,9.09,39045
40,1,17,14,82.35,3,17.65,40001
40,2,14,13,92.86,1,7.14,40002
40,3,9,7,77.78,2,22.22,40003
40,5,10,7,70.0,3,30.0,40005
40,6,9,7,77.78,2,22.22,40006
40,7,3,3,100.0,0,0.0,40007
40,8,14,10,71.43,4,28.57,40008
40,10,7,7,100.0,0,0.0,40010
40,11,13,10,76.92,3,23.08,40011
40,12,7,5,71.43,2,28.57,40012
40,13,7,7,100.0,0,0.0,40013
40,14,11,9,81.82,2,18.18,40014
40,15,8,6,75.0,2,25.0,40015
40,16,13,11,84.62,2,15.38,40016
40,17,21,18,85.71,3,14.29,40017
40,19,24,21,87.5,3,12.5,40019
40,20,5,4,80.0,1,20.0,40020
40,21,8,8,100.0,0,0.0,40021
40,23,13,11,84.62,2,15.38,40023
40,24,15,9,60.0,6,40.0,40024
40,25,8,7,87.5,1,12.5,40025
40,29,18,15,83.33,3,16.67,40029
40,30,11,10,90.91,1,9.09,40030
40,31,2,2,100.0,0,0.0,40031
40,32,9,6,66.67,3,33.33,40032
40,34,10,9,90.0,1,10.0,40034
40,38,3,1,33.33,2,66.67,40038
41,3,47,39,82.98,8,17.02,41003
41,6,39,34,87.18,5,12.82,41006
41,9,23,20,86.96,3,13.04,41009
41,11,17,15,88.24,2,11.76,41011
41,12,48,46,95.83,2,4.17,41012
41,14,25,21,84.0,4,16.0,41014
41,16,35,31,88.57,4,11.43,41016
41,17,47,35,74.47,12,25.53,41017
41,19,22,20,90.91,2,9.09,41019
41,21,38,35,92.11,3,7.89,41021
41,22,56,50,89.29,6,10.71,41022
41,23,18,16,88.89,2,11.11,41023
41,24,42,37,88.1,5,11.9,41024
41,26,37,36,97.3,1,2.7,41026
41,27,34,29,85.29,5,14.71,41027
41,30,38,34,89.47,4,10.53,41030
41,32,28,26,92.86,2,7.14,41032
41,33,30,24,80.0,6,20.0,41033
41,35,48,38,79.17,10,20.83,41035
41,38,37,33,89.19,4,10.81,41038
41,39,18,15,83.33,3,16.67,41039
41,45,14,13,92.86,1,7.14,41045
41,46,35,32,91.43,3,8.57,41046
41,47,25,21,84.0,4,16.0,41047
43,2,17,16,94.12,1,5.88,43002
43,3,10,6,60.0,4,40.0,43003
43,4,15,14,93.33,1,6.67,43004
43,5,10,8,80.0,2,20.0,43005
43,6,9,6,66.67,3,33.33,43006
43,7,7,7,100.0,0,0.0,43007
43,8,8,5,62.5,3,37.5,43008
43,9,10,6,60.0,4,40.0,43009
43,10,18,17,94.44,1,5.56,43010
43,11,16,12,75.0,4,25.0,43011
43,12,5,4,80.0,1,20.0,43012
43,13,11,6,54.55,5,45.45,43013
43,14,14,10,71.43,4,28.57,43014
43,15,10,8,80.0,2,20.0,43015
43,16,13,10,76.92,3,23.08,43016
43,17,12,12,100.0,0,0.0,43017
43,18,21,18,85.71,3,14.29,43018
43,19,15,14,93.33,1,6.67,43019
43,20,3,2,66.67,1,33.33,43020
43,21,11,9,81.82,2,18.18,43021
43,22,9,7,77.78,2,22.22,43022
43,23,7,4,57.14,3,42.86,43023
43,24,16,14,87.5,2,12.5,43024
43,25,12,10,83.33,2,16.67,43025
43,26,10,5,50.0,5,50.0,43026
43,27,10,6,60.0,4,40.0,43027
43,28,21,17,80.95,4,19.05,43028
43,29,20,16,80.0,4,20.0,43029
43,30,7,6,85.71,1,14.29,43030
43,31,14,12,85.71,2,14.29,43031
43,32,8,4,50.0,4,50.0,43032
43,34,11,10,90.91,1,9.09,43034
43,36,12,12,100.0,0,0.0,43036
43,37,10,6,60.0,4,40.0,43037
43,38,9,8,88.89,1,11.11,43038
43,39,19,16,84.21,3,15.79,43039
43,40,8,4,50.0,4,50.0,43040
43,41,14,10,71.43,4,28.57,43041
43,42,6,4,66.67,2,33.33,43042
43,43,20,16,80.0,4,20.0,43043
43,44,8,5,62.5,3,37.5,43044
43,46,7,7,100.0,0,0.0,43046
44,1,4,4,100.0,0,0.0,44001
44,2,12,11,91.67,1,8.33,44002
44,5,6,2,33.33,4,66.67,44005
44,6,15,14,93.33,1,6.67,44006
44,8,9,8,88.89,1,11.11,44008
44,9,9,6,66.67,3,33.33,44009
