ward,precinct,total,Keith Pekau (Donald J Trump),Keith Pekau (Donald J Trump) Percent,Jesus Solorio (Donald J Trump),Jesus Solorio (Donald J Trump) Percent,Cynthia Nelson Katsenes (Donald J Trum,Cynthia Nelson Katsenes (Donald J Trum Percent,precinct_id
11,1,56,21,37.5,17,30.36,18,32.14,11001
11,4,19,6,31.58,7,36.84,6,31.58,11004
11,5,38,12,31.58,14,36.84,12,31.58,11005
11,8,29,10,34.48,10,34.48,9,31.03,11008
11,9,23,8,34.78,8,34.78,7,30.43,11009
11,10,23,7,30.43,10,43.48,6,26.09,11010
11,11,69,23,33.33,25,36.23,21,30.43,11011
11,12,32,15,46.88,8,25.0,9,28.13,11012
11,13,53,23,43.4,13,24.53,17,32.08,11013
11,15,9,5,55.56,2,22.22,2,22.22,11015
11,16,21,9,42.86,5,23.81,7,33.33,11016
11,17,34,11,32.35,13,38.24,10,29.41,11017
11,18,25,9,36.0,7,28.0,9,36.0,11018
11,19,30,13,43.33,9,30.0,8,26.67,11019
11,20,42,15,35.71,14,33.33,13,30.95,11020
11,21,45,17,37.78,15,33.33,13,28.89,11021
11,22,42,12,28.57,14,33.33,16,38.1,11022
11,23,16,5,31.25,6,37.5,5,31.25,11023
11,24,32,10,31.25,11,34.38,11,34.38,11024
11,25,47,19,40.43,14,29.79,14,29.79,11025
11,26,28,10,35.71,9,32.14,9,32.14,11026
11,27,7,2,28.57,3,42.86,2,28.57,11027
11,28,23,11,47.83,7,30.43,5,21.74,11028
11,29,34,14,41.18,11,32.35,9,26.47,11029
11,31,42,21,50.0,11,26.19,10,23.81,11031
11,32,20,5,25.0,9,45.0,6,30.0,11032
11,37,0,0,0.0,0,0.0,0,0.0,11037
12,1,19,6,31.58,8,42.11,5,26.32,12001
12,3,25,9,36.0,8,32.0,8,32.0,12003
12,4,18,6,33.33,7,38.89,5,27.78,12004
12,5,11,4,36.36,3,27.27,4,36.36,12005
12,8,0,0,0.0,0,0.0,0,0.0,12008
12,9,18,7,38.89,6,33.33,5,27.78,12009
12,19,5,2,40.0,2,40.0,1,20.0,12019
12,23,12,2,16.67,5,41.67,5,41.67,12023
13,1,39,16,41.03,12,30.77,11,28.21,13001
13,2,22,8,36.36,7,31.82,7,31.82,13002
13,3,15,6,40.0,4,26.67,5,33.33,13003
13,4,45,14,31.11,15,33.33,16,35.56,13004
13,5,19,6,31.58,7,36.84,6,31.58,13005
13,6,29,10,34.48,9,31.03,10,34.48,13006
13,7,4,1,25.0,3,75.0,0,0.0,13007
13,8,21,7,33.33,6,28.57,8,38.1,13008
13,9,11,5,45.45,3,27.27,3,27.27,13009
13,10,33,12,36.36,10,30.3,11,33.33,13010
13,11,47,16,34.04,15,31.91,16,34.04,13011
13,12,28,11,39.29,10,35.71,7,25.0,13012
13,13,11,4,36.36,3,27.27,4,36.36,13013
13,14,10,5,50.0,2,20.0,3,30.0,13014
13,15,19,6,31.58,6,31.58,7,36.84,13015
13,16,4,1,25.0,2,50.0,1,25.0,13016
13,17,29,9,31.03,10,34.48,10,34.48,13017
