ward,precinct,total,Stephen Balich (Donald J Trump),Stephen Balich (Donald J Trump) Percent,Michael Shackel (Donald J Trump),Michael Shackel (Donald J Trump) Percent,Madelyn D Flaherty (Donald J Trump),Madelyn D Flaherty (Donald J Trump) Percent,precinct_id
11,1,55,18,32.73,19,34.55,18,32.73,11001
11,4,19,7,36.84,7,36.84,5,26.32,11004
11,5,38,15,39.47,12,31.58,11,28.95,11005
11,8,27,11,40.74,7,25.93,9,33.33,11008
11,9,22,7,31.82,9,40.91,6,27.27,11009
11,10,20,6,30.0,6,30.0,8,40.0,11010
11,11,68,22,32.35,21,30.88,25,36.76,11011
11,12,28,9,32.14,8,28.57,11,39.29,11012
11,13,54,18,33.33,16,29.63,20,37.04,11013
11,15,9,3,33.33,4,44.44,2,22.22,11015
11,16,19,6,31.58,7,36.84,6,31.58,11016
11,17,39,13,33.33,11,28.21,15,38.46,11017
11,18,23,8,34.78,6,26.09,9,39.13,11018
11,19,29,11,37.93,9,31.03,9,31.03,11019
11,20,41,14,34.15,13,31.71,14,34.15,11020
11,21,44,15,34.09,15,34.09,14,31.82,11021
11,22,43,14,32.56,14,32.56,15,34.88,11022
11,23,17,6,35.29,5,29.41,6,35.29,11023
11,24,32,9,28.13,11,34.38,12,37.5,11024
11,25,43,16,37.21,13,30.23,14,32.56,11025
11,26,27,10,37.04,10,37.04,7,25.93,11026
11,27,5,3,60.0,1,20.0,1,20.0,11027
11,28,21,8,38.1,5,23.81,8,38.1,11028
11,29,36,12,33.33,12,33.33,12,33.33,11029
11,31,41,15,36.59,14,34.15,12,29.27,11031
11,32,20,7,35.0,7,35.0,6,30.0,11032
11,37,0,0,0.0,0,0.0,0,0.0,11037
12,1,19,6,31.58,5,26.32,8,42.11,12001
12,3,23,8,34.78,8,34.78,7,30.43,12003
12,4,18,6,33.33,6,33.33,6,33.33,12004
12,5,10,3,30.0,3,30.0,4,40.0,12005
12,8,0,0,0.0,0,0.0,0,0.0,12008
12,9,16,5,31.25,6,37.5,5,31.25,12009
12,19,5,2,40.0,1,20.0,2,40.0,12019
12,23,13,1,7.69,4,30.77,8,61.54,12023
13,1,42,17,40.48,12,28.57,13,30.95,13001
13,2,23,9,39.13,7,30.43,7,30.43,13002
13,3,16,7,43.75,5,31.25,4,25.0,13003
13,4,40,13,32.5,11,27.5,16,40.0,13004
13,5,16,5,31.25,4,25.0,7,43.75,13005
13,6,29,10,34.48,11,37.93,8,27.59,13006
13,7,5,3,60.0,1,20.0,1,20.0,13007
13,8,17,7,41.18,5,29.41,5,29.41,13008
13,9,11,4,36.36,4,36.36,3,27.27,13009
13,10,33,11,33.33,12,36.36,10,30.3,13010
13,11,49,17,34.69,15,30.61,17,34.69,13011
13,12,31,12,38.71,9,29.03,10,32.26,13012
13,13,11,4,36.36,3,27.27,4,36.36,13013
13,14,10,3,30.0,2,20.0,5,50.0,13014
13,15,17,5,29.41,4,23.53,8,47.06,13015
13,16,4,1,25.0,2,50.0,1,25.0,13016
13,17,30,10,33.33,8,26.67,12,40.0,13017
13,18,43,14,32.56,14,32.56,15,34.88,13018
13,20,32,10,31.25,10,31.25,12,37.5,13020
13,21,26,12,46.15,7,26.92,7,26.92,13021
13,22,25,8,32.0,12,48.0,5,20.0,13022
13,23,7,2,28.57,3,42.86,2,28.57,13023
13,24,46,17,36.96,16,34.78,13,28.26,13024
13,25,28,11,39.29,8,28.57,9,32.14,13025
13,26,26,9,34.62,9,34.62,8,30.77,13026
13,27,17,7,41.18,5,29.41,5,29.41,13027
13,28,11,4,36.36,4,36.36,3,27.27,13028
13,29,12,4,33.33,3,25.0,5,41.67,13029
13,30,1,0,0.0,1,100.0,0,0.0,13030
13,31,54,19,35.19,16,29.63,19,35.19,13031
13,32,21,6,28.57,8,38.1,7,33.33,13032
13,33,61,21,34.43,20,32.79,20,32.79,13033
13,34,5,2,40.0,1,20.0,2,40.0,13034
13,35,11,4,36.36,3,27.27,4,36.36,13035
13,36,3,1,33.33,1,33.33,1,33.33,13036
13,37,6,1,16.67,4,66.67,1,16.67,13037
13,38,20,7,35.0,6,30.0,7,35.0,13038
13,39,7,2,28.57,2,28.57,3,42.86,13039
13,40,18,8,44.44,5,27.78,5,27.78,13040
13,41,2,1,50.0,1,50.0,0,0.0,13041
13,42,28,12,42.86,7,25.0,9,32.14,13042
13,43,19,6,31.58,7,36.84,6,31.58,13043
13,44,12,3,25.0,4,33.33,5,41.67,13044
13,45,49,17,34.69,16,32.65,16,32.65,13045
13,46,11,4,36.36,3,27.27,4,36.36,13046
13,47,12,4,33.33,3,25.0,5,41.67,13047
13,48,21,6,28.57,8,38.1,7,33.33,13048
14,1,61,23,37.7,18,29.51,20,32.79,14001
14,4,42,13,30.95,13,30.95,16,38.1,14004
14,5,2,0,0.0,1,50.0,1,50.0,14005
14,7,22,7,31.82,6,27.27,9,40.91,14007
14,8,35,14,40.0,10,28.57,11,31.43,14008
14,9,43,15,34.88,14,32.56,14,32.56,14009
14,12,23,8,34.78,7,30.43,8,34.78,14012
14,18,19,6,31.58,5,26.32,8,42.11,14018
14,21,14,5,35.71,5,35.71,4,28.57,14021
14,22,50,17,34.0,17,34.0,16,32.0,14022
14,23,17,8,47.06,4,23.53,5,29.41,14023
14,24,25,9,36.0,9,36.0,7,28.0,14024
14,25,0,0,0.0,0,0.0,0,0.0,14025
14,26,6,2,33.33,2,33.33,2,33.33,14026
14,29,13,4,30.77,6,46.15,3,23.08,14029
15,1,7,1,14.29,3,42.86,3,42.86,15001
15,5,0,0,0.0,0,0.0,0,0.0,15005
15,8,7,2,28.57,2,28.57,3,42.86,15008
15,13,10,4,40.0,2,20.0,4,40.0,15013
15,14,9,3,33.33,3,33.33,3,33.33,15014
15,15,12,5,41.67,3,25.0,4,33.33,15015
15,16,11,4,36.36,4,36.36,3,27.27,15016
15,19,11,3,27.27,5,45.45,3,27.27,15019
16,1,3,1,33.33,1,33.33,1,33.33,16001
16,7,0,0,0.0,0,0.0,0,0.0,16007
16,23,9,2,22.22,4,44.44,3,33.33,16023
16,32,10,3,30.0,4,40.0,3,30.0,16032
16,35,0,0,0.0,0,0.0,0,0.0,16035
18,15,16,6,37.5,4,25.0,6,37.5,18015
18,24,30,10,33.33,8,26.67,12,40.0,18024
18,25,16,6,37.5,7,43.75,3,18.75,18025
18,30,47,17,36.17,14,29.79,16,34.04,18030
18,40,12,3,25.0,4,33.33,5,41.67,18040
18,43,14,5,35.71,5,35.71,4,28.57,18043
18,46,19,5,26.32,7,36.84,7,36.84,18046
19,1,37,14,37.84,12,32.43,11,29.73,19001
19,2,0,0,0.0,0,0.0,0,0.0,19002
19,3,80,26,32.5,28,35.0,26,32.5,19003
19,4,90,31,34.44,30,33.33,29,32.22,19004
19,5,12,4,33.33,4,33.33,4,33.33,19005
19,6,88,32,36.36,26,29.55,30,34.09,19006
19,7,31,10,32.26,11,35.48,10,32.26,19007
19,8,108,38,35.19,34,31.48,36,33.33,19008
19,9,45,15,33.33,13,28.89,17,37.78,19009
19,10,30,10,33.33,8,26.67,12,40.0,19010
19,11,93,30,32.26,30,32.26,33,35.48,19011
19,12,68,22,32.35,22,32.35,24,35.29,19012
19,15,111,42,37.84,33,29.73,36,32.43,19015
19,16,65,23,35.38,19,29.23,23,35.38,19016
19,17,31,10,32.26,9,29.03,12,38.71,19017
19,18,27,9,33.33,8,29.63,10,37.04,19018
19,19,30,8,26.67,9,30.0,13,43.33,19019
19,21,100,34,34.0,31,31.0,35,35.0,19021
19,22,21,7,33.33,6,28.57,8,38.1,19022
19,23,21,7,33.33,6,28.57,8,38.1,19023
19,24,52,17,32.69,16,30.77,19,36.54,19024
19,25,23,7,30.43,6,26.09,10,43.48,19025
19,26,34,10,29.41,12,35.29,12,35.29,19026
19,29,78,31,39.74,22,28.21,25,32.05,19029
19,30,84,29,34.52,26,30.95,29,34.52,19030
19,32,44,16,36.36,14,31.82,14,31.82,19032
19,33,79,26,32.91,23,29.11,30,37.97,19033
19,34,28,9,32.14,8,28.57,11,39.29,19034
19,35,28,9,32.14,9,32.14,10,35.71,19035
19,41,52,18,34.62,16,30.77,18,34.62,19041
19,44,65,19,29.23,24,36.92,22,33.85,19044
19,45,50,19,38.0,15,30.0,16,32.0,19045
19,46,53,18,33.96,17,32.08,18,33.96,19046
19,50,24,9,37.5,6,25.0,9,37.5,19050
19,51,31,9,29.03,9,29.03,13,41.94,19051
19,52,84,29,34.52,24,28.57,31,36.9,19052
19,53,26,9,34.62,8,30.77,9,34.62,19053
19,54,77,26,33.77,24,31.17,27,35.06,19054
19,55,52,16,30.77,17,32.69,19,36.54,19055
19,56,30,8,26.67,10,33.33,12,40.0,19056
19,57,17,6,35.29,6,35.29,5,29.41,19057
20,4,7,2,28.57,2,28.57,3,42.86,20004
20,15,5,2,40.0,1,20.0,2,40.0,20015
20,20,4,1,25.0,2,50.0,1,25.0,20020
22,1,8,1,12.5,4,50.0,3,37.5,22001
22,2,41,19,46.34,11,26.83,11,26.83,22002
22,8,30,10,33.33,10,33.33,10,33.33,22008
22,12,18,8,44.44,5,27.78,5,27.78,22012
22,23,0,0,0.0,0,0.0,0,0.0,22023
