ward,precinct,total,Julian Aguilar (Donald J Trump),Julian Aguilar (Donald J Trump) Percent,Dorothy Hathaway (Donald J Trump),Dorothy Hathaway (Donald J Trump) Percent,Anayanzi Mendez (Donald J Trump),Anayanzi Mendez (Donald J Trump) Percent,precinct_id
1,1,14,6,42.86,5,35.71,3,21.43,01001
1,2,14,4,28.57,7,50.0,3,21.43,01002
1,7,6,2,33.33,2,33.33,2,33.33,01007
1,9,20,6,30.0,7,35.0,7,35.0,01009
1,13,9,2,22.22,5,55.56,2,22.22,01013
1,15,9,3,33.33,3,33.33,3,33.33,01015
1,16,7,4,57.14,1,14.29,2,28.57,01016
1,17,11,4,36.36,5,45.45,2,18.18,01017
1,18,5,1,20.0,2,40.0,2,40.0,01018
1,19,24,8,33.33,8,33.33,8,33.33,01019
1,20,6,1,16.67,4,66.67,1,16.67,01020
1,22,13,4,30.77,6,46.15,3,23.08,01022
1,23,10,3,30.0,4,40.0,3,30.0,01023
1,24,4,1,25.0,1,25.0,2,50.0,01024
1,25,13,7,53.85,4,30.77,2,15.38,01025
1,26,9,3,33.33,4,44.44,2,22.22,01026
1,27,22,8,36.36,7,31.82,7,31.82,01027
1,29,18,8,44.44,6,33.33,4,22.22,01029
1,30,8,4,50.0,2,25.0,2,25.0,01030
1,31,9,4,44.44,3,33.33,2,22.22,01031
1,34,6,2,33.33,2,33.33,2,33.33,01034
1,38,6,2,33.33,3,50.0,1,16.67,01038
1,41,5,1,20.0,3,60.0,1,20.0,01041
1,42,9,3,33.33,3,33.33,3,33.33,01042
1,43,4,3,75.0,0,0.0,1,25.0,01043
1,44,10,4,40.0,3,30.0,3,30.0,01044
11,3,5,2,40.0,2,40.0,1,20.0,11003
11,37,0,0,0.0,0,0.0,0,0.0,11037
11,38,5,2,40.0,2,40.0,1,20.0,11038
12,2,8,3,37.5,3,37.5,2,25.0,12002
12,3,0,0,0.0,0,0.0,0,0.0,12003
12,5,5,2,40.0,1,20.0,2,40.0,12005
12,6,28,11,39.29,9,32.14,8,28.57,12006
12,7,5,2,40.0,1,20.0,2,40.0,12007
12,8,24,7,29.17,10,41.67,7,29.17,12008
12,10,8,4,50.0,2,25.0,2,25.0,12010
12,11,9,3,33.33,4,44.44,2,22.22,12011
12,12,16,5,31.25,7,43.75,4,25.0,12012
12,13,14,6,42.86,3,21.43,5,35.71,12013
12,14,3,0,0.0,2,66.67,1,33.33,12014
12,15,1,1,100.0,0,0.0,0,0.0,12015
12,16,3,2,66.67,0,0.0,1,33.33,12016
12,17,26,9,34.62,8,30.77,9,34.62,12017
12,18,4,2,50.0,1,25.0,1,25.0,12018
12,19,0,0,0.0,0,0.0,0,0.0,12019
12,20,12,4,33.33,4,33.33,4,33.33,12020
12,21,28,8,28.57,11,39.29,9,32.14,12021
12,22,3,2,66.67,0,0.0,1,33.33,12022
14,2,27,8,29.63,9,33.33,10,37.04,14002
14,3,9,4,44.44,2,22.22,3,33.33,14003
14,5,9,3,33.33,2,22.22,4,44.44,14005
14,6,15,5,33.33,5,33.33,5,33.33,14006
14,10,26,9,34.62,9,34.62,8,30.77,14010
14,11,5,1,20.0,1,20.0,3,60.0,14011
14,13,21,9,42.86,7,33.33,5,23.81,14013
14,14,8,1,12.5,4,50.0,3,37.5,14014
14,15,7,3,42.86,2,28.57,2,28.57,14015
14,16,12,3,25.0,5,41.67,4,33.33,14016
14,17,23,8,34.78,8,34.78,7,30.43,14017
14,19,16,5,31.25,6,37.5,5,31.25,14019
14,20,9,3,33.33,2,22.22,4,44.44,14020
14,25,6,1,16.67,3,50.0,2,33.33,14025
14,27,25,13,52.0,7,28.0,5,20.0,14027
14,28,27,9,33.33,11,40.74,7,25.93,14028
14,30,6,2,33.33,2,33.33,2,33.33,14030
14,31,7,2,28.57,2,28.57,3,42.86,14031
15,1,0,0,0.0,0,0.0,0,0.0,15001
15,4,14,6,42.86,6,42.86,2,14.29,15004
15,5,4,1,25.0,2,50.0,1,25.0,15005
15,6,34,14,41.18,10,29.41,10,29.41,15006
15,8,6,3,50.0,1,16.67,2,33.33,15008
15,9,20,8,40.0,6,30.0,6,30.0,15009
15,10,17,8,47.06,5,29.41,4,23.53,15010
15,11,16,6,37.5,6,37.5,4,25.0,15011
15,12,17,7,41.18,7,41.18,3,17.65,15012
15,15,0,0,0.0,0,0.0,0,0.0,15015
16,1,3,2,66.67,1,33.33,0,0.0,16001
22,3,16,5,31.25,6,37.5,5,31.25,22003
22,4,0,0,0.0,0,0.0,0,0.0,22004
22,5,13,7,53.85,2,15.38,4,30.77,22005
22,6,13,5,38.46,5,38.46,3,23.08,22006
22,7,2,2,100.0,0,0.0,0,0.0,22007
22,9,10,2,20.0,5,50.0,3,30.0,22009
22,10,2,1,50.0,0,0.0,1,50.0,22010
22,11,9,3,33.33,3,33.33,3,33.33,22011
22,13,9,3,33.33,3,33.33,3,33.33,22013
22,14,3,1,33.33,1,33.33,1,33.33,22014
22,15,3,1,33.33,1,33.33,1,33.33,22015
22,16,4,0,0.0,3,75.0,1,25.0,22016
22,17,17,7,41.18,5,29.41,5,29.41,22017
22,18,3,3,100.0,0,0.0,0,0.0,22018
22,19,0,0,0.0,0,0.0,0,0.0,22019
22,20,13,4,30.77,5,38.46,4,30.77,22020
22,22,15,6,40.0,5,33.33,4,26.67,22022
22,24,23,7,30.43,7,30.43,9,39.13,22024
22,25,12,6,50.0,4,33.33,2,16.67,22025
23,9,3,1,33.33,1,33.33,1,33.33,23009
23,13,8,4,50.0,2,25.0,2,25.0,23013
23,15,3,1,33.33,1,33.33,1,33.33,23015
23,24,13,5,38.46,4,30.77,4,30.77,23024
23,26,9,3,33.33,3,33.33,3,33.33,23026
23,34,3,1,33.33,1,33.33,1,33.33,23034
23,39,13,4,30.77,5,38.46,4,30.77,23039
24,16,3,1,33.33,1,33.33,1,33.33,24016
25,1,11,3,27.27,5,45.45,3,27.27,25001
25,2,12,4,33.33,5,41.67,3,25.0,25002
25,5,13,5,38.46,4,30.77,4,30.77,25005
25,7,4,1,25.0,0,0.0,3,75.0,25007
25,8,6,3,50.0,1,16.67,2,33.33,25008
25,9,5,2,40.0,2,40.0,1,20.0,25009
25,11,12,6,50.0,3,25.0,3,25.0,25011
25,12,14,5,35.71,5,35.71,4,28.57,25012
25,13,12,4,33.33,5,41.67,3,25.0,25013
25,14,0,0,0.0,0,0.0,0,0.0,25014
25,15,14,4,28.57,5,35.71,5,35.71,25015
25,17,17,8,47.06,5,29.41,4,23.53,25017
25,19,6,3,50.0,1,16.67,2,33.33,25019
25,22,2,1,50.0,1,50.0,0,0.0,25022
25,23,10,4,40.0,4,40.0,2,20.0,25023
25,24,5,1,20.0,2,40.0,2,40.0,25024
25,26,20,7,35.0,8,40.0,5,25.0,25026
25,27,0,0,0.0,0,0.0,0,0.0,25027
25,28,10,3,30.0,3,30.0,4,40.0,25028
25,30,13,4,30.77,5,38.46,4,30.77,25030
25,32,37,13,35.14,13,35.14,11,29.73,25032
26,1,0,0,0.0,0,0.0,0,0.0,26001
26,2,9,4,44.44,2,22.22,3,33.33,26002
26,5,13,5,38.46,4,30.77,4,30.77,26005
26,6,13,8,61.54,2,15.38,3,23.08,26006
26,7,8,3,37.5,2,25.0,3,37.5,26007
26,8,8,3,37.5,3,37.5,2,25.0,26008
26,9,19,7,36.84,5,26.32,7,36.84,26009
26,10,4,2,50.0,1,25.0,1,25.0,26010
26,11,7,4,57.14,2,28.57,1,14.29,26011
26,12,13,4,30.77,5,38.46,4,30.77,26012
26,13,10,2,20.0,6,60.0,2,20.0,26013
26,14,1,0,0.0,0,0.0,1,100.0,26014
26,15,6,2,33.33,3,50.0,1,16.67,26015
26,16,9,3,33.33,2,22.22,4,44.44,26016
26,18,14,5,35.71,5,35.71,4,28.57,26018
26,20,7,3,42.86,2,28.57,2,28.57,26020
26,22,2,0,0.0,1,50.0,1,50.0,26022
26,23,6,3,50.0,2,33.33,1,16.67,26023
26,24,3,1,33.33,1,33.33,1,33.33,26024
26,25,2,1,50.0,0,0.0,1,50.0,26025
26,26,4,2,50.0,1,25.0,1,25.0,26026
