ward,precinct,total,Herbert Hebein,Herbert Hebein Percent,precinct_id
19,1,14,14,100.0,19001
19,2,4,4,100.0,19002
19,4,31,31,100.0,19004
19,6,30,30,100.0,19006
19,7,12,12,100.0,19007
19,8,40,40,100.0,19008
19,10,8,8,100.0,19010
19,11,29,29,100.0,19011
19,13,2,2,100.0,19013
19,15,38,38,100.0,19015
19,16,24,24,100.0,19016
19,17,12,12,100.0,19017
19,18,9,9,100.0,19018
19,19,9,9,100.0,19019
19,21,32,32,100.0,19021
19,22,7,7,100.0,19022
19,23,5,5,100.0,19023
19,24,0,0,0.0,19024
19,25,11,11,100.0,19025
19,26,16,16,100.0,19026
19,27,6,6,100.0,19027
19,28,3,3,100.0,19028
19,29,31,31,100.0,19029
19,30,23,23,100.0,19030
19,32,15,15,100.0,19032
19,33,25,25,100.0,19033
19,34,12,12,100.0,19034
19,35,10,10,100.0,19035
19,36,11,11,100.0,19036
19,37,4,4,100.0,19037
19,38,4,4,100.0,19038
19,39,2,2,100.0,19039
19,41,30,30,100.0,19041
19,44,25,25,100.0,19044
19,45,21,21,100.0,19045
19,46,12,12,100.0,19046
19,50,9,9,100.0,19050
19,51,14,14,100.0,19051
19,52,31,31,100.0,19052
19,53,9,9,100.0,19053
19,54,19,19,100.0,19054
19,56,2,2,100.0,19056
19,57,6,6,100.0,19057
21,1,1,1,100.0,21001
21,3,0,0,0.0,21003
21,8,4,4,100.0,21008
21,14,0,0,0.0,21014
21,16,3,3,100.0,21016
21,18,0,0,0.0,21018
21,22,0,0,0.0,21022
21,29,0,0,0.0,21029
21,32,0,0,0.0,21032
21,36,0,0,0.0,21036
21,42,1,1,100.0,21042
21,48,1,1,100.0,21048
34,49,1,1,100.0,34049
