ward,precinct,total,Patrick W. ''Pat'' O'Brien,Patrick W. ''Pat'' O'Brien Percent,Christopher E. K. Pfannkuche,Christopher E. K. Pfannkuche Percent,precinct_id
1,1,7,5,71.43,2,28.57,01001
1,2,8,7,87.5,1,12.5,01002
1,3,6,5,83.33,1,16.67,01003
1,4,6,5,83.33,1,16.67,01004
1,5,5,5,100.0,0,0.0,01005
1,6,8,7,87.5,1,12.5,01006
1,7,1,0,0.0,1,100.0,01007
1,8,7,5,71.43,2,28.57,01008
1,9,8,5,62.5,3,37.5,01009
1,10,9,9,100.0,0,0.0,01010
1,11,9,7,77.78,2,22.22,01011
1,12,13,12,92.31,1,7.69,01012
1,13,4,4,100.0,0,0.0,01013
1,14,3,2,66.67,1,33.33,01014
1,15,4,2,50.0,2,50.0,01015
1,16,5,5,100.0,0,0.0,01016
1,17,7,5,71.43,2,28.57,01017
1,18,4,3,75.0,1,25.0,01018
1,19,8,4,50.0,4,50.0,01019
1,20,4,2,50.0,2,50.0,01020
1,21,11,7,63.64,4,36.36,01021
1,22,8,8,100.0,0,0.0,01022
1,23,4,4,100.0,0,0.0,01023
1,24,3,1,33.33,2,66.67,01024
1,25,7,6,85.71,1,14.29,01025
1,26,4,4,100.0,0,0.0,01026
1,27,9,8,88.89,1,11.11,01027
1,28,4,3,75.0,1,25.0,01028
1,29,14,12,85.71,2,14.29,01029
1,30,7,6,85.71,1,14.29,01030
1,31,6,5,83.33,1,16.67,01031
1,32,9,7,77.78,2,22.22,01032
1,33,5,4,80.0,1,20.0,01033
1,34,2,2,100.0,0,0.0,01034
1,35,14,11,78.57,3,21.43,01035
1,36,6,4,66.67,2,33.33,01036
1,37,24,18,75.0,6,25.0,01037
1,38,4,2,50.0,2,50.0,01038
1,39,8,5,62.5,3,37.5,01039
1,40,10,8,80.0,2,20.0,01040
1,41,3,3,100.0,0,0.0,01041
1,42,4,3,75.0,1,25.0,01042
1,43,3,3,100.0,0,0.0,01043
1,44,5,4,80.0,1,20.0,01044
2,1,7,7,100.0,0,0.0,02001
2,2,21,16,76.19,5,23.81,02002
2,3,9,6,66.67,3,33.33,02003
2,4,3,2,66.67,1,33.33,02004
2,5,18,13,72.22,5,27.78,02005
2,6,6,6,100.0,0,0.0,02006
2,7,7,4,57.14,3,42.86,02007
2,8,11,8,72.73,3,27.27,02008
2,9,10,5,50.0,5,50.0,02009
2,10,9,9,100.0,0,0.0,02010
2,11,11,9,81.82,2,18.18,02011
2,12,10,7,70.0,3,30.0,02012
2,13,16,9,56.25,7,43.75,02013
2,14,11,10,90.91,1,9.09,02014
2,15,9,5,55.56,4,44.44,02015
2,16,3,2,66.67,1,33.33,02016
2,17,11,10,90.91,1,9.09,02017
2,18,15,10,66.67,5,33.33,02018
2,19,8,6,75.0,2,25.0,02019
2,20,10,8,80.0,2,20.0,02020
2,21,10,8,80.0,2,20.0,02021
2,22,9,7,77.78,2,22.22,02022
2,23,16,13,81.25,3,18.75,02023
2,24,6,2,33.33,4,66.67,02024
2,25,8,7,87.5,1,12.5,02025
2,26,15,8,53.33,7,46.67,02026
2,27,20,14,70.0,6,30.0,02027
2,28,23,22,95.65,1,4.35,02028
2,29,18,14,77.78,4,22.22,02029
2,30,19,12,63.16,7,36.84,02030
2,31,18,13,72.22,5,27.78,02031
2,32,11,8,72.73,3,27.27,02032
2,33,31,21,67.74,10,32.26,02033
2,34,20,13,65.0,7,35.0,02034
2,35,24,14,58.33,10,41.67,02035
2,36,24,18,75.0,6,25.0,02036
2,37,18,12,66.67,6,33.33,02037
2,38,20,16,80.0,4,20.0,02038
2,39,25,18,72.0,7,28.0,02039
2,40,8,4,50.0,4,50.0,02040
2,41,17,14,82.35,3,17.65,02041
2,42,10,8,80.0,2,20.0,02042
2,43,13,13,100.0,0,0.0,02043
2,44,16,12,75.0,4,25.0,02044
2,45,24,20,83.33,4,16.67,02045
2,46,9,7,77.78,2,22.22,02046
3,1,3,1,33.33,2,66.67,03001
3,2,2,1,50.0,1,50.0,03002
3,3,3,1,33.33,2,66.67,03003
3,4,4,4,100.0,0,0.0,03004
3,5,4,4,100.0,0,0.0,03005
3,6,19,15,78.95,4,21.05,03006
3,7,2,1,50.0,1,50.0,03007
3,8,3,3,100.0,0,0.0,03008
3,9,2,2,100.0,0,0.0,03009
3,10,4,3,75.0,1,25.0,03010
3,11,4,4,100.0,0,0.0,03011
3,12,2,2,100.0,0,0.0,03012
3,13,7,6,85.71,1,14.29,03013
3,14,10,6,60.0,4,40.0,03014
3,15,1,1,100.0,0,0.0,03015
3,16,3,1,33.33,2,66.67,03016
3,17,7,7,100.0,0,0.0,03017
3,18,7,3,42.86,4,57.14,03018
3,19,20,14,70.0,6,30.0,03019
3,20,5,1,20.0,4,80.0,03020
3,21,4,3,75.0,1,25.0,03021
3,22,15,14,93.33,1,6.67,03022
3,23,6,5,83.33,1,16.67,03023
3,24,3,3,100.0,0,0.0,03024
3,25,28,18,64.29,10,35.71,03025
3,26,13,8,61.54,5,38.46,03026
3,27,24,21,87.5,3,12.5,03027
3,28,0,0,0.0,0,0.0,03028
3,29,2,2,100.0,0,0.0,03029
3,30,1,0,0.0,1,100.0,03030
3,31,3,2,66.67,1,33.33,03031
3,32,16,13,81.25,3,18.75,03032
3,33,17,16,94.12,1,5.88,03033
3,34,8,7,87.5,1,12.5,03034
3,35,1,1,100.0,0,0.0,03035
3,36,0,0,0.0,0,0.0,03036
3,37,1,1,100.0,0,0.0,03037
3,38,2,2,100.0,0,0.0,03038
3,39,14,4,28.57,10,71.43,03039
3,40,6,6,100.0,0,0.0,03040
3,41,4,2,50.0,2,50.0,03041
4,1,2,2,100.0,0,0.0,04001
4,2,15,10,66.67,5,33.33,04002
4,3,2,1,50.0,1,50.0,04003
4,4,6,6,100.0,0,0.0,04004
4,5,1,1,100.0,0,0.0,04005
4,6,6,5,83.33,1,16.67,04006
4,7,7,2,28.57,5,71.43,04007
4,8,0,0,0.0,0,0.0,04008
4,9,2,1,50.0,1,50.0,04009
4,10,5,4,80.0,1,20.0,04010
4,11,1,1,100.0,0,0.0,04011
4,12,5,2,40.0,3,60.0,04012
4,13,10,8,80.0,2,20.0,04013
4,14,6,4,66.67,2,33.33,04014
4,15,1,1,100.0,0,0.0,04015
4,16,12,9,75.0,3,25.0,04016
4,17,8,8,100.0,0,0.0,04017
4,18,4,3,75.0,1,25.0,04018
4,19,0,0,0.0,0,0.0,04019
4,20,7,5,71.43,2,28.57,04020
4,21,5,4,80.0,1,20.0,04021
4,22,1,1,100.0,0,0.0,04022
4,23,3,2,66.67,1,33.33,04023
4,24,6,3,50.0,3,50.0,04024
4,25,20,13,65.0,7,35.0,04025
4,26,3,1,33.33,2,66.67,04026
4,27,0,0,0.0,0,0.0,04027
4,28,5,4,80.0,1,20.0,04028
4,29,0,0,0.0,0,0.0,04029
4,30,2,1,50.0,1,50.0,04030
4,31,3,2,66.67,1,33.33,04031
4,32,2,2,100.0,0,0.0,04032
4,33,3,2,66.67,1,33.33,04033
4,34,2,1,50.0,1,50.0,04034
4,35,3,1,33.33,2,66.67,04035
4,36,5,5,100.0,0,0.0,04036
4,37,13,10,76.92,3,23.08,04037
4,38,2,2,100.0,0,0.0,04038
5,1,1,1,100.0,0,0.0,05001
5,2,0,0,0.0,0,0.0,05002
5,3,1,0,0.0,1,100.0,05003
5,4,2,1,50.0,1,50.0,05004
5,5,0,0,0.0,0,0.0,05005
5,6,1,1,100.0,0,0.0,05006
5,7,3,2,66.67,1,33.33,05007
5,8,9,7,77.78,2,22.22,05008
5,9,1,0,0.0,1,100.0,05009
5,10,0,0,0.0,0,0.0,05010
5,11,5,5,100.0,0,0.0,05011
5,12,3,2,66.67,1,33.33,05012
5,13,2,2,100.0,0,0.0,05013
5,14,1,1,100.0,0,0.0,05014
5,15,5,4,80.0,1,20.0,05015
5,16,1,1,100.0,0,0.0,05016
5,17,3,2,66.67,1,33.33,05017
5,18,2,1,50.0,1,50.0,05018
5,19,1,1,100.0,0,0.0,05019
5,20,3,1,33.33,2,66.67,05020
5,21,1,1,100.0,0,0.0,05021
5,22,9,6,66.67,3,33.33,05022
5,23,4,4,100.0,0,0.0,05023
5,24,3,1,33.33,2,66.67,05024
5,25,0,0,0.0,0,0.0,05025
5,26,1,0,0.0,1,100.0,05026
5,27,0,0,0.0,0,0.0,05027
5,28,6,4,66.67,2,33.33,05028
5,29,3,2,66.67,1,33.33,05029
5,30,1,1,100.0,0,0.0,05030
5,31,0,0,0.0,0,0.0,05031
5,32,1,0,0.0,1,100.0,05032
5,33,1,1,100.0,0,0.0,05033
5,34,3,1,33.33,2,66.67,05034
5,35,0,0,0.0,0,0.0,05035
5,36,2,1,50.0,1,50.0,05036
5,37,2,2,100.0,0,0.0,05037
5,38,0,0,0.0,0,0.0,05038
5,39,6,2,33.33,4,66.67,05039
5,40,2,1,50.0,1,50.0,05040
5,41,2,1,50.0,1,50.0,05041
6,1,2,2,100.0,0,0.0,06001
6,2,0,0,0.0,0,0.0,06002
6,3,3,2,66.67,1,33.33,06003
6,4,1,1,100.0,0,0.0,06004
6,5,2,1,50.0,1,50.0,06005
6,6,5,4,80.0,1,20.0,06006
6,7,3,2,66.67,1,33.33,06007
6,8,1,1,100.0,0,0.0,06008
6,9,1,1,100.0,0,0.0,06009
6,10,1,1,100.0,0,0.0,06010
6,11,3,2,66.67,1,33.33,06011
6,12,0,0,0.0,0,0.0,06012
6,13,1,1,100.0,0,0.0,06013
6,14,1,1,100.0,0,0.0,06014
6,15,0,0,0.0,0,0.0,06015
6,16,1,0,0.0,1,100.0,06016
6,17,2,1,50.0,1,50.0,06017
6,18,0,0,0.0,0,0.0,06018
6,19,2,2,100.0,0,0.0,06019
6,20,0,0,0.0,0,0.0,06020
6,21,3,1,33.33,2,66.67,06021
6,22,19,10,52.63,9,47.37,06022
6,23,1,1,100.0,0,0.0,06023
6,24,0,0,0.0,0,0.0,06024
6,25,0,0,0.0,0,0.0,06025
6,26,1,0,0.0,1,100.0,06026
6,27,1,0,0.0,1,100.0,06027
6,28,3,3,100.0,0,0.0,06028
6,29,0,0,0.0,0,0.0,06029
6,30,0,0,0.0,0,0.0,06030
6,31,1,1,100.0,0,0.0,06031
6,32,4,3,75.0,1,25.0,06032
6,33,5,3,60.0,2,40.0,06033
6,34,1,0,0.0,1,100.0,06034
6,35,2,1,50.0,1,50.0,06035
6,36,1,1,100.0,0,0.0,06036
6,37,3,2,66.67,1,33.33,06037
6,38,5,4,80.0,1,20.0,06038
6,39,3,3,100.0,0,0.0,06039
6,40,0,0,0.0,0,0.0,06040
6,41,1,1,100.0,0,0.0,06041
6,42,2,1,50.0,1,50.0,06042
6,43,1,1,100.0,0,0.0,06043
6,44,6,4,66.67,2,33.33,06044
