ward,precinct,total,Rosa Pritchett,Rosa Pritchett Percent,precinct_id
15,1,4,4,100.0,15001
15,2,1,1,100.0,15002
15,3,2,2,100.0,15003
15,4,9,9,100.0,15004
15,5,1,1,100.0,15005
15,6,12,12,100.0,15006
15,7,2,2,100.0,15007
15,8,6,6,100.0,15008
15,9,9,9,100.0,15009
15,10,5,5,100.0,15010
15,11,7,7,100.0,15011
15,12,11,11,100.0,15012
15,13,5,5,100.0,15013
15,14,4,4,100.0,15014
15,15,5,5,100.0,15015
15,16,7,7,100.0,15016
15,17,1,1,100.0,15017
15,18,0,0,0.0,15018
15,19,4,4,100.0,15019
15,20,1,1,100.0,15020
15,21,1,1,100.0,15021
15,22,3,3,100.0,15022
15,23,1,1,100.0,15023
15,24,0,0,0.0,15024
