ward,precinct,total,Kerri Urbanski,Kerri Urbanski Percent,precinct_id
45,1,6,6,100.0,45001
45,2,2,2,100.0,45002
45,3,8,8,100.0,45003
45,4,11,11,100.0,45004
45,5,9,9,100.0,45005
45,6,11,11,100.0,45006
45,7,15,15,100.0,45007
45,8,12,12,100.0,45008
45,9,17,17,100.0,45009
45,10,18,18,100.0,45010
45,11,7,7,100.0,45011
45,12,17,17,100.0,45012
45,13,12,12,100.0,45013
45,14,11,11,100.0,45014
45,15,9,9,100.0,45015
45,16,13,13,100.0,45016
45,17,15,15,100.0,45017
45,18,15,15,100.0,45018
45,19,9,9,100.0,45019
45,20,11,11,100.0,45020
45,21,18,18,100.0,45021
45,22,10,10,100.0,45022
45,23,7,7,100.0,45023
45,24,11,11,100.0,45024
45,25,13,13,100.0,45025
45,26,15,15,100.0,45026
45,27,19,19,100.0,45027
45,28,16,16,100.0,45028
45,29,11,11,100.0,45029
45,30,10,10,100.0,45030
45,31,11,11,100.0,45031
45,32,13,13,100.0,45032
45,33,14,14,100.0,45033
45,34,21,21,100.0,45034
45,35,20,20,100.0,45035
45,36,22,22,100.0,45036
45,37,28,28,100.0,45037
45,38,12,12,100.0,45038
45,39,20,20,100.0,45039
45,40,14,14,100.0,45040
45,41,11,11,100.0,45041
45,42,8,8,100.0,45042
45,43,21,21,100.0,45043
45,44,14,14,100.0,45044
45,45,18,18,100.0,45045
45,46,24,24,100.0,45046
45,47,10,10,100.0,45047
45,48,24,24,100.0,45048
