ward,precinct,total,BRIAN HOPKINS,BRIAN HOPKINS Percent,precinct_id
2,1,428,428,100.0,02001
2,2,623,623,100.0,02002
2,3,326,326,100.0,02003
2,4,350,350,100.0,02004
2,5,433,433,100.0,02005
2,6,722,722,100.0,02006
2,7,633,633,100.0,02007
2,8,505,505,100.0,02008
2,9,655,655,100.0,02009
2,10,261,261,100.0,02010
2,11,386,386,100.0,02011
2,12,412,412,100.0,02012
2,13,583,583,100.0,02013
2,14,358,358,100.0,02014
2,15,518,518,100.0,02015
2,16,599,599,100.0,02016
2,17,738,738,100.0,02017
2,18,390,390,100.0,02018
2,19,233,233,100.0,02019
2,20,334,334,100.0,02020
2,21,111,111,100.0,02021
2,22,334,334,100.0,02022
2,23,361,361,100.0,02023
2,24,368,368,100.0,02024
2,25,539,539,100.0,02025
