ward,precinct,total,RENITA Q. WARD,RENITA Q. WARD Percent,MARLENE FISHER,MARLENE FISHER Percent,JOSHUA GRAY,JOSHUA GRAY Percent,ROBERT PALMER,ROBERT PALMER Percent,MARTINA 'TINA' HONE,MARTINA 'TINA' HONE Percent,JOCELYN HARE,JOCELYN HARE Percent,"DIALIKA """"DEE"""" PERKINS","DIALIKA """"DEE"""" PERKINS Percent",DESMON C. YANCY,DESMON C. YANCY Percent,KRIS LEVY,KRIS LEVY Percent,GABRIEL PIEMONTE,GABRIEL PIEMONTE Percent,"WALLACE E. GOODE, JR.","WALLACE E. GOODE, JR. Percent",WILLIAM CALLOWAY (WRITE-IN),WILLIAM CALLOWAY (WRITE-IN) Percent,precinct_id
5,1,522,45,8.62,20,3.83,67,12.84,19,3.64,59,11.3,16,3.07,56,10.73,158,30.27,38,7.28,7,1.34,37,7.09,0,0.0,05001
5,2,609,80,13.14,18,2.96,48,7.88,20,3.28,75,12.32,17,2.79,46,7.55,189,31.03,52,8.54,13,2.13,51,8.37,0,0.0,05002
5,3,556,43,7.73,25,4.5,32,5.76,20,3.6,71,12.77,29,5.22,49,8.81,182,32.73,49,8.81,18,3.24,38,6.83,0,0.0,05003
5,4,468,31,6.62,15,3.21,45,9.62,11,2.35,60,12.82,12,2.56,45,9.62,185,39.53,33,7.05,4,0.85,27,5.77,0,0.0,05004
5,5,202,17,8.42,4,1.98,27,13.37,1,0.5,25,12.38,4,1.98,8,3.96,55,27.23,49,24.26,3,1.49,9,4.46,0,0.0,05005
5,6,254,24,9.45,8,3.15,47,18.5,4,1.57,23,9.06,4,1.57,27,10.63,61,24.02,46,18.11,3,1.18,7,2.76,0,0.0,05006
5,7,108,16,14.81,4,3.7,6,5.56,5,4.63,11,10.19,2,1.85,5,4.63,36,33.33,16,14.81,3,2.78,4,3.7,0,0.0,05007
5,8,161,17,10.56,8,4.97,14,8.7,9,5.59,20,12.42,12,7.45,11,6.83,49,30.43,9,5.59,4,2.48,8,4.97,0,0.0,05008
5,9,153,23,15.03,14,9.15,21,13.73,6,3.92,13,8.5,2,1.31,22,14.38,38,24.84,9,5.88,2,1.31,3,1.96,0,0.0,05009
5,10,172,17,9.88,12,6.98,22,12.79,5,2.91,16,9.3,6,3.49,10,5.81,59,34.3,10,5.81,8,4.65,7,4.07,0,0.0,05010
5,11,331,38,11.48,72,21.75,43,12.99,19,5.74,23,6.95,9,2.72,10,3.02,81,24.47,7,2.11,4,1.21,25,7.55,0,0.0,05011
5,12,600,66,11.0,11,1.83,13,2.17,7,1.17,182,30.33,52,8.67,8,1.33,124,20.67,12,2.0,35,5.83,90,15.0,0,0.0,05012
5,13,252,22,8.73,11,4.37,26,10.32,5,1.98,25,9.92,18,7.14,9,3.57,73,28.97,13,5.16,21,8.33,29,11.51,0,0.0,05013
5,14,271,37,13.65,15,5.54,47,17.34,4,1.48,29,10.7,16,5.9,5,1.85,71,26.2,14,5.17,7,2.58,25,9.23,1,0.37,05014
5,15,887,93,10.48,16,1.8,21,2.37,10,1.13,194,21.87,111,12.51,16,1.8,203,22.89,20,2.25,44,4.96,159,17.93,0,0.0,05015
5,16,546,68,12.45,10,1.83,18,3.3,3,0.55,160,29.3,59,10.81,6,1.1,125,22.89,10,1.83,29,5.31,58,10.62,0,0.0,05016
5,17,380,68,17.89,9,2.37,26,6.84,4,1.05,75,19.74,36,9.47,4,1.05,88,23.16,11,2.89,15,3.95,44,11.58,0,0.0,05017
5,18,780,141,18.08,23,2.95,38,4.87,7,0.9,160,20.51,77,9.87,14,1.79,161,20.64,23,2.95,24,3.08,112,14.36,0,0.0,05018
5,19,363,67,18.46,8,2.2,11,3.03,6,1.65,78,21.49,22,6.06,4,1.1,82,22.59,15,4.13,11,3.03,59,16.25,0,0.0,05019
5,20,525,83,15.81,10,1.9,17,3.24,9,1.71,96,18.29,70,13.33,12,2.29,138,26.29,10,1.9,15,2.86,65,12.38,0,0.0,05020
5,21,514,70,13.62,13,2.53,24,4.67,5,0.97,114,22.18,69,13.42,4,0.78,122,23.74,7,1.36,27,5.25,59,11.48,0,0.0,05021
5,22,564,58,10.28,14,2.48,22,3.9,3,0.53,96,17.02,85,15.07,8,1.42,160,28.37,5,0.89,39,6.91,74,13.12,0,0.0,05022
5,23,313,48,15.34,8,2.56,21,6.71,3,0.96,72,23.0,37,11.82,5,1.6,57,18.21,9,2.88,18,5.75,35,11.18,0,0.0,05023
5,24,283,28,9.89,18,6.36,8,2.83,5,1.77,69,24.38,46,16.25,6,2.12,58,20.49,6,2.12,17,6.01,22,7.77,0,0.0,05024
5,25,862,66,7.66,31,3.6,26,3.02,7,0.81,237,27.49,116,13.46,9,1.04,217,25.17,15,1.74,67,7.77,71,8.24,0,0.0,05025
