ward,precinct,total,CARLOS RAMIREZ-ROSA,CARLOS RAMIREZ-ROSA Percent,precinct_id
35,1,130,130,100.0,35001
35,2,366,366,100.0,35002
35,3,251,251,100.0,35003
35,4,370,370,100.0,35004
35,5,524,524,100.0,35005
35,6,764,764,100.0,35006
35,7,550,550,100.0,35007
35,8,361,361,100.0,35008
35,9,581,581,100.0,35009
35,10,390,390,100.0,35010
35,11,500,500,100.0,35011
35,12,644,644,100.0,35012
35,13,410,410,100.0,35013
35,14,396,396,100.0,35014
35,15,495,495,100.0,35015
35,16,611,611,100.0,35016
35,17,418,418,100.0,35017
35,18,284,284,100.0,35018
35,19,395,395,100.0,35019
35,20,237,237,100.0,35020
35,21,421,421,100.0,35021
35,22,472,472,100.0,35022
