ward,precinct,total,"BRIAN J. RAMSON, JR.","BRIAN J. RAMSON, JR. Percent",JOCELYN A. WOODARDS,JOCELYN A. WOODARDS Percent,ALEES EDWARDS,ALEES EDWARDS Percent,precinct_id
24,1,195,75,38.46,73,37.44,47,24.1,24001
24,2,243,80,32.92,99,40.74,64,26.34,24002
24,3,124,49,39.52,46,37.1,29,23.39,24003
24,6,432,139,32.18,194,44.91,99,22.92,24006
24,7,250,83,33.2,97,38.8,70,28.0,24007
24,10,374,123,32.89,160,42.78,91,24.33,24010
24,11,368,127,34.51,139,37.77,102,27.72,24011
24,13,445,145,32.58,168,37.75,132,29.66,24013
24,14,110,47,42.73,40,36.36,23,20.91,24014
26,10,364,124,34.07,140,38.46,100,27.47,26010
27,3,385,143,37.14,137,35.58,105,27.27,27003
27,5,353,123,34.84,128,36.26,102,28.9,27005
27,8,261,79,30.27,103,39.46,79,30.27,27008
27,14,501,168,33.53,184,36.73,149,29.74,27014
27,17,8,3,37.5,3,37.5,2,25.0,27017
27,19,204,78,38.24,71,34.8,55,26.96,27019
27,22,247,92,37.25,97,39.27,58,23.48,27022
27,23,328,119,36.28,121,36.89,88,26.83,27023
27,24,204,65,31.86,87,42.65,52,25.49,27024
28,3,76,31,40.79,29,38.16,16,21.05,28003
28,4,272,95,34.93,105,38.6,72,26.47,28004
28,5,262,98,37.4,107,40.84,57,21.76,28005
28,6,448,144,32.14,175,39.06,129,28.79,28006
28,7,217,76,35.02,78,35.94,63,29.03,28007
28,8,444,160,36.04,159,35.81,125,28.15,28008
28,9,244,87,35.66,92,37.7,65,26.64,28009
28,10,139,50,35.97,53,38.13,36,25.9,28010
28,11,536,186,34.7,191,35.63,159,29.66,28011
28,17,124,38,30.65,52,41.94,34,27.42,28017
28,18,457,162,35.45,167,36.54,128,28.01,28018
28,19,423,144,34.04,160,37.83,119,28.13,28019
28,20,315,104,33.02,126,40.0,85,26.98,28020
28,21,311,113,36.33,108,34.73,90,28.94,28021
28,22,275,88,32.0,106,38.55,81,29.45,28022
28,23,400,138,34.5,151,37.75,111,27.75,28023
28,24,341,117,34.31,122,35.78,102,29.91,28024
28,26,202,66,32.67,83,41.09,53,26.24,28026
36,16,160,51,31.88,64,40.0,45,28.13,36016
37,7,392,145,36.99,139,35.46,108,27.55,37007
37,13,326,120,36.81,115,35.28,91,27.91,37013
37,19,344,106,30.81,124,36.05,114,33.14,37019
37,21,361,138,38.23,139,38.5,84,23.27,37021
