ward,precinct,total,MARGARET LAURINO,MARGARET LAURINO Percent,MARY K. HUNTER,MARY K. HUNTER Percent,precinct_id
39,1,261,190,72.8,71,27.2,39001
39,2,383,274,71.54,109,28.46,39002
39,3,259,206,79.54,53,20.46,39003
39,4,206,152,73.79,54,26.21,39004
39,5,141,127,90.07,14,9.93,39005
39,6,233,190,81.55,43,18.45,39006
39,7,175,143,81.71,32,18.29,39007
39,8,257,207,80.54,50,19.46,39008
39,9,283,242,85.51,41,14.49,39009
39,10,196,144,73.47,52,26.53,39010
39,11,264,226,85.61,38,14.39,39011
39,12,186,144,77.42,42,22.58,39012
39,13,125,75,60.0,50,40.0,39013
39,14,225,162,72.0,63,28.0,39014
39,15,237,187,78.9,50,21.1,39015
39,16,162,126,77.78,36,22.22,39016
39,17,170,114,67.06,56,32.94,39017
39,18,260,197,75.77,63,24.23,39018
39,19,169,127,75.15,42,24.85,39019
39,20,243,187,76.95,56,23.05,39020
39,21,177,144,81.36,33,18.64,39021
39,22,242,186,76.86,56,23.14,39022
39,23,140,111,79.29,29,20.71,39023
39,24,211,160,75.83,51,24.17,39024
39,25,246,189,76.83,57,23.17,39025
39,26,246,198,80.49,48,19.51,39026
39,27,247,169,68.42,78,31.58,39027
39,28,273,214,78.39,59,21.61,39028
39,29,248,180,72.58,68,27.42,39029
39,30,136,103,75.74,33,24.26,39030
39,31,175,147,84.0,28,16.0,39031
39,32,169,140,82.84,29,17.16,39032
39,33,284,209,73.59,75,26.41,39033
39,34,268,188,70.15,80,29.85,39034
39,35,281,155,55.16,126,44.84,39035
39,36,202,166,82.18,36,17.82,39036
39,37,354,287,81.07,67,18.93,39037
39,38,260,211,81.15,49,18.85,39038
39,39,109,85,77.98,24,22.02,39039
39,40,162,146,90.12,16,9.88,39040
39,41,97,71,73.2,26,26.8,39041
39,42,222,173,77.93,49,22.07,39042
39,43,208,129,62.02,79,37.98,39043
39,44,288,212,73.61,76,26.39,39044
39,45,142,96,67.61,46,32.39,39045
39,46,196,147,75.0,49,25.0,39046
39,47,171,145,84.8,26,15.2,39047
