ward,precinct,total,HARRY OSTERMAN,HARRY OSTERMAN Percent,PATRICK MCDONOUGH,PATRICK MCDONOUGH Percent,STEVEN CHERESKA,STEVEN CHERESKA Percent,JOSE E. ARTEAGA,JOSE E. ARTEAGA Percent,PHILIP R. BERNSTEIN,PHILIP R. BERNSTEIN Percent,precinct_id
48,1,281,243,86.48,13,4.63,8,2.85,11,3.91,6,2.14,48001
48,2,224,173,77.23,6,2.68,8,3.57,13,5.8,24,10.71,48002
48,3,332,271,81.63,25,7.53,18,5.42,10,3.01,8,2.41,48003
48,4,309,220,71.2,13,4.21,11,3.56,41,13.27,24,7.77,48004
48,5,262,230,87.79,10,3.82,2,0.76,5,1.91,15,5.73,48005
48,6,312,242,77.56,20,6.41,18,5.77,15,4.81,17,5.45,48006
48,7,209,183,87.56,13,6.22,4,1.91,4,1.91,5,2.39,48007
48,8,211,178,84.36,6,2.84,3,1.42,8,3.79,16,7.58,48008
48,9,260,212,81.54,18,6.92,2,0.77,8,3.08,20,7.69,48009
48,10,203,165,81.28,14,6.9,2,0.99,11,5.42,11,5.42,48010
48,11,286,244,85.31,19,6.64,5,1.75,6,2.1,12,4.2,48011
48,12,260,218,83.85,13,5.0,7,2.69,11,4.23,11,4.23,48012
48,13,240,163,67.92,6,2.5,0,0.0,8,3.33,63,26.25,48013
48,14,318,259,81.45,11,3.46,9,2.83,13,4.09,26,8.18,48014
48,15,145,105,72.41,17,11.72,3,2.07,7,4.83,13,8.97,48015
48,16,225,186,82.67,11,4.89,15,6.67,9,4.0,4,1.78,48016
48,17,306,199,65.03,12,3.92,10,3.27,68,22.22,17,5.56,48017
48,18,150,119,79.33,7,4.67,12,8.0,1,0.67,11,7.33,48018
48,19,223,192,86.1,10,4.48,8,3.59,6,2.69,7,3.14,48019
48,20,195,177,90.77,13,6.67,0,0.0,1,0.51,4,2.05,48020
48,21,260,182,70.0,12,4.62,25,9.62,24,9.23,17,6.54,48021
48,22,385,325,84.42,7,1.82,3,0.78,16,4.16,34,8.83,48022
48,23,237,154,64.98,22,9.28,3,1.27,40,16.88,18,7.59,48023
48,24,138,97,70.29,10,7.25,1,0.72,14,10.14,16,11.59,48024
48,25,298,220,73.83,25,8.39,8,2.68,25,8.39,20,6.71,48025
48,26,280,228,81.43,8,2.86,6,2.14,12,4.29,26,9.29,48026
48,27,192,152,79.17,8,4.17,9,4.69,11,5.73,12,6.25,48027
48,28,243,195,80.25,14,5.76,8,3.29,10,4.12,16,6.58,48028
48,29,231,209,90.48,6,2.6,3,1.3,2,0.87,11,4.76,48029
48,30,279,243,87.1,5,1.79,4,1.43,10,3.58,17,6.09,48030
48,31,198,172,86.87,5,2.53,7,3.54,5,2.53,9,4.55,48031
48,32,193,150,77.72,9,4.66,8,4.15,15,7.77,11,5.7,48032
48,33,235,218,92.77,3,1.28,2,0.85,8,3.4,4,1.7,48033
48,34,324,230,70.99,32,9.88,19,5.86,26,8.02,17,5.25,48034
48,35,123,74,60.16,15,12.2,5,4.07,16,13.01,13,10.57,48035
48,36,234,186,79.49,20,8.55,4,1.71,10,4.27,14,5.98,48036
48,37,219,201,91.78,5,2.28,5,2.28,1,0.46,7,3.2,48037
48,38,342,313,91.52,8,2.34,6,1.75,5,1.46,10,2.92,48038
48,39,246,208,84.55,8,3.25,9,3.66,9,3.66,12,4.88,48039
48,40,165,113,68.48,12,7.27,4,2.42,16,9.7,20,12.12,48040
48,41,154,128,83.12,8,5.19,3,1.95,8,5.19,7,4.55,48041
48,42,243,216,88.89,9,3.7,2,0.82,10,4.12,6,2.47,48042
48,43,288,253,87.85,22,7.64,2,0.69,6,2.08,5,1.74,48043
48,44,307,252,82.08,16,5.21,10,3.26,20,6.51,9,2.93,48044
48,45,194,171,88.14,7,3.61,4,2.06,6,3.09,6,3.09,48045
48,46,163,142,87.12,4,2.45,8,4.91,3,1.84,6,3.68,48046
48,47,209,162,77.51,5,2.39,19,9.09,11,5.26,12,5.74,48047
48,48,256,220,85.94,11,4.3,2,0.78,16,6.25,7,2.73,48048
48,49,104,81,77.88,12,11.54,1,0.96,4,3.85,6,5.77,48049
48,50,279,243,87.1,9,3.23,5,1.79,8,2.87,14,5.02,48050
48,51,374,345,92.25,15,4.01,3,0.8,5,1.34,6,1.6,48051
48,52,185,144,77.84,20,10.81,3,1.62,13,7.03,5,2.7,48052
48,53,154,121,78.57,10,6.49,5,3.25,8,5.19,10,6.49,48053
48,54,179,138,77.09,9,5.03,12,6.7,9,5.03,11,6.15,48054
