ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Philanise White,Philanise White Percent,precinct_id
3,2,43,41,95.35,2,4.65,03002
3,4,334,321,96.11,13,3.89,03004
3,7,380,357,93.95,23,6.05,03007
3,12,67,63,94.03,4,5.97,03012
3,18,244,235,96.31,9,3.69,03018
3,23,120,97,80.83,23,19.17,03023
3,29,0,0,0.0,0,0.0,03029
3,30,233,225,96.57,8,3.43,03030
3,31,10,10,100.0,0,0.0,03031
3,35,205,193,94.15,12,5.85,03035
3,38,444,432,97.3,12,2.7,03038
3,41,490,447,91.22,43,8.78,03041
4,1,911,849,93.19,62,6.81,04001
4,3,531,512,96.42,19,3.58,04003
4,4,84,77,91.67,7,8.33,04004
4,8,554,541,97.65,13,2.35,04008
4,9,655,635,96.95,20,3.05,04009
4,11,252,235,93.25,17,6.75,04011
4,12,771,744,96.5,27,3.5,04012
4,14,494,458,92.71,36,7.29,04014
4,15,482,470,97.51,12,2.49,04015
4,18,598,574,95.99,24,4.01,04018
4,19,520,501,96.35,19,3.65,04019
4,22,591,542,91.71,49,8.29,04022
4,23,770,730,94.81,40,5.19,04023
4,24,593,557,93.93,36,6.07,04024
4,26,567,543,95.77,24,4.23,04026
4,27,842,800,95.01,42,4.99,04027
4,28,160,151,94.38,9,5.63,04028
4,29,366,353,96.45,13,3.55,04029
4,30,728,712,97.8,16,2.2,04030
4,31,571,541,94.75,30,5.25,04031
4,32,680,648,95.29,32,4.71,04032
4,33,593,561,94.6,32,5.4,04033
4,36,388,363,93.56,25,6.44,04036
4,38,672,635,94.49,37,5.51,04038
5,2,440,428,97.27,12,2.73,05002
5,3,612,576,94.12,36,5.88,05003
5,4,764,734,96.07,30,3.93,05004
5,5,540,519,96.11,21,3.89,05005
5,7,612,572,93.46,40,6.54,05007
5,8,623,568,91.17,55,8.83,05008
5,9,705,673,95.46,32,4.54,05009
5,10,280,274,97.86,6,2.14,05010
5,11,248,226,91.13,22,8.87,05011
5,12,370,354,95.68,16,4.32,05012
5,13,514,496,96.5,18,3.5,05013
5,15,597,560,93.8,37,6.2,05015
5,16,561,541,96.43,20,3.57,05016
5,17,478,462,96.65,16,3.35,05017
5,18,343,332,96.79,11,3.21,05018
5,19,544,491,90.26,53,9.74,05019
5,20,641,605,94.38,36,5.62,05020
5,21,598,559,93.48,39,6.52,05021
5,22,698,644,92.26,54,7.74,05022
5,24,728,684,93.96,44,6.04,05024
5,25,143,139,97.2,4,2.8,05025
5,27,607,535,88.14,72,11.86,05027
5,30,379,364,96.04,15,3.96,05030
5,33,612,600,98.04,12,1.96,05033
5,34,647,572,88.41,75,11.59,05034
5,35,637,585,91.84,52,8.16,05035
5,39,506,441,87.15,65,12.85,05039
6,1,493,478,96.96,15,3.04,06001
6,2,470,453,96.38,17,3.62,06002
6,3,504,495,98.21,9,1.79,06003
6,4,356,344,96.63,12,3.37,06004
6,5,332,322,96.99,10,3.01,06005
6,6,535,508,94.95,27,5.05,06006
6,7,475,457,96.21,18,3.79,06007
6,8,473,458,96.83,15,3.17,06008
6,9,471,454,96.39,17,3.61,06009
6,10,360,346,96.11,14,3.89,06010
6,11,402,387,96.27,15,3.73,06011
6,12,375,363,96.8,12,3.2,06012
6,13,353,344,97.45,9,2.55,06013
6,14,438,431,98.4,7,1.6,06014
6,15,432,413,95.6,19,4.4,06015
6,16,483,471,97.52,12,2.48,06016
6,17,345,320,92.75,25,7.25,06017
6,18,365,358,98.08,7,1.92,06018
6,19,415,403,97.11,12,2.89,06019
6,20,311,304,97.75,7,2.25,06020
6,21,13,10,76.92,3,23.08,06021
6,22,309,293,94.82,16,5.18,06022
6,23,275,264,96.0,11,4.0,06023
6,24,266,253,95.11,13,4.89,06024
6,25,255,248,97.25,7,2.75,06025
6,26,367,350,95.37,17,4.63,06026
6,27,293,284,96.93,9,3.07,06027
6,28,245,238,97.14,7,2.86,06028
6,29,487,478,98.15,9,1.85,06029
6,30,394,380,96.45,14,3.55,06030
6,31,465,448,96.34,17,3.66,06031
6,32,436,417,95.64,19,4.36,06032
6,33,454,434,95.59,20,4.41,06033
6,34,467,462,98.93,5,1.07,06034
6,35,417,397,95.2,20,4.8,06035
6,36,506,499,98.62,7,1.38,06036
6,37,484,461,95.25,23,4.75,06037
6,38,496,473,95.36,23,4.64,06038
6,39,394,380,96.45,14,3.55,06039
6,40,411,400,97.32,11,2.68,06040
6,41,467,449,96.15,18,3.85,06041
6,42,469,463,98.72,6,1.28,06042
6,43,437,423,96.8,14,3.2,06043
6,44,542,523,96.49,19,3.51,06044
6,45,462,449,97.19,13,2.81,06045
6,46,349,332,95.13,17,4.87,06046
6,47,345,331,95.94,14,4.06,06047
6,48,463,451,97.41,12,2.59,06048
7,1,193,186,96.37,7,3.63,07001
8,1,407,394,96.81,13,3.19,08001
8,2,438,422,96.35,16,3.65,08002
8,3,498,490,98.39,8,1.61,08003
8,4,192,187,97.4,5,2.6,08004
8,5,466,456,97.85,10,2.15,08005
8,6,448,435,97.1,13,2.9,08006
8,8,445,437,98.2,8,1.8,08008
8,10,551,531,96.37,20,3.63,08010
8,11,381,369,96.85,12,3.15,08011
8,12,399,389,97.49,10,2.51,08012
8,13,525,510,97.14,15,2.86,08013
8,14,405,394,97.28,11,2.72,08014
8,15,432,419,96.99,13,3.01,08015
8,16,150,143,95.33,7,4.67,08016
8,18,441,430,97.51,11,2.49,08018
8,19,491,475,96.74,16,3.26,08019
8,20,527,511,96.96,16,3.04,08020
8,21,596,577,96.81,19,3.19,08021
8,22,425,415,97.65,10,2.35,08022
8,23,373,368,98.66,5,1.34,08023
8,24,259,248,95.75,11,4.25,08024
8,25,461,443,96.1,18,3.9,08025
8,26,412,392,95.15,20,4.85,08026
8,27,100,97,97.0,3,3.0,08027
8,29,512,497,97.07,15,2.93,08029
8,30,503,489,97.22,14,2.78,08030
8,31,360,348,96.67,12,3.33,08031
8,33,387,367,94.83,20,5.17,08033
8,34,425,417,98.12,8,1.88,08034
8,35,529,512,96.79,17,3.21,08035
8,37,357,344,96.36,13,3.64,08037
8,38,342,334,97.66,8,2.34,08038
8,40,389,375,96.4,14,3.6,08040
8,41,493,477,96.75,16,3.25,08041
8,43,265,251,94.72,14,5.28,08043
8,44,349,337,96.56,12,3.44,08044
8,45,408,393,96.32,15,3.68,08045
8,47,388,370,95.36,18,4.64,08047
8,48,425,413,97.18,12,2.82,08048
8,49,388,380,97.94,8,2.06,08049
8,50,318,312,98.11,6,1.89,08050
8,51,459,444,96.73,15,3.27,08051
8,52,557,544,97.67,13,2.33,08052
8,54,387,375,96.9,12,3.1,08054
8,55,370,364,98.38,6,1.62,08055
8,56,473,461,97.46,12,2.54,08056
9,12,495,468,94.55,27,5.45,09012
9,23,492,485,98.58,7,1.42,09023
9,24,431,420,97.45,11,2.55,09024
9,25,421,406,96.44,15,3.56,09025
9,36,379,367,96.83,12,3.17,09036
9,42,436,416,95.41,20,4.59,09042
9,47,451,436,96.67,15,3.33,09047
9,48,454,437,96.26,17,3.74,09048
9,49,478,457,95.61,21,4.39,09049
9,50,593,578,97.47,15,2.53,09050
9,51,416,409,98.32,7,1.68,09051
13,19,544,480,88.24,64,11.76,13019
13,41,96,88,91.67,8,8.33,13041
16,6,0,0,0.0,0,0.0,16006
16,9,299,291,97.32,8,2.68,16009
16,27,13,12,92.31,1,7.69,16027
16,28,305,292,95.74,13,4.26,16028
16,30,292,279,95.55,13,4.45,16030
16,31,64,62,96.88,2,3.13,16031
16,34,58,56,96.55,2,3.45,16034
17,1,474,434,91.56,40,8.44,17001
17,2,423,406,95.98,17,4.02,17002
17,3,420,401,95.48,19,4.52,17003
17,4,510,490,96.08,20,3.92,17004
17,5,329,310,94.22,19,5.78,17005
17,6,230,220,95.65,10,4.35,17006
17,8,371,346,93.26,25,6.74,17008
17,9,326,315,96.63,11,3.37,17009
17,10,546,522,95.6,24,4.4,17010
17,11,330,321,97.27,9,2.73,17011
17,12,62,59,95.16,3,4.84,17012
17,13,12,12,100.0,0,0.0,17013
17,15,434,414,95.39,20,4.61,17015
17,16,371,343,92.45,28,7.55,17016
17,17,425,398,93.65,27,6.35,17017
17,18,461,450,97.61,11,2.39,17018
17,20,499,491,98.4,8,1.6,17020
17,21,487,472,96.92,15,3.08,17021
17,22,389,379,97.43,10,2.57,17022
17,23,279,269,96.42,10,3.58,17023
17,24,426,414,97.18,12,2.82,17024
17,25,321,307,95.64,14,4.36,17025
17,26,428,417,97.43,11,2.57,17026
17,27,394,384,97.46,10,2.54,17027
17,28,346,340,98.27,6,1.73,17028
17,29,410,395,96.34,15,3.66,17029
17,30,409,360,88.02,49,11.98,17030
17,32,338,331,97.93,7,2.07,17032
17,33,94,85,90.43,9,9.57,17033
17,34,288,278,96.53,10,3.47,17034
17,35,118,114,96.61,4,3.39,17035
17,36,321,318,99.07,3,0.93,17036
