ward,precinct,total,Mike Quigley,Mike Quigley Percent,Tommy Hanson,Tommy Hanson Percent,Thomas J. Wilda,Thomas J. Wilda Percent,precinct_id
1,3,835,708,84.79,109,13.05,18,2.16,01003
1,4,814,663,81.45,123,15.11,28,3.44,01004
1,5,766,636,83.03,113,14.75,17,2.22,01005
1,6,647,521,80.53,99,15.3,27,4.17,01006
1,8,635,518,81.57,90,14.17,27,4.25,01008
1,10,909,742,81.63,140,15.4,27,2.97,01010
1,11,821,700,85.26,96,11.69,25,3.05,01011
1,14,523,440,84.13,70,13.38,13,2.49,01014
1,21,1060,889,83.87,128,12.08,43,4.06,01021
1,28,244,195,79.92,39,15.98,10,4.1,01028
1,32,394,319,80.96,66,16.75,9,2.28,01032
1,33,804,643,79.98,130,16.17,31,3.86,01033
1,35,883,707,80.07,152,17.21,24,2.72,01035
1,36,818,667,81.54,131,16.01,20,2.44,01036
1,37,742,596,80.32,126,16.98,20,2.7,01037
1,38,149,133,89.26,13,8.72,3,2.01,01038
1,39,600,501,83.5,79,13.17,20,3.33,01039
1,40,650,528,81.23,105,16.15,17,2.62,01040
2,1,808,664,82.18,112,13.86,32,3.96,02001
2,3,830,690,83.13,115,13.86,25,3.01,02003
2,4,736,628,85.33,78,10.6,30,4.08,02004
2,5,855,705,82.46,118,13.8,32,3.74,02005
2,6,757,615,81.24,120,15.85,22,2.91,02006
2,7,680,546,80.29,104,15.29,30,4.41,02007
2,8,926,756,81.64,137,14.79,33,3.56,02008
2,12,280,205,73.21,73,26.07,2,0.71,02012
2,14,116,102,87.93,10,8.62,4,3.45,02014
2,15,687,580,84.43,84,12.23,23,3.35,02015
2,16,691,570,82.49,104,15.05,17,2.46,02016
2,17,1,1,100.0,0,0.0,0,0.0,02017
2,20,490,362,73.88,122,24.9,6,1.22,02020
2,21,730,631,86.44,82,11.23,17,2.33,02021
2,22,769,570,74.12,190,24.71,9,1.17,02022
2,24,672,522,77.68,140,20.83,10,1.49,02024
2,25,825,664,80.48,135,16.36,26,3.15,02025
2,26,638,482,75.55,144,22.57,12,1.88,02026
2,28,439,330,75.17,96,21.87,13,2.96,02028
2,30,598,416,69.57,175,29.26,7,1.17,02030
2,31,793,589,74.27,196,24.72,8,1.01,02031
2,33,988,720,72.87,258,26.11,10,1.01,02033
2,37,601,455,75.71,138,22.96,8,1.33,02037
2,38,125,84,67.2,41,32.8,0,0.0,02038
2,44,424,298,70.28,122,28.77,4,0.94,02044
26,28,313,259,82.75,43,13.74,11,3.51,26028
26,32,567,458,80.78,84,14.81,25,4.41,26032
27,7,802,691,86.16,87,10.85,24,2.99,27007
27,12,493,367,74.44,118,23.94,8,1.62,27012
27,13,219,177,80.82,33,15.07,9,4.11,27013
27,27,55,47,85.45,7,12.73,1,1.82,27027
27,35,35,28,80.0,4,11.43,3,8.57,27035
27,37,5,4,80.0,1,20.0,0,0.0,27037
27,40,94,76,80.85,16,17.02,2,2.13,27040
27,42,269,192,71.38,73,27.14,4,1.49,27042
27,43,15,14,93.33,0,0.0,1,6.67,27043
27,46,522,367,70.31,147,28.16,8,1.53,27046
29,23,164,115,70.12,45,27.44,4,2.44,29023
29,29,653,424,64.93,208,31.85,21,3.22,29029
29,31,595,347,58.32,234,39.33,14,2.35,29031
29,32,603,360,59.7,223,36.98,20,3.32,29032
29,38,2,2,100.0,0,0.0,0,0.0,29038
29,39,320,210,65.63,101,31.56,9,2.81,29039
30,15,364,291,79.95,57,15.66,16,4.4,30015
30,17,343,258,75.22,72,20.99,13,3.79,30017
30,21,432,301,69.68,120,27.78,11,2.55,30021
32,1,899,727,80.87,146,16.24,26,2.89,32001
32,2,823,663,80.56,143,17.38,17,2.07,32002
32,4,678,564,83.19,91,13.42,23,3.39,32004
32,5,762,659,86.48,89,11.68,14,1.84,32005
32,6,871,748,85.88,104,11.94,19,2.18,32006
32,7,841,690,82.05,141,16.77,10,1.19,32007
32,8,953,728,76.39,208,21.83,17,1.78,32008
32,9,766,625,81.59,118,15.4,23,3.0,32009
32,10,849,649,76.44,182,21.44,18,2.12,32010
32,13,863,659,76.36,187,21.67,17,1.97,32013
32,15,701,554,79.03,129,18.4,18,2.57,32015
32,16,670,550,82.09,102,15.22,18,2.69,32016
32,18,737,545,73.95,179,24.29,13,1.76,32018
32,19,706,556,78.75,121,17.14,29,4.11,32019
32,21,739,600,81.19,115,15.56,24,3.25,32021
32,23,783,615,78.54,142,18.14,26,3.32,32023
32,24,678,478,70.5,179,26.4,21,3.1,32024
32,25,718,604,84.12,99,13.79,15,2.09,32025
32,27,816,589,72.18,213,26.1,14,1.72,32027
32,29,745,636,85.37,83,11.14,26,3.49,32029
32,30,791,607,76.74,178,22.5,6,0.76,32030
32,31,793,608,76.67,169,21.31,16,2.02,32031
32,32,842,696,82.66,125,14.85,21,2.49,32032
32,33,730,565,77.4,144,19.73,21,2.88,32033
32,34,818,685,83.74,107,13.08,26,3.18,32034
32,35,739,574,77.67,153,20.7,12,1.62,32035
32,36,808,645,79.83,146,18.07,17,2.1,32036
32,37,858,689,80.3,146,17.02,23,2.68,32037
32,38,763,593,77.72,153,20.05,17,2.23,32038
32,39,903,669,74.09,220,24.36,14,1.55,32039
32,40,769,617,80.23,136,17.69,16,2.08,32040
32,41,806,622,77.17,163,20.22,21,2.61,32041
32,42,736,569,77.31,155,21.06,12,1.63,32042
33,2,1008,798,79.17,150,14.88,60,5.95,33002
33,3,60,51,85.0,5,8.33,4,6.67,33003
33,5,718,576,80.22,109,15.18,33,4.6,33005
33,7,498,413,82.93,63,12.65,22,4.42,33007
33,8,515,441,85.63,55,10.68,19,3.69,33008
33,10,93,71,76.34,19,20.43,3,3.23,33010
33,18,1037,855,82.45,111,10.7,71,6.85,33018
33,19,386,303,78.5,57,14.77,26,6.74,33019
33,23,63,54,85.71,7,11.11,2,3.17,33023
33,24,853,733,85.93,96,11.25,24,2.81,33024
33,27,17,14,82.35,2,11.76,1,5.88,33027
36,7,598,365,61.04,219,36.62,14,2.34,36007
36,14,581,425,73.15,141,24.27,15,2.58,36014
36,15,556,385,69.24,154,27.7,17,3.06,36015
36,16,372,292,78.49,71,19.09,9,2.42,36016
36,17,645,465,72.09,150,23.26,30,4.65,36017
36,18,587,421,71.72,150,25.55,16,2.73,36018
36,20,293,202,68.94,79,26.96,12,4.1,36020
36,24,552,386,69.93,148,26.81,18,3.26,36024
36,26,535,329,61.5,188,35.14,18,3.36,36026
36,28,551,367,66.61,163,29.58,21,3.81,36028
36,29,287,202,70.38,77,26.83,8,2.79,36029
36,30,525,382,72.76,130,24.76,13,2.48,36030
38,2,605,236,39.01,362,59.83,7,1.16,38002
38,3,595,346,58.15,238,40.0,11,1.85,38003
38,4,563,318,56.48,223,39.61,22,3.91,38004
38,5,604,379,62.75,210,34.77,15,2.48,38005
38,6,605,338,55.87,248,40.99,19,3.14,38006
38,7,552,304,55.07,234,42.39,14,2.54,38007
38,8,550,320,58.18,214,38.91,16,2.91,38008
38,9,647,362,55.95,270,41.73,15,2.32,38009
38,10,514,310,60.31,186,36.19,18,3.5,38010
38,11,506,333,65.81,158,31.23,15,2.96,38011
38,12,592,265,44.76,314,53.04,13,2.2,38012
38,13,657,368,56.01,276,42.01,13,1.98,38013
38,14,603,403,66.83,180,29.85,20,3.32,38014
38,15,552,378,68.48,156,28.26,18,3.26,38015
38,16,561,336,59.89,206,36.72,19,3.39,38016
38,17,697,332,47.63,348,49.93,17,2.44,38017
38,18,615,379,61.63,219,35.61,17,2.76,38018
38,19,655,401,61.22,243,37.1,11,1.68,38019
38,20,595,297,49.92,283,47.56,15,2.52,38020
38,21,555,364,65.59,168,30.27,23,4.14,38021
38,22,521,368,70.63,129,24.76,24,4.61,38022
38,23,586,397,67.75,171,29.18,18,3.07,38023
38,24,614,343,55.86,260,42.35,11,1.79,38024
38,25,543,345,63.54,178,32.78,20,3.68,38025
38,26,615,374,60.81,219,35.61,22,3.58,38026
38,27,599,354,59.1,229,38.23,16,2.67,38027
38,28,708,380,53.67,318,44.92,10,1.41,38028
38,29,612,382,62.42,218,35.62,12,1.96,38029
38,30,586,322,54.95,254,43.34,10,1.71,38030
38,31,560,412,73.57,133,23.75,15,2.68,38031
38,32,563,381,67.67,160,28.42,22,3.91,38032
38,33,566,385,68.02,162,28.62,19,3.36,38033
38,34,546,397,72.71,125,22.89,24,4.4,38034
38,35,255,193,75.69,50,19.61,12,4.71,38035
38,36,555,388,69.91,151,27.21,16,2.88,38036
38,37,575,400,69.57,160,27.83,15,2.61,38037
38,38,582,337,57.9,218,37.46,27,4.64,38038
38,39,613,455,74.23,141,23.0,17,2.77,38039
38,40,579,406,70.12,156,26.94,17,2.94,38040
39,1,583,360,61.75,202,34.65,21,3.6,39001
39,2,509,334,65.62,169,33.2,6,1.18,39002
39,3,630,490,77.78,114,18.1,26,4.13,39003
39,4,567,355,62.61,199,35.1,13,2.29,39004
39,5,594,443,74.58,130,21.89,21,3.54,39005
39,6,584,446,76.37,109,18.66,29,4.97,39006
39,7,523,398,76.1,108,20.65,17,3.25,39007
39,8,628,474,75.48,134,21.34,20,3.18,39008
39,9,546,404,73.99,125,22.89,17,3.11,39009
39,10,275,227,82.55,33,12.0,15,5.45,39010
39,11,559,402,71.91,141,25.22,16,2.86,39011
39,12,545,448,82.2,79,14.5,18,3.3,39012
39,13,530,381,71.89,130,24.53,19,3.58,39013
39,14,574,427,74.39,116,20.21,31,5.4,39014
39,15,686,393,57.29,275,40.09,18,2.62,39015
39,16,580,429,73.97,130,22.41,21,3.62,39016
39,17,595,429,72.1,150,25.21,16,2.69,39017
39,18,577,422,73.14,138,23.92,17,2.95,39018
39,19,570,415,72.81,127,22.28,28,4.91,39019
39,20,720,424,58.89,281,39.03,15,2.08,39020
39,21,574,330,57.49,219,38.15,25,4.36,39021
39,22,599,454,75.79,121,20.2,24,4.01,39022
39,23,578,355,61.42,208,35.99,15,2.6,39023
39,24,725,424,58.48,286,39.45,15,2.07,39024
39,25,500,400,80.0,78,15.6,22,4.4,39025
39,26,563,345,61.28,199,35.35,19,3.37,39026
39,27,93,65,69.89,28,30.11,0,0.0,39027
39,28,350,281,80.29,58,16.57,11,3.14,39028
39,29,334,264,79.04,54,16.17,16,4.79,39029
39,30,693,567,81.82,97,14.0,29,4.18,39030
39,32,542,328,60.52,202,37.27,12,2.21,39032
39,33,625,472,75.52,130,20.8,23,3.68,39033
39,34,692,520,75.14,127,18.35,45,6.5,39034
39,35,602,453,75.25,118,19.6,31,5.15,39035
39,36,142,106,74.65,31,21.83,5,3.52,39036
39,37,551,382,69.33,161,29.22,8,1.45,39037
39,38,306,230,75.16,74,24.18,2,0.65,39038
39,39,361,258,71.47,88,24.38,15,4.16,39039
39,40,611,391,63.99,207,33.88,13,2.13,39040
39,41,603,397,65.84,193,32.01,13,2.16,39041
39,42,613,361,58.89,238,38.83,14,2.28,39042
39,43,606,368,60.73,222,36.63,16,2.64,39043
39,44,471,300,63.69,164,34.82,7,1.49,39044
39,45,523,342,65.39,173,33.08,8,1.53,39045
40,1,590,428,72.54,140,23.73,22,3.73,40001
40,2,645,509,78.91,107,16.59,29,4.5,40002
40,3,786,682,86.77,80,10.18,24,3.05,40003
40,5,700,578,82.57,109,15.57,13,1.86,40005
40,6,748,640,85.56,71,9.49,37,4.95,40006
40,7,619,542,87.56,66,10.66,11,1.78,40007
40,8,839,735,87.6,79,9.42,25,2.98,40008
40,10,160,121,75.63,32,20.0,7,4.38,40010
40,11,646,543,84.06,76,11.76,27,4.18,40011
40,12,580,496,85.52,67,11.55,17,2.93,40012
40,13,926,815,88.01,68,7.34,43,4.64,40013
40,14,630,452,71.75,152,24.13,26,4.13,40014
40,15,651,494,75.88,129,19.82,28,4.3,40015
40,16,840,743,88.45,70,8.33,27,3.21,40016
40,17,532,426,80.08,91,17.11,15,2.82,40017
40,19,787,615,78.14,137,17.41,35,4.45,40019
40,20,681,537,78.85,114,16.74,30,4.41,40020
40,21,711,617,86.78,69,9.7,25,3.52,40021
40,23,747,654,87.55,63,8.43,30,4.02,40023
40,24,609,432,70.94,151,24.79,26,4.27,40024
40,25,611,543,88.87,53,8.67,15,2.45,40025
40,29,645,504,78.14,121,18.76,20,3.1,40029
40,30,545,390,71.56,135,24.77,20,3.67,40030
40,31,106,96,90.57,9,8.49,1,0.94,40031
40,32,693,605,87.3,75,10.82,13,1.88,40032
40,34,596,419,70.3,150,25.17,27,4.53,40034
40,38,780,651,83.46,100,12.82,29,3.72,40038
41,3,595,342,57.48,236,39.66,17,2.86,41003
41,6,684,413,60.38,257,37.57,14,2.05,41006
41,9,604,363,60.1,230,38.08,11,1.82,41009
41,11,185,107,57.84,75,40.54,3,1.62,41011
41,12,665,341,51.28,312,46.92,12,1.8,41012
41,14,661,423,63.99,226,34.19,12,1.82,41014
41,16,583,333,57.12,243,41.68,7,1.2,41016
41,17,448,254,56.7,185,41.29,9,2.01,41017
41,19,677,442,65.29,212,31.31,23,3.4,41019
41,21,600,347,57.83,246,41.0,7,1.17,41021
41,22,674,361,53.56,293,43.47,20,2.97,41022
41,23,308,141,45.78,163,52.92,4,1.3,41023
41,24,593,276,46.54,309,52.11,8,1.35,41024
41,26,537,300,55.87,231,43.02,6,1.12,41026
41,27,608,277,45.56,316,51.97,15,2.47,41027
41,30,596,341,57.21,242,40.6,13,2.18,41030
41,32,518,272,52.51,232,44.79,14,2.7,41032
41,33,495,265,53.54,223,45.05,7,1.41,41033
41,35,747,409,54.75,320,42.84,18,2.41,41035
41,38,610,333,54.59,262,42.95,15,2.46,41038
41,39,663,362,54.6,289,43.59,12,1.81,41039
41,45,257,141,54.86,110,42.8,6,2.33,41045
41,46,609,340,55.83,256,42.04,13,2.13,41046
41,47,685,397,57.96,271,39.56,17,2.48,41047
43,2,786,592,75.32,177,22.52,17,2.16,43002
43,3,721,529,73.37,177,24.55,15,2.08,43003
43,4,942,671,71.23,253,26.86,18,1.91,43004
43,5,556,423,76.08,124,22.3,9,1.62,43005
43,6,567,442,77.95,106,18.69,19,3.35,43006
43,7,485,376,77.53,104,21.44,5,1.03,43007
43,8,562,434,77.22,118,21.0,10,1.78,43008
43,9,632,489,77.37,135,21.36,8,1.27,43009
43,10,901,689,76.47,200,22.2,12,1.33,43010
43,11,686,473,68.95,204,29.74,9,1.31,43011
43,12,474,365,77.0,97,20.46,12,2.53,43012
43,13,693,556,80.23,124,17.89,13,1.88,43013
43,14,708,556,78.53,142,20.06,10,1.41,43014
43,15,760,554,72.89,196,25.79,10,1.32,43015
43,16,1063,810,76.2,237,22.3,16,1.51,43016
43,17,575,410,71.3,156,27.13,9,1.57,43017
43,18,853,633,74.21,207,24.27,13,1.52,43018
43,19,735,563,76.6,160,21.77,12,1.63,43019
43,20,904,717,79.31,169,18.69,18,1.99,43020
43,21,842,641,76.13,176,20.9,25,2.97,43021
43,22,533,416,78.05,107,20.08,10,1.88,43022
43,23,514,382,74.32,120,23.35,12,2.33,43023
43,24,563,414,73.53,139,24.69,10,1.78,43024
43,25,598,474,79.26,113,18.9,11,1.84,43025
43,26,438,355,81.05,76,17.35,7,1.6,43026
43,27,670,503,75.07,156,23.28,11,1.64,43027
43,28,914,693,75.82,209,22.87,12,1.31,43028
43,29,1039,789,75.94,233,22.43,17,1.64,43029
43,30,754,580,76.92,159,21.09,15,1.99,43030
43,31,701,527,75.18,155,22.11,19,2.71,43031
43,32,757,611,80.71,139,18.36,7,0.92,43032
43,34,467,369,79.01,94,20.13,4,0.86,43034
43,36,485,379,78.14,100,20.62,6,1.24,43036
43,37,829,671,80.94,132,15.92,26,3.14,43037
43,38,552,391,70.83,156,28.26,5,0.91,43038
43,39,584,431,73.8,143,24.49,10,1.71,43039
43,40,541,430,79.48,91,16.82,20,3.7,43040
43,41,876,674,76.94,178,20.32,24,2.74,43041
43,42,702,563,80.2,125,17.81,14,1.99,43042
43,43,760,542,71.32,214,28.16,4,0.53,43043
43,44,737,570,77.34,154,20.9,13,1.76,43044
43,46,468,371,79.27,86,18.38,11,2.35,43046
44,1,1128,964,85.46,130,11.52,34,3.01,44001
44,2,823,644,78.25,160,19.44,19,2.31,44002
44,5,758,646,85.22,91,12.01,21,2.77,44005
44,6,1012,835,82.51,143,14.13,34,3.36,44006
44,8,1049,895,85.32,127,12.11,27,2.57,44008
44,9,802,632,78.8,148,18.45,22,2.74,44009
44,10,841,666,79.19,156,18.55,19,2.26,44010
44,11,870,689,79.2,161,18.51,20,2.3,44011
44,12,803,676,84.18,118,14.69,9,1.12,44012
44,13,684,536,78.36,135,19.74,13,1.9,44013
44,14,731,599,81.94,119,16.28,13,1.78,44014
44,15,725,586,80.83,120,16.55,19,2.62,44015
44,16,899,713,79.31,155,17.24,31,3.45,44016
44,17,998,861,86.27,108,10.82,29,2.91,44017
44,18,876,700,79.91,153,17.47,23,2.63,44018
