ward,precinct,total,Robert Peters,Robert Peters Percent,precinct_id
2,2,370,370,100.0,02002
2,10,353,353,100.0,02010
2,11,532,532,100.0,02011
2,13,432,432,100.0,02013
2,18,504,504,100.0,02018
2,19,329,329,100.0,02019
2,23,326,326,100.0,02023
2,27,317,317,100.0,02027
2,29,386,386,100.0,02029
2,34,376,376,100.0,02034
2,42,252,252,100.0,02042
3,2,40,40,100.0,03002
3,4,609,609,100.0,03004
3,11,246,246,100.0,03011
3,12,212,212,100.0,03012
3,19,661,661,100.0,03019
3,21,189,189,100.0,03021
3,27,410,410,100.0,03027
3,30,459,459,100.0,03030
3,31,305,305,100.0,03031
4,1,816,816,100.0,04001
4,3,445,445,100.0,04003
4,4,709,709,100.0,04004
4,5,555,555,100.0,04005
4,6,181,181,100.0,04006
4,7,697,697,100.0,04007
4,8,603,603,100.0,04008
4,9,572,572,100.0,04009
4,10,703,703,100.0,04010
4,11,415,415,100.0,04011
4,12,710,710,100.0,04012
4,15,610,610,100.0,04015
4,18,523,523,100.0,04018
4,19,428,428,100.0,04019
4,22,517,517,100.0,04022
4,23,710,710,100.0,04023
4,24,521,521,100.0,04024
4,26,495,495,100.0,04026
4,27,750,750,100.0,04027
4,28,499,499,100.0,04028
4,29,540,540,100.0,04029
4,30,755,755,100.0,04030
4,31,486,486,100.0,04031
4,32,606,606,100.0,04032
4,33,534,534,100.0,04033
4,34,498,498,100.0,04034
4,35,633,633,100.0,04035
4,36,387,387,100.0,04036
4,38,421,421,100.0,04038
5,1,442,442,100.0,05001
5,3,540,540,100.0,05003
5,4,712,712,100.0,05004
5,5,463,463,100.0,05005
5,6,393,393,100.0,05006
5,7,510,510,100.0,05007
5,8,542,542,100.0,05008
5,9,628,628,100.0,05009
5,10,416,416,100.0,05010
5,11,504,504,100.0,05011
5,13,403,403,100.0,05013
5,14,387,387,100.0,05014
5,15,514,514,100.0,05015
5,16,472,472,100.0,05016
5,17,405,405,100.0,05017
5,18,505,505,100.0,05018
5,19,489,489,100.0,05019
5,20,555,555,100.0,05020
5,21,536,536,100.0,05021
5,22,605,605,100.0,05022
5,23,910,910,100.0,05023
5,24,660,660,100.0,05024
5,25,458,458,100.0,05025
5,26,466,466,100.0,05026
5,27,531,531,100.0,05027
5,28,496,496,100.0,05028
5,29,486,486,100.0,05029
5,30,231,231,100.0,05030
5,31,363,363,100.0,05031
5,32,564,564,100.0,05032
5,33,495,495,100.0,05033
5,34,562,562,100.0,05034
5,35,670,670,100.0,05035
5,36,312,312,100.0,05036
5,37,545,545,100.0,05037
5,38,426,426,100.0,05038
5,39,416,416,100.0,05039
5,40,373,373,100.0,05040
5,41,241,241,100.0,05041
7,1,359,359,100.0,07001
7,2,381,381,100.0,07002
7,3,395,395,100.0,07003
7,4,365,365,100.0,07004
7,5,325,325,100.0,07005
7,6,474,474,100.0,07006
7,7,351,351,100.0,07007
7,8,295,295,100.0,07008
7,9,609,609,100.0,07009
7,10,454,454,100.0,07010
7,11,409,409,100.0,07011
7,12,332,332,100.0,07012
7,13,222,222,100.0,07013
7,14,411,411,100.0,07014
7,15,380,380,100.0,07015
7,16,358,358,100.0,07016
7,17,288,288,100.0,07017
7,18,347,347,100.0,07018
7,19,361,361,100.0,07019
7,20,294,294,100.0,07020
7,21,291,291,100.0,07021
7,22,321,321,100.0,07022
7,23,363,363,100.0,07023
7,24,302,302,100.0,07024
7,25,295,295,100.0,07025
7,28,122,122,100.0,07028
7,30,51,51,100.0,07030
7,31,269,269,100.0,07031
7,32,248,248,100.0,07032
7,33,452,452,100.0,07033
7,34,460,460,100.0,07034
7,35,406,406,100.0,07035
7,37,343,343,100.0,07037
7,46,119,119,100.0,07046
8,1,51,51,100.0,08001
8,2,179,179,100.0,08002
8,21,37,37,100.0,08021
8,42,495,495,100.0,08042
10,1,300,300,100.0,10001
10,4,290,290,100.0,10004
10,6,323,323,100.0,10006
10,7,285,285,100.0,10007
10,8,187,187,100.0,10008
10,10,415,415,100.0,10010
10,11,505,505,100.0,10011
10,12,273,273,100.0,10012
10,14,464,464,100.0,10014
10,18,238,238,100.0,10018
10,19,382,382,100.0,10019
10,20,392,392,100.0,10020
10,21,385,385,100.0,10021
10,22,230,230,100.0,10022
10,23,313,313,100.0,10023
10,25,120,120,100.0,10025
10,26,298,298,100.0,10026
10,27,337,337,100.0,10027
10,28,449,449,100.0,10028
10,29,417,417,100.0,10029
10,30,375,375,100.0,10030
10,31,331,331,100.0,10031
10,32,391,391,100.0,10032
10,33,318,318,100.0,10033
10,34,260,260,100.0,10034
10,35,383,383,100.0,10035
10,36,96,96,100.0,10036
20,5,482,482,100.0,20005
20,9,587,587,100.0,20009
20,16,479,479,100.0,20016
20,22,547,547,100.0,20022
20,24,536,536,100.0,20024
20,26,381,381,100.0,20026
20,34,521,521,100.0,20034
42,1,454,454,100.0,42001
42,2,771,771,100.0,42002
42,4,1420,1420,100.0,42004
42,6,512,512,100.0,42006
42,7,674,674,100.0,42007
42,8,472,472,100.0,42008
42,11,359,359,100.0,42011
42,13,418,418,100.0,42013
42,19,243,243,100.0,42019
42,24,514,514,100.0,42024
42,26,978,978,100.0,42026
42,28,570,570,100.0,42028
42,29,687,687,100.0,42029
42,30,402,402,100.0,42030
42,31,701,701,100.0,42031
42,34,422,422,100.0,42034
42,35,756,756,100.0,42035
42,40,753,753,100.0,42040
43,35,561,561,100.0,43035
