ward,precinct,total,Margaret Croke,Margaret Croke Percent,precinct_id
2,28,630,630,100.0,02028
2,30,443,443,100.0,02030
2,31,565,565,100.0,02031
2,33,719,719,100.0,02033
2,35,739,739,100.0,02035
2,37,446,446,100.0,02037
2,38,148,148,100.0,02038
2,44,305,305,100.0,02044
27,9,0,0,0.0,27009
27,12,374,374,100.0,27012
27,46,401,401,100.0,27046
43,4,678,678,100.0,43004
43,8,410,410,100.0,43008
43,12,368,368,100.0,43012
43,13,567,567,100.0,43013
43,14,563,563,100.0,43014
43,15,564,564,100.0,43015
43,19,577,577,100.0,43019
43,25,444,444,100.0,43025
43,26,343,343,100.0,43026
43,27,493,493,100.0,43027
43,28,706,706,100.0,43028
43,32,586,586,100.0,43032
43,33,503,503,100.0,43033
43,34,357,357,100.0,43034
43,36,375,375,100.0,43036
43,38,364,364,100.0,43038
43,42,539,539,100.0,43042
43,43,538,538,100.0,43043
44,1,950,950,100.0,44001
44,3,308,308,100.0,44003
44,4,464,464,100.0,44004
44,5,631,631,100.0,44005
44,6,845,845,100.0,44006
44,7,360,360,100.0,44007
44,8,870,870,100.0,44008
44,10,692,692,100.0,44010
44,11,270,270,100.0,44011
44,12,663,663,100.0,44012
44,13,537,537,100.0,44013
44,14,602,602,100.0,44014
44,15,562,562,100.0,44015
44,17,822,822,100.0,44017
44,18,676,676,100.0,44018
44,19,737,737,100.0,44019
44,20,797,797,100.0,44020
44,21,761,761,100.0,44021
44,22,584,584,100.0,44022
44,23,624,624,100.0,44023
44,24,412,412,100.0,44024
44,25,39,39,100.0,44025
44,26,807,807,100.0,44026
44,27,735,735,100.0,44027
44,28,683,683,100.0,44028
44,29,739,739,100.0,44029
44,31,573,573,100.0,44031
44,32,726,726,100.0,44032
44,33,697,697,100.0,44033
44,34,681,681,100.0,44034
44,35,680,680,100.0,44035
44,36,734,734,100.0,44036
44,37,704,704,100.0,44037
44,38,783,783,100.0,44038
44,39,690,690,100.0,44039
44,40,613,613,100.0,44040
44,41,845,845,100.0,44041
46,3,664,664,100.0,46003
46,5,779,779,100.0,46005
46,7,535,535,100.0,46007
46,9,651,651,100.0,46009
46,10,1048,1048,100.0,46010
46,11,558,558,100.0,46011
46,13,616,616,100.0,46013
46,15,615,615,100.0,46015
46,17,613,613,100.0,46017
46,18,669,669,100.0,46018
46,19,378,378,100.0,46019
46,24,723,723,100.0,46024
46,26,292,292,100.0,46026
46,27,774,774,100.0,46027
46,28,522,522,100.0,46028
46,29,408,408,100.0,46029
46,30,617,617,100.0,46030
46,31,618,618,100.0,46031
46,33,636,636,100.0,46033
46,34,755,755,100.0,46034
46,35,634,634,100.0,46035
46,36,528,528,100.0,46036
46,38,677,677,100.0,46038
46,39,532,532,100.0,46039
