ward,precinct,total,Greg Harris,Greg Harris Percent,precinct_id
33,18,237,237,100.0,33018
39,13,24,24,100.0,39013
39,22,437,437,100.0,39022
39,30,175,175,100.0,39030
40,1,441,441,100.0,40001
40,2,527,527,100.0,40002
40,3,659,659,100.0,40003
40,4,50,50,100.0,40004
40,5,575,575,100.0,40005
40,6,639,639,100.0,40006
40,7,515,515,100.0,40007
40,8,715,715,100.0,40008
40,9,404,404,100.0,40009
40,10,120,120,100.0,40010
40,11,557,557,100.0,40011
40,12,490,490,100.0,40012
40,13,809,809,100.0,40013
40,14,467,467,100.0,40014
40,15,501,501,100.0,40015
40,16,737,737,100.0,40016
40,17,423,423,100.0,40017
40,18,415,415,100.0,40018
40,19,624,624,100.0,40019
40,20,520,520,100.0,40020
40,21,627,627,100.0,40021
40,22,658,658,100.0,40022
40,23,653,653,100.0,40023
40,24,440,440,100.0,40024
40,25,641,641,100.0,40025
40,26,586,586,100.0,40026
40,27,650,650,100.0,40027
40,29,522,522,100.0,40029
40,30,407,407,100.0,40030
40,31,607,607,100.0,40031
40,32,593,593,100.0,40032
40,33,536,536,100.0,40033
40,34,456,456,100.0,40034
40,35,353,353,100.0,40035
40,36,466,466,100.0,40036
40,37,532,532,100.0,40037
40,38,668,668,100.0,40038
40,39,85,85,100.0,40039
46,1,441,441,100.0,46001
46,2,582,582,100.0,46002
46,4,569,569,100.0,46004
46,6,519,519,100.0,46006
46,8,396,396,100.0,46008
46,12,663,663,100.0,46012
46,14,595,595,100.0,46014
46,16,669,669,100.0,46016
46,20,491,491,100.0,46020
46,21,423,423,100.0,46021
46,22,422,422,100.0,46022
46,23,546,546,100.0,46023
46,25,568,568,100.0,46025
46,26,561,561,100.0,46026
46,29,47,47,100.0,46029
46,32,558,558,100.0,46032
46,37,467,467,100.0,46037
46,40,492,492,100.0,46040
47,5,495,495,100.0,47005
47,10,736,736,100.0,47010
47,15,745,745,100.0,47015
47,19,989,989,100.0,47019
47,20,621,621,100.0,47020
47,22,655,655,100.0,47022
47,23,707,707,100.0,47023
47,26,847,847,100.0,47026
47,28,518,518,100.0,47028
47,30,776,776,100.0,47030
47,31,650,650,100.0,47031
47,32,744,744,100.0,47032
47,34,636,636,100.0,47034
47,36,704,704,100.0,47036
47,37,594,594,100.0,47037
47,38,628,628,100.0,47038
47,39,25,25,100.0,47039
47,41,565,565,100.0,47041
47,42,585,585,100.0,47042
47,45,569,569,100.0,47045
48,4,557,557,100.0,48004
48,7,8,8,100.0,48007
48,14,0,0,0.0,48014
48,17,479,479,100.0,48017
48,20,407,407,100.0,48020
48,21,703,703,100.0,48021
48,23,516,516,100.0,48023
48,24,601,601,100.0,48024
48,35,332,332,100.0,48035
48,38,74,74,100.0,48038
