ward,precinct,total,Jaylin D. McClinton,Jaylin D. McClinton Percent,Kierra Williams,Kierra Williams Percent,Monica M. Gordon,Monica M. Gordon Percent,"Vernard L. Alsberry, Jr.","Vernard L. Alsberry, Jr. Percent",precinct_id
9,1,73,9,12.33,20,27.4,35,47.95,9,12.33,09001
9,2,81,13,16.05,29,35.8,30,37.04,9,11.11,09002
9,3,49,9,18.37,14,28.57,11,22.45,15,30.61,09003
9,4,93,18,19.35,34,36.56,31,33.33,10,10.75,09004
9,5,145,20,13.79,54,37.24,47,32.41,24,16.55,09005
9,6,98,17,17.35,36,36.73,34,34.69,11,11.22,09006
9,7,62,10,16.13,20,32.26,27,43.55,5,8.06,09007
9,9,151,32,21.19,43,28.48,55,36.42,21,13.91,09009
9,11,92,18,19.57,29,31.52,34,36.96,11,11.96,09011
9,13,164,31,18.9,51,31.1,49,29.88,33,20.12,09013
9,14,173,32,18.5,58,33.53,43,24.86,40,23.12,09014
9,15,49,1,2.04,19,38.78,20,40.82,9,18.37,09015
9,16,120,27,22.5,43,35.83,37,30.83,13,10.83,09016
9,17,31,6,19.35,12,38.71,11,35.48,2,6.45,09017
9,18,97,14,14.43,42,43.3,33,34.02,8,8.25,09018
9,19,101,23,22.77,37,36.63,38,37.62,3,2.97,09019
9,22,141,31,21.99,28,19.86,55,39.01,27,19.15,09022
9,26,72,16,22.22,26,36.11,23,31.94,7,9.72,09026
9,28,47,13,27.66,13,27.66,11,23.4,10,21.28,09028
9,29,64,14,21.88,15,23.44,26,40.63,9,14.06,09029
9,31,81,16,19.75,29,35.8,31,38.27,5,6.17,09031
9,32,128,18,14.06,46,35.94,49,38.28,15,11.72,09032
9,33,82,10,12.2,24,29.27,29,35.37,19,23.17,09033
9,34,84,16,19.05,31,36.9,30,35.71,7,8.33,09034
9,35,138,35,25.36,37,26.81,37,26.81,29,21.01,09035
9,37,10,2,20.0,4,40.0,3,30.0,1,10.0,09037
9,38,99,16,16.16,32,32.32,42,42.42,9,9.09,09038
9,39,149,31,20.81,40,26.85,58,38.93,20,13.42,09039
