ward,precinct,total,Kina Collins,Kina Collins Percent,Danny K. Davis,Danny K. Davis Percent,Denarvis C. Mendenhall,Denarvis C. Mendenhall Percent,precinct_id
1,3,202,134,66.34,62,30.69,6,2.97,01003
1,4,157,102,64.97,50,31.85,5,3.18,01004
1,5,76,57,75.0,17,22.37,2,2.63,01005
1,6,147,112,76.19,33,22.45,2,1.36,01006
1,8,140,70,50.0,63,45.0,7,5.0,01008
1,10,190,139,73.16,50,26.32,1,0.53,01010
1,11,46,33,71.74,11,23.91,2,4.35,01011
1,12,204,142,69.61,51,25.0,11,5.39,01012
1,14,184,128,69.57,52,28.26,4,2.17,01014
1,15,40,27,67.5,13,32.5,0,0.0,01015
1,32,162,120,74.07,37,22.84,5,3.09,01032
1,33,194,142,73.2,44,22.68,8,4.12,01033
1,35,168,114,67.86,42,25.0,12,7.14,01035
1,36,215,145,67.44,64,29.77,6,2.79,01036
1,37,184,134,72.83,38,20.65,12,6.52,01037
1,38,101,72,71.29,24,23.76,5,4.95,01038
1,39,136,80,58.82,52,38.24,4,2.94,01039
1,40,137,72,52.55,61,44.53,4,2.92,01040
2,1,47,29,61.7,16,34.04,2,4.26,02001
2,3,191,137,71.73,48,25.13,6,3.14,02003
2,4,173,130,75.14,40,23.12,3,1.73,02004
2,5,184,130,70.65,49,26.63,5,2.72,02005
2,6,1,1,100.0,0,0.0,0,0.0,02006
2,9,163,101,61.96,55,33.74,7,4.29,02009
2,12,128,58,45.31,66,51.56,4,3.13,02012
2,14,206,142,68.93,60,29.13,4,1.94,02014
2,15,86,61,70.93,21,24.42,4,4.65,02015
2,16,175,127,72.57,41,23.43,7,4.0,02016
2,17,251,179,71.31,70,27.89,2,0.8,02017
2,21,196,156,79.59,36,18.37,4,2.04,02021
2,32,64,33,51.56,26,40.63,5,7.81,02032
2,35,188,118,62.77,64,34.04,6,3.19,02035
2,39,39,13,33.33,26,66.67,0,0.0,02039
2,40,168,84,50.0,78,46.43,6,3.57,02040
2,41,137,76,55.47,53,38.69,8,5.84,02041
2,43,119,45,37.82,71,59.66,3,2.52,02043
2,45,108,55,50.93,51,47.22,2,1.85,02045
2,46,103,53,51.46,46,44.66,4,3.88,02046
3,1,207,55,26.57,150,72.46,2,0.97,03001
3,3,125,45,36.0,79,63.2,1,0.8,03003
3,4,92,32,34.78,59,64.13,1,1.09,03004
3,5,93,21,22.58,69,74.19,3,3.23,03005
3,6,48,28,58.33,18,37.5,2,4.17,03006
3,8,118,24,20.34,92,77.97,2,1.69,03008
3,9,205,112,54.63,91,44.39,2,0.98,03009
3,10,73,11,15.07,62,84.93,0,0.0,03010
3,11,175,62,35.43,107,61.14,6,3.43,03011
3,12,37,14,37.84,23,62.16,0,0.0,03012
3,13,232,125,53.88,99,42.67,8,3.45,03013
3,14,196,109,55.61,83,42.35,4,2.04,03014
3,15,136,48,35.29,83,61.03,5,3.68,03015
3,16,157,48,30.57,105,66.88,4,2.55,03016
3,17,181,79,43.65,97,53.59,5,2.76,03017
3,18,136,45,33.09,86,63.24,5,3.68,03018
3,19,101,52,51.49,45,44.55,4,3.96,03019
3,20,203,57,28.08,142,69.95,4,1.97,03020
3,21,256,85,33.2,166,64.84,5,1.95,03021
3,22,234,146,62.39,86,36.75,2,0.85,03022
3,24,137,45,32.85,90,65.69,2,1.46,03024
3,25,342,160,46.78,175,51.17,7,2.05,03025
3,26,267,113,42.32,146,54.68,8,3.0,03026
3,28,137,24,17.52,111,81.02,2,1.46,03028
3,29,73,13,17.81,60,82.19,0,0.0,03029
