ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,precinct_id
40,4,97,97,100.0,40004
40,7,229,229,100.0,40007
40,9,113,113,100.0,40009
40,10,93,93,100.0,40010
40,11,220,220,100.0,40011
40,13,322,322,100.0,40013
40,16,317,317,100.0,40016
40,18,109,109,100.0,40018
40,22,285,285,100.0,40022
40,25,293,293,100.0,40025
40,26,244,244,100.0,40026
40,27,227,227,100.0,40027
40,28,210,210,100.0,40028
40,31,284,284,100.0,40031
40,32,235,235,100.0,40032
40,33,268,268,100.0,40033
40,35,81,81,100.0,40035
40,36,179,179,100.0,40036
40,37,169,169,100.0,40037
40,39,35,35,100.0,40039
41,1,106,106,100.0,41001
41,2,125,125,100.0,41002
41,4,131,131,100.0,41004
41,10,163,163,100.0,41010
41,40,134,134,100.0,41040
41,42,90,90,100.0,41042
41,44,114,114,100.0,41044
46,1,149,149,100.0,46001
46,2,221,221,100.0,46002
46,4,233,233,100.0,46004
46,5,224,224,100.0,46005
46,6,189,189,100.0,46006
46,7,286,286,100.0,46007
46,8,142,142,100.0,46008
46,9,230,230,100.0,46009
46,10,49,49,100.0,46010
46,11,182,182,100.0,46011
46,12,202,202,100.0,46012
46,13,228,228,100.0,46013
46,14,142,142,100.0,46014
46,15,211,211,100.0,46015
46,16,133,133,100.0,46016
46,17,77,77,100.0,46017
46,18,208,208,100.0,46018
46,20,194,194,100.0,46020
46,21,91,91,100.0,46021
46,22,137,137,100.0,46022
46,23,186,186,100.0,46023
46,24,313,313,100.0,46024
46,25,213,213,100.0,46025
46,26,254,254,100.0,46026
46,27,223,223,100.0,46027
46,29,159,159,100.0,46029
46,32,84,84,100.0,46032
46,34,247,247,100.0,46034
46,35,162,162,100.0,46035
46,37,136,136,100.0,46037
46,38,192,192,100.0,46038
46,40,226,226,100.0,46040
47,15,297,297,100.0,47015
47,19,378,378,100.0,47019
47,23,271,271,100.0,47023
47,30,289,289,100.0,47030
47,32,336,336,100.0,47032
48,1,245,245,100.0,48001
48,2,109,109,100.0,48002
48,3,225,225,100.0,48003
48,4,254,254,100.0,48004
48,5,208,208,100.0,48005
48,6,218,218,100.0,48006
48,7,274,274,100.0,48007
48,8,132,132,100.0,48008
48,9,156,156,100.0,48009
48,10,362,362,100.0,48010
48,11,224,224,100.0,48011
48,12,269,269,100.0,48012
48,13,299,299,100.0,48013
48,14,120,120,100.0,48014
48,15,106,106,100.0,48015
48,16,218,218,100.0,48016
48,17,235,235,100.0,48017
48,18,148,148,100.0,48018
48,19,197,197,100.0,48019
48,20,273,273,100.0,48020
48,21,251,251,100.0,48021
48,22,234,234,100.0,48022
48,23,304,304,100.0,48023
48,24,199,199,100.0,48024
48,25,213,213,100.0,48025
48,26,97,97,100.0,48026
48,27,140,140,100.0,48027
48,28,236,236,100.0,48028
48,29,166,166,100.0,48029
48,30,220,220,100.0,48030
48,31,214,214,100.0,48031
48,32,190,190,100.0,48032
48,33,138,138,100.0,48033
48,34,200,200,100.0,48034
48,35,118,118,100.0,48035
48,36,164,164,100.0,48036
48,37,239,239,100.0,48037
48,38,265,265,100.0,48038
48,39,190,190,100.0,48039
48,40,210,210,100.0,48040
48,41,201,201,100.0,48041
48,42,274,274,100.0,48042
48,43,244,244,100.0,48043
48,44,285,285,100.0,48044
48,45,151,151,100.0,48045
48,46,168,168,100.0,48046
49,1,109,109,100.0,49001
49,2,134,134,100.0,49002
49,3,240,240,100.0,49003
49,4,237,237,100.0,49004
49,5,205,205,100.0,49005
49,6,173,173,100.0,49006
49,7,166,166,100.0,49007
49,8,156,156,100.0,49008
49,9,205,205,100.0,49009
49,10,204,204,100.0,49010
49,11,228,228,100.0,49011
49,12,214,214,100.0,49012
49,13,237,237,100.0,49013
49,14,146,146,100.0,49014
49,15,146,146,100.0,49015
49,16,196,196,100.0,49016
49,17,150,150,100.0,49017
49,18,241,241,100.0,49018
49,19,142,142,100.0,49019
49,20,299,299,100.0,49020
49,21,89,89,100.0,49021
49,22,197,197,100.0,49022
49,23,203,203,100.0,49023
49,24,121,121,100.0,49024
49,25,233,233,100.0,49025
49,26,218,218,100.0,49026
49,27,160,160,100.0,49027
49,28,289,289,100.0,49028
49,29,235,235,100.0,49029
49,30,194,194,100.0,49030
49,31,131,131,100.0,49031
49,32,190,190,100.0,49032
49,33,164,164,100.0,49033
50,1,123,123,100.0,50001
50,2,86,86,100.0,50002
50,3,136,136,100.0,50003
50,4,171,171,100.0,50004
50,5,108,108,100.0,50005
50,6,170,170,100.0,50006
50,7,221,221,100.0,50007
50,8,131,131,100.0,50008
50,9,122,122,100.0,50009
50,10,98,98,100.0,50010
50,11,91,91,100.0,50011
50,12,55,55,100.0,50012
50,13,124,124,100.0,50013
50,14,52,52,100.0,50014
50,15,239,239,100.0,50015
50,16,52,52,100.0,50016
50,17,99,99,100.0,50017
50,18,19,19,100.0,50018
50,19,78,78,100.0,50019
50,20,165,165,100.0,50020
50,21,139,139,100.0,50021
50,22,95,95,100.0,50022
50,23,71,71,100.0,50023
50,25,110,110,100.0,50025
50,26,95,95,100.0,50026
50,27,40,40,100.0,50027
50,28,129,129,100.0,50028
50,29,66,66,100.0,50029
50,30,108,108,100.0,50030
50,31,124,124,100.0,50031
50,32,115,115,100.0,50032
50,33,129,129,100.0,50033
50,34,208,208,100.0,50034
50,35,202,202,100.0,50035
50,36,185,185,100.0,50036
50,37,137,137,100.0,50037
50,38,67,67,100.0,50038
50,39,62,62,100.0,50039
50,40,116,116,100.0,50040
