ward,precinct,total,Robin Kelly,Robin Kelly Percent,precinct_id
4,5,206,206,100.0,04005
4,9,303,303,100.0,04009
4,10,301,301,100.0,04010
4,15,126,126,100.0,04015
4,22,210,210,100.0,04022
4,27,249,249,100.0,04027
4,31,281,281,100.0,04031
4,34,99,99,100.0,04034
5,1,118,118,100.0,05001
5,7,182,182,100.0,05007
5,10,51,51,100.0,05010
5,11,212,212,100.0,05011
5,18,170,170,100.0,05018
5,20,286,286,100.0,05020
5,22,312,312,100.0,05022
5,23,330,330,100.0,05023
5,25,158,158,100.0,05025
5,26,152,152,100.0,05026
5,28,204,204,100.0,05028
5,29,166,166,100.0,05029
5,31,101,101,100.0,05031
5,32,223,223,100.0,05032
5,35,172,172,100.0,05035
5,36,10,10,100.0,05036
5,37,254,254,100.0,05037
5,38,136,136,100.0,05038
5,40,127,127,100.0,05040
5,41,162,162,100.0,05041
7,5,85,85,100.0,07005
7,6,168,168,100.0,07006
7,7,84,84,100.0,07007
7,8,99,99,100.0,07008
7,9,236,236,100.0,07009
7,11,98,98,100.0,07011
7,12,73,73,100.0,07012
7,13,104,104,100.0,07013
7,14,103,103,100.0,07014
7,16,75,75,100.0,07016
7,17,92,92,100.0,07017
7,18,103,103,100.0,07018
7,21,67,67,100.0,07021
7,22,96,96,100.0,07022
7,25,50,50,100.0,07025
7,31,4,4,100.0,07031
7,35,2,2,100.0,07035
7,43,60,60,100.0,07043
7,44,77,77,100.0,07044
7,45,73,73,100.0,07045
7,46,59,59,100.0,07046
9,1,122,122,100.0,09001
9,2,84,84,100.0,09002
9,3,48,48,100.0,09003
9,4,11,11,100.0,09004
9,5,141,141,100.0,09005
9,7,60,60,100.0,09007
9,8,84,84,100.0,09008
9,9,163,163,100.0,09009
9,11,31,31,100.0,09011
9,13,166,166,100.0,09013
9,14,166,166,100.0,09014
9,15,41,41,100.0,09015
9,16,23,23,100.0,09016
9,17,55,55,100.0,09017
9,22,138,138,100.0,09022
9,26,69,69,100.0,09026
9,28,42,42,100.0,09028
9,29,61,61,100.0,09029
9,31,75,75,100.0,09031
9,32,131,131,100.0,09032
9,33,77,77,100.0,09033
9,34,87,87,100.0,09034
9,35,136,136,100.0,09035
9,37,196,196,100.0,09037
9,38,96,96,100.0,09038
9,40,172,172,100.0,09040
9,41,97,97,100.0,09041
9,43,90,90,100.0,09043
9,45,78,78,100.0,09045
9,46,123,123,100.0,09046
10,1,107,107,100.0,10001
10,2,76,76,100.0,10002
10,3,86,86,100.0,10003
10,4,47,47,100.0,10004
10,5,60,60,100.0,10005
10,6,72,72,100.0,10006
10,7,42,42,100.0,10007
10,8,30,30,100.0,10008
10,9,61,61,100.0,10009
10,10,82,82,100.0,10010
10,11,72,72,100.0,10011
10,12,51,51,100.0,10012
10,13,78,78,100.0,10013
10,14,84,84,100.0,10014
10,15,129,129,100.0,10015
10,16,51,51,100.0,10016
10,17,103,103,100.0,10017
10,18,37,37,100.0,10018
10,19,58,58,100.0,10019
10,20,78,78,100.0,10020
10,21,65,65,100.0,10021
10,22,23,23,100.0,10022
10,23,69,69,100.0,10023
10,24,68,68,100.0,10024
10,25,31,31,100.0,10025
10,26,55,55,100.0,10026
10,27,50,50,100.0,10027
10,28,76,76,100.0,10028
10,29,63,63,100.0,10029
10,30,54,54,100.0,10030
10,31,46,46,100.0,10031
10,32,67,67,100.0,10032
10,33,53,53,100.0,10033
10,34,32,32,100.0,10034
10,35,99,99,100.0,10035
10,36,33,33,100.0,10036
