ward,precinct,total,"Elgie R. Sims, Jr.","Elgie R. Sims, Jr. Percent",precinct_id
5,12,16,16,100.0,05012
6,1,174,174,100.0,06001
6,2,198,198,100.0,06002
6,3,146,146,100.0,06003
6,6,100,100,100.0,06006
6,8,161,161,100.0,06008
6,13,125,125,100.0,06013
6,14,7,7,100.0,06014
6,16,166,166,100.0,06016
6,29,182,182,100.0,06029
6,31,177,177,100.0,06031
6,32,37,37,100.0,06032
6,33,26,26,100.0,06033
6,34,140,140,100.0,06034
6,35,155,155,100.0,06035
6,36,189,189,100.0,06036
6,37,214,214,100.0,06037
6,38,168,168,100.0,06038
6,39,44,44,100.0,06039
6,41,160,160,100.0,06041
6,42,119,119,100.0,06042
6,43,114,114,100.0,06043
6,44,131,131,100.0,06044
6,45,147,147,100.0,06045
6,46,49,49,100.0,06046
6,48,14,14,100.0,06048
7,26,117,117,100.0,07026
7,27,103,103,100.0,07027
7,28,65,65,100.0,07028
7,29,30,30,100.0,07029
7,30,21,21,100.0,07030
7,38,101,101,100.0,07038
7,39,113,113,100.0,07039
7,40,103,103,100.0,07040
7,41,87,87,100.0,07041
7,42,107,107,100.0,07042
7,43,116,116,100.0,07043
7,44,98,98,100.0,07044
7,45,67,67,100.0,07045
8,2,0,0,0.0,08002
8,3,214,214,100.0,08003
8,4,185,185,100.0,08004
8,5,196,196,100.0,08005
8,6,159,159,100.0,08006
8,7,176,176,100.0,08007
8,8,194,194,100.0,08008
8,9,82,82,100.0,08009
8,10,250,250,100.0,08010
8,11,82,82,100.0,08011
8,12,104,104,100.0,08012
8,13,128,128,100.0,08013
8,14,50,50,100.0,08014
8,15,106,106,100.0,08015
8,17,146,146,100.0,08017
8,18,59,59,100.0,08018
8,19,205,205,100.0,08019
8,20,178,178,100.0,08020
8,21,146,146,100.0,08021
8,22,135,135,100.0,08022
8,23,80,80,100.0,08023
8,24,92,92,100.0,08024
8,25,111,111,100.0,08025
8,27,217,217,100.0,08027
8,28,145,145,100.0,08028
8,29,179,179,100.0,08029
8,30,154,154,100.0,08030
8,31,102,102,100.0,08031
8,32,111,111,100.0,08032
8,33,97,97,100.0,08033
8,34,146,146,100.0,08034
8,35,167,167,100.0,08035
8,36,141,141,100.0,08036
8,37,130,130,100.0,08037
8,38,90,90,100.0,08038
8,39,141,141,100.0,08039
8,40,103,103,100.0,08040
8,41,132,132,100.0,08041
8,44,92,92,100.0,08044
8,45,63,63,100.0,08045
8,46,103,103,100.0,08046
8,47,123,123,100.0,08047
8,48,121,121,100.0,08048
8,49,133,133,100.0,08049
8,50,148,148,100.0,08050
8,51,167,167,100.0,08051
8,52,228,228,100.0,08052
8,53,67,67,100.0,08053
8,54,10,10,100.0,08054
8,56,165,165,100.0,08056
9,1,119,119,100.0,09001
9,2,88,88,100.0,09002
9,5,68,68,100.0,09005
9,7,12,12,100.0,09007
9,8,80,80,100.0,09008
9,9,156,156,100.0,09009
9,12,162,162,100.0,09012
9,13,159,159,100.0,09013
9,14,158,158,100.0,09014
9,17,20,20,100.0,09017
9,22,128,128,100.0,09022
9,23,165,165,100.0,09023
9,24,160,160,100.0,09024
9,25,116,116,100.0,09025
9,28,7,7,100.0,09028
9,29,37,37,100.0,09029
9,31,7,7,100.0,09031
9,32,122,122,100.0,09032
9,34,36,36,100.0,09034
9,35,132,132,100.0,09035
9,36,91,91,100.0,09036
9,37,191,191,100.0,09037
9,38,97,97,100.0,09038
9,40,160,160,100.0,09040
9,42,170,170,100.0,09042
9,43,29,29,100.0,09043
9,46,123,123,100.0,09046
9,47,169,169,100.0,09047
9,48,165,165,100.0,09048
9,49,166,166,100.0,09049
9,50,216,216,100.0,09050
9,51,166,166,100.0,09051
10,2,73,73,100.0,10002
10,3,82,82,100.0,10003
10,5,62,62,100.0,10005
10,6,69,69,100.0,10006
10,7,40,40,100.0,10007
10,9,59,59,100.0,10009
10,13,70,70,100.0,10013
10,14,2,2,100.0,10014
10,15,204,204,100.0,10015
10,16,48,48,100.0,10016
10,17,100,100,100.0,10017
10,21,62,62,100.0,10021
10,23,48,48,100.0,10023
10,24,61,61,100.0,10024
10,26,48,48,100.0,10026
10,30,32,32,100.0,10030
10,31,43,43,100.0,10031
10,33,53,53,100.0,10033
21,31,138,138,100.0,21031
21,53,101,101,100.0,21053
