ward,precinct,total,Eileen Dordek,Eileen Dordek Percent,Hoan Huynh,Hoan Huynh Percent,"Fernando """"Sergio"""" Mojica","Fernando """"Sergio"""" Mojica Percent","Andrew """"Andy"""" Peters","Andrew """"Andy"""" Peters Percent","Joseph """"Joe"""" Struck","Joseph """"Joe"""" Struck Percent",precinct_id
40,1,108,40,37.04,56,51.85,1,0.93,8,7.41,3,2.78,40001
40,2,167,54,32.34,77,46.11,16,9.58,15,8.98,5,2.99,40002
40,3,268,111,41.42,112,41.79,20,7.46,19,7.09,6,2.24,40003
40,5,243,86,35.39,111,45.68,16,6.58,19,7.82,11,4.53,40005
40,6,266,99,37.22,123,46.24,21,7.89,14,5.26,9,3.38,40006
40,7,244,99,40.57,107,43.85,12,4.92,24,9.84,2,0.82,40007
40,8,352,154,43.75,148,42.05,25,7.1,19,5.4,6,1.7,40008
40,11,237,89,37.55,103,43.46,12,5.06,13,5.49,20,8.44,40011
40,12,190,82,43.16,73,38.42,13,6.84,20,10.53,2,1.05,40012
40,13,344,106,30.81,179,52.03,27,7.85,27,7.85,5,1.45,40013
40,14,146,54,36.99,62,42.47,16,10.96,10,6.85,4,2.74,40014
40,16,329,111,33.74,186,56.53,15,4.56,15,4.56,2,0.61,40016
40,17,173,52,30.06,78,45.09,9,5.2,23,13.29,11,6.36,40017
40,19,192,69,35.94,80,41.67,19,9.9,16,8.33,8,4.17,40019
40,20,151,49,32.45,60,39.74,22,14.57,16,10.6,4,2.65,40020
40,21,304,115,37.83,100,32.89,59,19.41,28,9.21,2,0.66,40021
40,22,15,9,60.0,4,26.67,1,6.67,1,6.67,0,0.0,40022
40,23,345,105,30.43,161,46.67,41,11.88,24,6.96,14,4.06,40023
40,24,68,21,30.88,23,33.82,11,16.18,11,16.18,2,2.94,40024
40,25,308,126,40.91,125,40.58,28,9.09,19,6.17,10,3.25,40025
40,26,255,81,31.76,119,46.67,34,13.33,16,6.27,5,1.96,40026
40,29,22,11,50.0,5,22.73,3,13.64,3,13.64,0,0.0,40029
40,31,300,104,34.67,142,47.33,26,8.67,23,7.67,5,1.67,40031
40,32,253,92,36.36,131,51.78,11,4.35,18,7.11,1,0.4,40032
