ward,precinct,total,Bonita Coleman-John,Bonita Coleman-John Percent,precinct_id
5,12,132,132,100.0,05012
5,50,50,50,100.0,05050
6,1,286,286,100.0,06001
6,2,274,274,100.0,06002
6,3,256,256,100.0,06003
6,4,189,189,100.0,06004
6,5,113,113,100.0,06005
6,6,208,208,100.0,06006
6,8,309,309,100.0,06008
6,9,239,239,100.0,06009
6,10,347,347,100.0,06010
6,11,224,224,100.0,06011
6,12,224,224,100.0,06012
6,13,210,210,100.0,06013
6,14,223,223,100.0,06014
6,16,272,272,100.0,06016
6,17,296,296,100.0,06017
6,19,291,291,100.0,06019
6,21,254,254,100.0,06021
6,22,243,243,100.0,06022
6,23,181,181,100.0,06023
6,24,233,233,100.0,06024
6,25,165,165,100.0,06025
6,26,237,237,100.0,06026
6,27,308,308,100.0,06027
6,28,413,413,100.0,06028
6,29,307,307,100.0,06029
6,31,284,284,100.0,06031
6,34,197,197,100.0,06034
6,35,220,220,100.0,06035
6,36,164,164,100.0,06036
6,37,278,278,100.0,06037
6,38,248,248,100.0,06038
6,39,143,143,100.0,06039
6,40,141,141,100.0,06040
6,41,258,258,100.0,06041
6,42,139,139,100.0,06042
6,43,247,247,100.0,06043
6,44,234,234,100.0,06044
6,45,171,171,100.0,06045
6,46,231,231,100.0,06046
6,47,238,238,100.0,06047
6,49,264,264,100.0,06049
6,50,263,263,100.0,06050
6,51,156,156,100.0,06051
6,52,163,163,100.0,06052
6,53,228,228,100.0,06053
6,54,243,243,100.0,06054
6,55,207,207,100.0,06055
6,56,176,176,100.0,06056
6,57,132,132,100.0,06057
6,58,266,266,100.0,06058
6,59,252,252,100.0,06059
6,60,144,144,100.0,06060
6,63,212,212,100.0,06063
6,64,276,276,100.0,06064
7,1,365,365,100.0,07001
7,2,250,250,100.0,07002
7,3,164,164,100.0,07003
7,4,166,166,100.0,07004
7,5,186,186,100.0,07005
7,6,171,171,100.0,07006
7,7,145,145,100.0,07007
7,8,68,68,100.0,07008
7,10,150,150,100.0,07010
7,12,161,161,100.0,07012
7,13,152,152,100.0,07013
7,14,233,233,100.0,07014
7,15,142,142,100.0,07015
7,16,155,155,100.0,07016
7,17,104,104,100.0,07017
7,18,136,136,100.0,07018
7,19,285,285,100.0,07019
7,20,105,105,100.0,07020
7,21,216,216,100.0,07021
7,22,154,154,100.0,07022
7,23,222,222,100.0,07023
7,24,199,199,100.0,07024
7,25,275,275,100.0,07025
7,26,250,250,100.0,07026
7,27,299,299,100.0,07027
7,28,239,239,100.0,07028
7,29,192,192,100.0,07029
7,30,231,231,100.0,07030
7,31,200,200,100.0,07031
7,32,156,156,100.0,07032
7,33,154,154,100.0,07033
7,34,207,207,100.0,07034
7,36,227,227,100.0,07036
7,37,119,119,100.0,07037
7,38,163,163,100.0,07038
7,39,188,188,100.0,07039
7,41,173,173,100.0,07041
7,42,307,307,100.0,07042
7,43,243,243,100.0,07043
7,46,100,100,100.0,07046
7,47,201,201,100.0,07047
7,48,177,177,100.0,07048
7,49,112,112,100.0,07049
7,51,341,341,100.0,07051
7,52,164,164,100.0,07052
7,53,183,183,100.0,07053
7,54,88,88,100.0,07054
7,55,184,184,100.0,07055
7,56,201,201,100.0,07056
7,57,158,158,100.0,07057
7,58,228,228,100.0,07058
7,59,108,108,100.0,07059
7,60,150,150,100.0,07060
7,61,191,191,100.0,07061
8,1,252,252,100.0,08001
8,2,119,119,100.0,08002
8,3,291,291,100.0,08003
8,4,226,226,100.0,08004
8,5,258,258,100.0,08005
8,6,234,234,100.0,08006
8,7,204,204,100.0,08007
8,8,272,272,100.0,08008
8,9,288,288,100.0,08009
8,10,332,332,100.0,08010
8,11,227,227,100.0,08011
8,12,214,214,100.0,08012
8,13,167,167,100.0,08013
8,14,150,150,100.0,08014
8,15,167,167,100.0,08015
8,16,256,256,100.0,08016
8,17,213,213,100.0,08017
8,18,139,139,100.0,08018
8,19,294,294,100.0,08019
8,20,171,171,100.0,08020
8,21,169,169,100.0,08021
8,22,176,176,100.0,08022
8,23,197,197,100.0,08023
8,24,226,226,100.0,08024
8,25,218,218,100.0,08025
8,26,158,158,100.0,08026
8,27,248,248,100.0,08027
8,28,187,187,100.0,08028
8,29,247,247,100.0,08029
8,30,199,199,100.0,08030
8,31,148,148,100.0,08031
8,32,326,326,100.0,08032
8,33,218,218,100.0,08033
8,34,278,278,100.0,08034
8,35,265,265,100.0,08035
8,36,199,199,100.0,08036
8,37,254,254,100.0,08037
8,38,228,228,100.0,08038
8,39,251,251,100.0,08039
8,40,196,196,100.0,08040
8,41,178,178,100.0,08041
8,42,245,245,100.0,08042
8,43,175,175,100.0,08043
8,44,195,195,100.0,08044
8,45,181,181,100.0,08045
8,46,180,180,100.0,08046
8,47,231,231,100.0,08047
8,48,201,201,100.0,08048
8,49,308,308,100.0,08049
8,50,219,219,100.0,08050
8,51,285,285,100.0,08051
8,52,235,235,100.0,08052
8,53,236,236,100.0,08053
8,54,234,234,100.0,08054
8,55,229,229,100.0,08055
8,56,250,250,100.0,08056
8,58,240,240,100.0,08058
8,59,130,130,100.0,08059
8,60,214,214,100.0,08060
8,61,175,175,100.0,08061
8,62,197,197,100.0,08062
8,63,264,264,100.0,08063
8,64,202,202,100.0,08064
8,65,160,160,100.0,08065
8,66,333,333,100.0,08066
8,67,153,153,100.0,08067
8,68,139,139,100.0,08068
8,69,87,87,100.0,08069
9,13,270,270,100.0,09013
9,35,262,262,100.0,09035
9,36,270,270,100.0,09036
9,47,275,275,100.0,09047
9,52,236,236,100.0,09052
10,1,174,174,100.0,10001
10,2,101,101,100.0,10002
10,3,136,136,100.0,10003
10,4,118,118,100.0,10004
10,5,118,118,100.0,10005
10,6,191,191,100.0,10006
