ward,precinct,total,Joel Barry Pollak,Joel Barry Pollak Percent,Janice D. Schakowsky,Janice D. Schakowsky Percent,Simon Ribeiro,Simon Ribeiro Percent,precinct_id
40,3,276,29,10.51,235,85.14,12,4.35,40003
40,4,275,35,12.73,229,83.27,11,4.0,40004
40,7,301,29,9.63,254,84.39,18,5.98,40007
40,8,86,22,25.58,61,70.93,3,3.49,40008
40,9,255,47,18.43,190,74.51,18,7.06,40009
40,11,239,42,17.57,190,79.5,7,2.93,40011
40,12,198,15,7.58,177,89.39,6,3.03,40012
40,13,347,38,10.95,294,84.73,15,4.32,40013
40,16,277,73,26.35,196,70.76,8,2.89,40016
40,18,299,48,16.05,240,80.27,11,3.68,40018
40,22,184,33,17.93,148,80.43,3,1.63,40022
40,26,324,35,10.8,272,83.95,17,5.25,40026
40,27,234,26,11.11,198,84.62,10,4.27,40027
40,28,325,37,11.38,282,86.77,6,1.85,40028
40,33,282,38,13.48,230,81.56,14,4.96,40033
40,35,290,77,26.55,208,71.72,5,1.72,40035
40,37,219,37,16.89,176,80.37,6,2.74,40037
40,39,207,46,22.22,155,74.88,6,2.9,40039
40,41,298,39,13.09,246,82.55,13,4.36,40041
40,42,319,59,18.5,251,78.68,9,2.82,40042
40,43,320,41,12.81,259,80.94,20,6.25,40043
40,46,359,68,18.94,279,77.72,12,3.34,40046
40,47,280,24,8.57,245,87.5,11,3.93,40047
41,1,412,207,50.24,188,45.63,17,4.13,41001
41,2,431,206,47.8,219,50.81,6,1.39,41002
41,4,408,201,49.26,199,48.77,8,1.96,41004
41,5,474,199,41.98,263,55.49,12,2.53,41005
41,7,448,195,43.53,244,54.46,9,2.01,41007
41,8,387,184,47.55,190,49.1,13,3.36,41008
41,11,384,181,47.14,190,49.48,13,3.39,41011
41,13,220,98,44.55,115,52.27,7,3.18,41013
41,15,437,198,45.31,229,52.4,10,2.29,41015
41,17,390,154,39.49,227,58.21,9,2.31,41017
41,18,327,136,41.59,177,54.13,14,4.28,41018
41,20,409,190,46.45,206,50.37,13,3.18,41020
41,25,174,56,32.18,112,64.37,6,3.45,41025
41,26,172,102,59.3,67,38.95,3,1.74,41026
41,27,132,55,41.67,73,55.3,4,3.03,41027
41,28,337,106,31.45,216,64.09,15,4.45,41028
41,29,197,61,30.96,132,67.01,4,2.03,41029
41,31,414,155,37.44,251,60.63,8,1.93,41031
41,32,249,132,53.01,113,45.38,4,1.61,41032
41,33,278,125,44.96,145,52.16,8,2.88,41033
41,34,324,158,48.77,160,49.38,6,1.85,41034
41,36,408,171,41.91,226,55.39,11,2.7,41036
41,37,443,224,50.56,210,47.4,9,2.03,41037
41,40,444,225,50.68,205,46.17,14,3.15,41040
41,41,396,168,42.42,216,54.55,12,3.03,41041
41,42,448,215,47.99,225,50.22,8,1.79,41042
41,43,369,154,41.73,209,56.64,6,1.63,41043
41,45,381,124,32.55,245,64.3,12,3.15,41045
41,48,209,75,35.89,126,60.29,8,3.83,41048
41,49,445,228,51.24,204,45.84,13,2.92,41049
41,52,453,197,43.49,234,51.66,22,4.86,41052
41,55,365,187,51.23,168,46.03,10,2.74,41055
41,56,472,223,47.25,243,51.48,6,1.27,41056
44,3,347,69,19.88,272,78.39,6,1.73,44003
44,4,315,65,20.63,247,78.41,3,0.95,44004
44,7,365,114,31.23,243,66.58,8,2.19,44007
44,18,7,3,42.86,3,42.86,1,14.29,44018
44,35,258,54,20.93,201,77.91,3,1.16,44035
44,48,260,67,25.77,189,72.69,4,1.54,44048
44,49,507,115,22.68,384,75.74,8,1.58,44049
46,1,517,97,18.76,401,77.56,19,3.68,46001
46,2,345,43,12.46,287,83.19,15,4.35,46002
46,4,316,38,12.03,269,85.13,9,2.85,46004
46,6,369,46,12.47,308,83.47,15,4.07,46006
46,7,243,34,13.99,206,84.77,3,1.23,46007
46,8,354,41,11.58,298,84.18,15,4.24,46008
46,9,312,52,16.67,244,78.21,16,5.13,46009
46,10,289,52,17.99,222,76.82,15,5.19,46010
46,11,352,67,19.03,279,79.26,6,1.7,46011
46,12,383,44,11.49,321,83.81,18,4.7,46012
46,14,285,20,7.02,252,88.42,13,4.56,46014
46,15,404,94,23.27,295,73.02,15,3.71,46015
46,16,310,51,16.45,245,79.03,14,4.52,46016
46,19,391,40,10.23,333,85.17,18,4.6,46019
46,20,243,38,15.64,201,82.72,4,1.65,46020
46,21,163,27,16.56,131,80.37,5,3.07,46021
46,22,267,49,18.35,207,77.53,11,4.12,46022
