ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
24,7,175,175,100.0,24007
24,16,138,138,100.0,24016
24,41,197,197,100.0,24041
24,46,244,244,100.0,24046
28,1,214,214,100.0,28001
28,4,220,220,100.0,28004
28,8,189,189,100.0,28008
28,12,132,132,100.0,28012
28,14,118,118,100.0,28014
28,15,182,182,100.0,28015
28,17,169,169,100.0,28017
28,19,241,241,100.0,28019
28,21,256,256,100.0,28021
28,27,220,220,100.0,28027
28,39,213,213,100.0,28039
28,40,265,265,100.0,28040
28,41,194,194,100.0,28041
28,42,147,147,100.0,28042
28,45,207,207,100.0,28045
28,46,174,174,100.0,28046
28,51,179,179,100.0,28051
28,55,172,172,100.0,28055
28,56,178,178,100.0,28056
28,57,174,174,100.0,28057
28,58,209,209,100.0,28058
28,60,146,146,100.0,28060
29,1,359,359,100.0,29001
29,3,343,343,100.0,29003
29,7,0,0,0.0,29007
29,12,306,306,100.0,29012
29,14,303,303,100.0,29014
29,15,299,299,100.0,29015
29,17,246,246,100.0,29017
29,22,240,240,100.0,29022
29,25,296,296,100.0,29025
29,28,339,339,100.0,29028
29,31,236,236,100.0,29031
29,34,177,177,100.0,29034
29,36,326,326,100.0,29036
29,38,248,248,100.0,29038
29,42,311,311,100.0,29042
29,49,350,350,100.0,29049
37,2,187,187,100.0,37002
37,3,0,0,0.0,37003
37,10,247,247,100.0,37010
37,14,334,334,100.0,37014
37,15,268,268,100.0,37015
37,16,299,299,100.0,37016
37,20,264,264,100.0,37020
37,21,273,273,100.0,37021
37,22,169,169,100.0,37022
37,23,206,206,100.0,37023
37,24,247,247,100.0,37024
37,25,320,320,100.0,37025
37,26,301,301,100.0,37026
37,27,294,294,100.0,37027
37,30,173,173,100.0,37030
37,31,276,276,100.0,37031
37,33,227,227,100.0,37033
37,34,291,291,100.0,37034
37,36,243,243,100.0,37036
37,40,253,253,100.0,37040
37,41,315,315,100.0,37041
37,43,224,224,100.0,37043
