ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,precinct_id
9,1,288,288,100.0,09001
9,2,292,292,100.0,09002
9,5,304,304,100.0,09005
9,9,301,301,100.0,09009
9,12,250,250,100.0,09012
9,13,291,291,100.0,09013
9,14,341,341,100.0,09014
9,17,254,254,100.0,09017
9,18,22,22,100.0,09018
9,22,301,301,100.0,09022
9,23,178,178,100.0,09023
9,29,210,210,100.0,09029
9,31,208,208,100.0,09031
9,32,222,222,100.0,09032
9,34,206,206,100.0,09034
9,35,294,294,100.0,09035
9,38,270,270,100.0,09038
9,40,268,268,100.0,09040
9,43,151,151,100.0,09043
9,46,216,216,100.0,09046
9,48,269,269,100.0,09048
9,51,117,117,100.0,09051
9,52,277,277,100.0,09052
34,2,237,237,100.0,34002
34,3,187,187,100.0,34003
34,4,348,348,100.0,34004
34,5,253,253,100.0,34005
34,9,217,217,100.0,34009
34,10,289,289,100.0,34010
34,11,197,197,100.0,34011
34,14,216,216,100.0,34014
34,15,232,232,100.0,34015
34,16,210,210,100.0,34016
34,17,258,258,100.0,34017
34,18,189,189,100.0,34018
34,20,402,402,100.0,34020
34,22,314,314,100.0,34022
34,23,255,255,100.0,34023
34,24,246,246,100.0,34024
34,26,187,187,100.0,34026
34,27,239,239,100.0,34027
34,28,185,185,100.0,34028
34,30,321,321,100.0,34030
34,31,155,155,100.0,34031
34,36,308,308,100.0,34036
34,37,269,269,100.0,34037
34,38,232,232,100.0,34038
34,39,225,225,100.0,34039
34,40,304,304,100.0,34040
34,41,164,164,100.0,34041
34,42,323,323,100.0,34042
34,43,401,401,100.0,34043
34,50,282,282,100.0,34050
34,52,240,240,100.0,34052
34,53,184,184,100.0,34053
34,54,216,216,100.0,34054
34,59,304,304,100.0,34059
34,60,313,313,100.0,34060
