ward,precinct,total,Maria Antonia ''Toni'' Berrios,Maria Antonia ''Toni'' Berrios Percent,Jeremy Karpen,Jeremy Karpen Percent,precinct_id
1,7,123,97,78.86,26,21.14,01007
1,9,216,139,64.35,77,35.65,01009
1,13,340,212,62.35,128,37.65,01013
1,20,270,186,68.89,84,31.11,01020
1,24,371,209,56.33,162,43.67,01024
1,29,283,168,59.36,115,40.64,01029
1,30,351,222,63.25,129,36.75,01030
1,31,82,49,59.76,33,40.24,01031
1,34,194,119,61.34,75,38.66,01034
1,38,159,99,62.26,60,37.74,01038
1,39,234,179,76.5,55,23.5,01039
1,41,111,76,68.47,35,31.53,01041
26,8,153,106,69.28,47,30.72,26008
26,19,280,133,47.5,147,52.5,26019
26,34,191,111,58.12,80,41.88,26034
26,51,160,106,66.25,54,33.75,26051
30,9,129,112,86.82,17,13.18,30009
30,18,137,104,75.91,33,24.09,30018
30,19,133,101,75.94,32,24.06,30019
30,25,114,88,77.19,26,22.81,30025
30,36,175,122,69.71,53,30.29,30036
31,1,78,63,80.77,15,19.23,31001
31,2,114,87,76.32,27,23.68,31002
31,4,139,109,78.42,30,21.58,31004
31,5,186,146,78.49,40,21.51,31005
31,6,147,121,82.31,26,17.69,31006
31,7,145,117,80.69,28,19.31,31007
31,9,126,107,84.92,19,15.08,31009
31,11,156,126,80.77,30,19.23,31011
31,13,147,121,82.31,26,17.69,31013
31,14,122,107,87.7,15,12.3,31014
31,16,135,107,79.26,28,20.74,31016
31,18,128,114,89.06,14,10.94,31018
31,19,131,113,86.26,18,13.74,31019
31,22,103,81,78.64,22,21.36,31022
31,28,151,122,80.79,29,19.21,31028
31,30,174,146,83.91,28,16.09,31030
31,31,205,154,75.12,51,24.88,31031
31,32,182,154,84.62,28,15.38,31032
31,33,169,140,82.84,29,17.16,31033
31,38,98,85,86.73,13,13.27,31038
31,41,142,111,78.17,31,21.83,31041
31,46,133,116,87.22,17,12.78,31046
31,47,144,106,73.61,38,26.39,31047
31,48,125,103,82.4,22,17.6,31048
31,49,79,72,91.14,7,8.86,31049
31,50,157,120,76.43,37,23.57,31050
32,14,257,156,60.7,101,39.3,32014
32,16,116,61,52.59,55,47.41,32016
35,1,304,188,61.84,116,38.16,35001
35,3,224,143,63.84,81,36.16,35003
35,5,275,180,65.45,95,34.55,35005
35,6,266,167,62.78,99,37.22,35006
35,7,333,179,53.75,154,46.25,35007
35,8,242,153,63.22,89,36.78,35008
35,9,278,166,59.71,112,40.29,35009
35,10,282,143,50.71,139,49.29,35010
35,11,253,146,57.71,107,42.29,35011
35,12,346,191,55.2,155,44.8,35012
35,13,72,55,76.39,17,23.61,35013
35,14,267,183,68.54,84,31.46,35014
35,15,264,174,65.91,90,34.09,35015
35,16,303,163,53.8,140,46.2,35016
35,17,296,177,59.8,119,40.2,35017
35,18,339,228,67.26,111,32.74,35018
35,19,294,165,56.12,129,43.88,35019
35,20,255,173,67.84,82,32.16,35020
35,21,262,177,67.56,85,32.44,35021
35,24,156,124,79.49,32,20.51,35024
35,25,328,149,45.43,179,54.57,35025
35,27,346,186,53.76,160,46.24,35027
35,28,333,175,52.55,158,47.45,35028
35,29,357,194,54.34,163,45.66,35029
35,30,386,183,47.41,203,52.59,35030
35,31,155,74,47.74,81,52.26,35031
35,33,72,53,73.61,19,26.39,35033
35,34,318,161,50.63,157,49.37,35034
35,36,192,117,60.94,75,39.06,35036
38,53,20,17,85.0,3,15.0,38053
