ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,Marie J. ''Jenny'' Wohadlo,Marie J. ''Jenny'' Wohadlo Percent,precinct_id
2,7,335,330,98.51,5,1.49,02007
2,14,356,326,91.57,30,8.43,02014
2,18,337,220,65.28,117,34.72,02018
2,19,484,305,63.02,179,36.98,02019
2,20,433,390,90.07,43,9.93,02020
2,21,298,256,85.91,42,14.09,02021
2,26,307,243,79.15,64,20.85,02026
2,30,354,230,64.97,124,35.03,02030
2,31,291,276,94.85,15,5.15,02031
2,36,486,367,75.51,119,24.49,02036
2,38,504,307,60.91,197,39.09,02038
2,44,216,203,93.98,13,6.02,02044
2,46,394,363,92.13,31,7.87,02046
3,1,242,233,96.28,9,3.72,03001
3,2,333,326,97.9,7,2.1,03002
3,4,208,199,95.67,9,4.33,03004
3,5,239,226,94.56,13,5.44,03005
3,6,68,61,89.71,7,10.29,03006
3,7,280,262,93.57,18,6.43,03007
3,8,2,2,100.0,0,0.0,03008
3,9,278,270,97.12,8,2.88,03009
3,11,275,262,95.27,13,4.73,03011
3,15,298,293,98.32,5,1.68,03015
3,16,221,205,92.76,16,7.24,03016
3,20,197,183,92.89,14,7.11,03020
3,23,250,244,97.6,6,2.4,03023
3,24,372,354,95.16,18,4.84,03024
3,30,176,166,94.32,10,5.68,03030
3,31,374,367,98.13,7,1.87,03031
3,32,223,211,94.62,12,5.38,03032
3,33,331,317,95.77,14,4.23,03033
3,34,213,203,95.31,10,4.69,03034
3,35,264,255,96.59,9,3.41,03035
3,37,112,106,94.64,6,5.36,03037
3,38,342,333,97.37,9,2.63,03038
3,39,335,330,98.51,5,1.49,03039
3,40,254,246,96.85,8,3.15,03040
3,41,213,185,86.85,28,13.15,03041
3,43,48,48,100.0,0,0.0,03043
3,46,57,57,100.0,0,0.0,03046
3,49,101,96,95.05,5,4.95,03049
4,1,471,382,81.1,89,18.9,04001
4,2,404,385,95.3,19,4.7,04002
4,3,373,358,95.98,15,4.02,04003
4,4,365,351,96.16,14,3.84,04004
4,5,428,412,96.26,16,3.74,04005
4,6,113,111,98.23,2,1.77,04006
4,7,378,353,93.39,25,6.61,04007
4,8,391,375,95.91,16,4.09,04008
4,9,566,548,96.82,18,3.18,04009
4,10,367,351,95.64,16,4.36,04010
4,11,305,299,98.03,6,1.97,04011
4,12,202,193,95.54,9,4.46,04012
4,13,251,212,84.46,39,15.54,04013
4,14,258,242,93.8,16,6.2,04014
4,15,284,244,85.92,40,14.08,04015
4,16,376,365,97.07,11,2.93,04016
4,17,316,281,88.92,35,11.08,04017
4,18,310,297,95.81,13,4.19,04018
4,19,332,310,93.37,22,6.63,04019
4,20,274,270,98.54,4,1.46,04020
4,21,424,369,87.03,55,12.97,04021
4,22,387,336,86.82,51,13.18,04022
4,23,236,199,84.32,37,15.68,04023
4,24,328,296,90.24,32,9.76,04024
4,25,336,324,96.43,12,3.57,04025
4,26,362,349,96.41,13,3.59,04026
4,27,274,270,98.54,4,1.46,04027
4,28,182,143,78.57,39,21.43,04028
4,29,275,230,83.64,45,16.36,04029
4,30,255,246,96.47,9,3.53,04030
4,31,212,150,70.75,62,29.25,04031
4,32,345,267,77.39,78,22.61,04032
4,33,289,273,94.46,16,5.54,04033
4,34,238,170,71.43,68,28.57,04034
4,35,216,208,96.3,8,3.7,04035
4,36,237,216,91.14,21,8.86,04036
4,37,7,7,100.0,0,0.0,04037
4,38,462,404,87.45,58,12.55,04038
4,39,228,220,96.49,8,3.51,04039
4,40,351,328,93.45,23,6.55,04040
4,41,155,104,67.1,51,32.9,04041
4,42,345,329,95.36,16,4.64,04042
4,43,200,158,79.0,42,21.0,04043
4,44,182,160,87.91,22,12.09,04044
4,45,488,453,92.83,35,7.17,04045
4,46,257,244,94.94,13,5.06,04046
4,47,434,373,85.94,61,14.06,04047
4,48,394,328,83.25,66,16.75,04048
4,49,259,254,98.07,5,1.93,04049
4,50,288,270,93.75,18,6.25,04050
4,51,296,284,95.95,12,4.05,04051
4,52,353,348,98.58,5,1.42,04052
5,1,323,312,96.59,11,3.41,05001
5,2,257,253,98.44,4,1.56,05002
5,3,155,124,80.0,31,20.0,05003
5,4,219,215,98.17,4,1.83,05004
5,5,274,269,98.18,5,1.82,05005
5,6,353,344,97.45,9,2.55,05006
5,7,320,311,97.19,9,2.81,05007
5,8,337,259,76.85,78,23.15,05008
5,9,284,276,97.18,8,2.82,05009
5,10,252,240,95.24,12,4.76,05010
5,11,239,193,80.75,46,19.25,05011
5,12,189,182,96.3,7,3.7,05012
5,13,288,268,93.06,20,6.94,05013
5,14,402,333,82.84,69,17.16,05014
5,15,275,226,82.18,49,17.82,05015
5,16,225,217,96.44,8,3.56,05016
5,17,302,298,98.68,4,1.32,05017
5,18,295,270,91.53,25,8.47,05018
5,19,164,159,96.95,5,3.05,05019
5,20,154,152,98.7,2,1.3,05020
5,21,324,306,94.44,18,5.56,05021
5,22,281,271,96.44,10,3.56,05022
5,23,193,188,97.41,5,2.59,05023
5,24,236,211,89.41,25,10.59,05024
5,25,303,292,96.37,11,3.63,05025
5,26,309,305,98.71,4,1.29,05026
5,27,380,282,74.21,98,25.79,05027
5,28,317,303,95.58,14,4.42,05028
5,29,285,267,93.68,18,6.32,05029
5,30,249,171,68.67,78,31.33,05030
5,31,270,264,97.78,6,2.22,05031
5,32,458,433,94.54,25,5.46,05032
5,33,188,187,99.47,1,0.53,05033
5,34,339,329,97.05,10,2.95,05034
5,35,225,192,85.33,33,14.67,05035
5,36,154,151,98.05,3,1.95,05036
5,37,230,175,76.09,55,23.91,05037
5,38,290,233,80.34,57,19.66,05038
5,39,360,255,70.83,105,29.17,05039
5,40,314,305,97.13,9,2.87,05040
5,41,260,184,70.77,76,29.23,05041
5,42,319,310,97.18,9,2.82,05042
5,43,307,295,96.09,12,3.91,05043
5,44,328,317,96.65,11,3.35,05044
5,45,173,168,97.11,5,2.89,05045
5,46,257,194,75.49,63,24.51,05046
5,47,240,236,98.33,4,1.67,05047
5,48,204,163,79.9,41,20.1,05048
5,49,69,67,97.1,2,2.9,05049
5,50,246,240,97.56,6,2.44,05050
5,51,202,196,97.03,6,2.97,05051
5,52,13,12,92.31,1,7.69,05052
5,53,335,299,89.25,36,10.75,05053
5,54,409,393,96.09,16,3.91,05054
5,55,279,277,99.28,2,0.72,05055
6,4,230,226,98.26,4,1.74,06004
6,5,151,149,98.68,2,1.32,06005
6,6,268,264,98.51,4,1.49,06006
6,7,296,290,97.97,6,2.03,06007
6,11,281,271,96.44,10,3.56,06011
6,12,293,286,97.61,7,2.39,06012
6,15,212,207,97.64,5,2.36,06015
6,20,305,300,98.36,5,1.64,06020
6,23,236,233,98.73,3,1.27,06023
6,30,268,263,98.13,5,1.87,06030
6,32,307,299,97.39,8,2.61,06032
6,33,377,370,98.14,7,1.86,06033
6,36,207,203,98.07,4,1.93,06036
6,39,267,260,97.38,7,2.62,06039
6,40,175,174,99.43,1,0.57,06040
6,42,167,164,98.2,3,1.8,06042
6,48,276,270,97.83,6,2.17,06048
6,49,327,317,96.94,10,3.06,06049
6,55,266,260,97.74,6,2.26,06055
6,56,217,211,97.24,6,2.76,06056
6,61,171,167,97.66,4,2.34,06061
7,9,250,243,97.2,7,2.8,07009
7,23,112,111,99.11,1,0.89,07023
7,35,319,303,94.98,16,5.02,07035
7,40,333,320,96.1,13,3.9,07040
7,50,190,185,97.37,5,2.63,07050
8,57,260,254,97.69,6,2.31,08057
8,67,204,202,99.02,2,0.98,08067
8,68,185,183,98.92,2,1.08,08068
8,69,180,176,97.78,4,2.22,08069
8,70,351,342,97.44,9,2.56,08070
17,2,232,224,96.55,8,3.45,17002
17,3,161,158,98.14,3,1.86,17003
17,4,333,331,99.4,2,0.6,17004
17,5,188,181,96.28,7,3.72,17005
17,7,267,261,97.75,6,2.25,17007
17,9,143,142,99.3,1,0.7,17009
17,10,216,212,98.15,4,1.85,17010
17,11,234,231,98.72,3,1.28,17011
17,12,316,306,96.84,10,3.16,17012
17,15,273,261,95.6,12,4.4,17015
17,18,245,240,97.96,5,2.04,17018
17,20,201,199,99.0,2,1.0,17020
