ward,precinct,total,Edwin Reyes,Edwin Reyes Percent,precinct_id
1,1,229,229,100.0,01001
1,6,36,36,100.0,01006
1,7,209,209,100.0,01007
1,9,173,173,100.0,01009
1,13,283,283,100.0,01013
1,15,162,162,100.0,01015
1,16,103,103,100.0,01016
1,18,189,189,100.0,01018
1,19,135,135,100.0,01019
1,20,221,221,100.0,01020
1,22,169,169,100.0,01022
1,23,160,160,100.0,01023
1,24,302,302,100.0,01024
1,27,144,144,100.0,01027
1,28,118,118,100.0,01028
1,29,219,219,100.0,01029
1,30,294,294,100.0,01030
1,32,87,87,100.0,01032
1,33,231,231,100.0,01033
1,34,161,161,100.0,01034
1,38,134,134,100.0,01038
1,39,184,184,100.0,01039
1,40,109,109,100.0,01040
1,41,172,172,100.0,01041
1,42,154,154,100.0,01042
1,43,188,188,100.0,01043
1,44,66,66,100.0,01044
1,45,202,202,100.0,01045
26,1,123,123,100.0,26001
26,2,155,155,100.0,26002
26,3,148,148,100.0,26003
26,4,113,113,100.0,26004
26,5,189,189,100.0,26005
26,6,102,102,100.0,26006
26,7,112,112,100.0,26007
26,8,134,134,100.0,26008
26,9,77,77,100.0,26009
26,10,102,102,100.0,26010
26,11,130,130,100.0,26011
26,12,89,89,100.0,26012
26,13,146,146,100.0,26013
26,14,91,91,100.0,26014
26,15,115,115,100.0,26015
26,16,87,87,100.0,26016
26,17,91,91,100.0,26017
26,18,87,87,100.0,26018
26,19,224,224,100.0,26019
26,20,154,154,100.0,26020
26,21,144,144,100.0,26021
26,22,98,98,100.0,26022
26,23,89,89,100.0,26023
26,24,113,113,100.0,26024
26,25,47,47,100.0,26025
26,26,87,87,100.0,26026
26,27,140,140,100.0,26027
26,28,115,115,100.0,26028
26,29,107,107,100.0,26029
26,30,108,108,100.0,26030
26,31,111,111,100.0,26031
26,32,140,140,100.0,26032
26,33,67,67,100.0,26033
26,34,157,157,100.0,26034
26,35,165,165,100.0,26035
26,36,107,107,100.0,26036
26,37,73,73,100.0,26037
26,38,127,127,100.0,26038
26,39,125,125,100.0,26039
26,40,83,83,100.0,26040
26,41,119,119,100.0,26041
26,42,132,132,100.0,26042
26,43,98,98,100.0,26043
26,44,73,73,100.0,26044
26,45,158,158,100.0,26045
26,46,130,130,100.0,26046
26,47,78,78,100.0,26047
26,48,152,152,100.0,26048
26,49,105,105,100.0,26049
26,50,71,71,100.0,26050
26,51,130,130,100.0,26051
26,52,53,53,100.0,26052
26,53,85,85,100.0,26053
26,54,93,93,100.0,26054
26,55,90,90,100.0,26055
26,56,101,101,100.0,26056
26,57,110,110,100.0,26057
26,58,90,90,100.0,26058
26,59,132,132,100.0,26059
26,60,102,102,100.0,26060
26,61,76,76,100.0,26061
26,62,154,154,100.0,26062
26,63,41,41,100.0,26063
27,4,126,126,100.0,27004
27,13,184,184,100.0,27013
27,18,41,41,100.0,27018
27,27,13,13,100.0,27027
27,32,174,174,100.0,27032
27,35,185,185,100.0,27035
27,36,1,1,100.0,27036
27,38,149,149,100.0,27038
27,59,174,174,100.0,27059
29,2,145,145,100.0,29002
29,6,93,93,100.0,29006
29,7,114,114,100.0,29007
29,10,116,116,100.0,29010
29,24,150,150,100.0,29024
29,30,117,117,100.0,29030
29,36,3,3,100.0,29036
