ward,precinct,total,Edward Harmening,Edward Harmening Percent,James Patrick Doran,James Patrick Doran Percent,Thomas J. Murphy,Thomas J. Murphy Percent,precinct_id
13,1,165,88,53.33,32,19.39,37,22.42,13001
13,2,119,75,63.03,10,8.4,19,15.97,13002
13,3,181,49,27.07,43,23.76,62,34.25,13003
13,4,224,78,34.82,52,23.21,80,35.71,13004
13,5,150,37,24.67,29,19.33,57,38.0,13005
13,6,127,54,42.52,11,8.66,45,35.43,13006
13,7,142,75,52.82,20,14.08,33,23.24,13007
13,8,174,73,41.95,43,24.71,49,28.16,13008
13,9,154,69,44.81,24,15.58,53,34.42,13009
13,10,130,56,43.08,31,23.85,28,21.54,13010
13,11,137,60,43.8,12,8.76,40,29.2,13011
13,12,117,50,42.74,15,12.82,37,31.62,13012
13,13,200,146,73.0,19,9.5,27,13.5,13013
13,14,124,45,36.29,20,16.13,44,35.48,13014
13,15,197,106,53.81,22,11.17,45,22.84,13015
13,16,197,98,49.75,35,17.77,52,26.4,13016
13,17,159,73,45.91,28,17.61,48,30.19,13017
13,18,149,55,36.91,40,26.85,35,23.49,13018
13,19,176,101,57.39,11,6.25,42,23.86,13019
13,20,159,62,38.99,30,18.87,42,26.42,13020
13,21,158,43,27.22,26,16.46,69,43.67,13021
13,22,102,41,40.2,10,9.8,38,37.25,13022
13,23,129,61,47.29,21,16.28,34,26.36,13023
13,24,141,86,60.99,19,13.48,28,19.86,13024
13,25,112,35,31.25,23,20.54,45,40.18,13025
13,26,153,90,58.82,17,11.11,37,24.18,13026
13,27,167,69,41.32,40,23.95,41,24.55,13027
13,28,108,46,42.59,21,19.44,33,30.56,13028
13,29,145,71,48.97,20,13.79,38,26.21,13029
13,30,203,102,50.25,31,15.27,52,25.62,13030
13,31,188,86,45.74,24,12.77,55,29.26,13031
13,32,131,30,22.9,13,9.92,50,38.17,13032
13,33,147,78,53.06,27,18.37,33,22.45,13033
13,34,234,172,73.5,15,6.41,29,12.39,13034
13,35,181,117,64.64,11,6.08,36,19.89,13035
13,36,85,24,28.24,17,20.0,32,37.65,13036
13,37,156,84,53.85,12,7.69,42,26.92,13037
13,38,147,42,28.57,36,24.49,58,39.46,13038
13,39,143,92,64.34,14,9.79,32,22.38,13039
13,40,175,75,42.86,32,18.29,48,27.43,13040
13,41,122,43,35.25,22,18.03,38,31.15,13041
13,42,168,75,44.64,17,10.12,64,38.1,13042
13,43,179,91,50.84,24,13.41,49,27.37,13043
13,44,165,108,65.45,14,8.48,29,17.58,13044
13,45,191,140,73.3,14,7.33,31,16.23,13045
13,46,130,48,36.92,17,13.08,51,39.23,13046
13,47,142,66,46.48,13,9.15,46,32.39,13047
14,1,85,34,40.0,18,21.18,24,28.24,14001
14,2,116,48,41.38,20,17.24,39,33.62,14002
14,3,163,59,36.2,30,18.4,49,30.06,14003
14,4,99,42,42.42,14,14.14,28,28.28,14004
14,6,127,47,37.01,24,18.9,37,29.13,14006
14,9,159,78,49.06,25,15.72,37,23.27,14009
