ward,precinct,total,Mike Quigley,Mike Quigley Percent,precinct_id
1,7,3,3,100.0,01007
1,28,24,24,100.0,01028
1,42,6,6,100.0,01042
29,2,51,51,100.0,29002
29,9,43,43,100.0,29009
29,24,54,54,100.0,29024
29,30,53,53,100.0,29030
29,32,53,53,100.0,29032
30,1,105,105,100.0,30001
30,2,53,53,100.0,30002
30,3,108,108,100.0,30003
30,6,60,60,100.0,30006
30,7,52,52,100.0,30007
30,8,86,86,100.0,30008
30,9,89,89,100.0,30009
30,10,43,43,100.0,30010
30,11,40,40,100.0,30011
30,12,36,36,100.0,30012
30,13,58,58,100.0,30013
30,14,27,27,100.0,30014
30,15,137,137,100.0,30015
30,16,71,71,100.0,30016
30,17,34,34,100.0,30017
30,25,0,0,0.0,30025
30,28,69,69,100.0,30028
30,30,80,80,100.0,30030
30,34,72,72,100.0,30034
30,37,43,43,100.0,30037
30,38,125,125,100.0,30038
30,39,73,73,100.0,30039
30,40,56,56,100.0,30040
31,3,66,66,100.0,31003
31,8,42,42,100.0,31008
31,9,52,52,100.0,31009
31,15,22,22,100.0,31015
31,16,8,8,100.0,31016
31,19,51,51,100.0,31019
31,26,42,42,100.0,31026
31,28,62,62,100.0,31028
31,29,46,46,100.0,31029
31,32,75,75,100.0,31032
31,33,61,61,100.0,31033
31,35,2,2,100.0,31035
31,38,34,34,100.0,31038
31,41,46,46,100.0,31041
31,43,65,65,100.0,31043
31,45,45,45,100.0,31045
31,46,61,61,100.0,31046
31,47,51,51,100.0,31047
31,48,44,44,100.0,31048
31,50,57,57,100.0,31050
32,7,65,65,100.0,32007
32,8,147,147,100.0,32008
32,9,174,174,100.0,32009
32,10,104,104,100.0,32010
32,13,47,47,100.0,32013
32,15,79,79,100.0,32015
32,18,83,83,100.0,32018
32,19,114,114,100.0,32019
32,20,105,105,100.0,32020
32,21,88,88,100.0,32021
32,22,134,134,100.0,32022
32,23,124,124,100.0,32023
32,24,114,114,100.0,32024
32,25,84,84,100.0,32025
32,27,101,101,100.0,32027
32,30,91,91,100.0,32030
32,32,107,107,100.0,32032
32,37,86,86,100.0,32037
32,38,115,115,100.0,32038
32,39,96,96,100.0,32039
32,40,107,107,100.0,32040
32,41,130,130,100.0,32041
32,42,144,144,100.0,32042
32,43,119,119,100.0,32043
32,44,102,102,100.0,32044
32,45,100,100,100.0,32045
32,47,125,125,100.0,32047
32,48,175,175,100.0,32048
32,49,58,58,100.0,32049
32,50,29,29,100.0,32050
33,5,108,108,100.0,33005
33,7,228,228,100.0,33007
33,9,144,144,100.0,33009
33,10,160,160,100.0,33010
33,14,107,107,100.0,33014
33,18,43,43,100.0,33018
33,22,119,119,100.0,33022
33,23,129,129,100.0,33023
33,24,204,204,100.0,33024
33,25,172,172,100.0,33025
35,22,50,50,100.0,35022
35,33,93,93,100.0,35033
36,1,95,95,100.0,36001
36,2,80,80,100.0,36002
36,3,200,200,100.0,36003
36,5,86,86,100.0,36005
36,6,111,111,100.0,36006
36,7,91,91,100.0,36007
36,8,90,90,100.0,36008
36,9,93,93,100.0,36009
36,10,99,99,100.0,36010
36,11,160,160,100.0,36011
36,12,82,82,100.0,36012
36,13,173,173,100.0,36013
36,14,124,124,100.0,36014
36,15,93,93,100.0,36015
36,16,173,173,100.0,36016
36,17,94,94,100.0,36017
36,18,141,141,100.0,36018
36,19,118,118,100.0,36019
36,20,152,152,100.0,36020
36,21,203,203,100.0,36021
36,22,145,145,100.0,36022
36,25,88,88,100.0,36025
36,26,100,100,100.0,36026
36,27,67,67,100.0,36027
36,28,101,101,100.0,36028
36,29,84,84,100.0,36029
36,30,136,136,100.0,36030
36,31,142,142,100.0,36031
36,32,98,98,100.0,36032
36,33,41,41,100.0,36033
36,34,78,78,100.0,36034
36,35,132,132,100.0,36035
36,36,104,104,100.0,36036
36,37,70,70,100.0,36037
36,38,77,77,100.0,36038
36,39,95,95,100.0,36039
36,40,116,116,100.0,36040
36,41,88,88,100.0,36041
36,42,93,93,100.0,36042
36,43,94,94,100.0,36043
36,45,126,126,100.0,36045
36,46,93,93,100.0,36046
36,47,92,92,100.0,36047
36,48,99,99,100.0,36048
36,49,149,149,100.0,36049
36,50,97,97,100.0,36050
36,51,95,95,100.0,36051
36,52,93,93,100.0,36052
36,53,71,71,100.0,36053
36,55,154,154,100.0,36055
37,39,0,0,0.0,37039
38,1,123,123,100.0,38001
38,2,73,73,100.0,38002
38,3,66,66,100.0,38003
38,4,47,47,100.0,38004
38,5,194,194,100.0,38005
38,6,82,82,100.0,38006
38,7,96,96,100.0,38007
38,8,64,64,100.0,38008
38,9,110,110,100.0,38009
38,10,138,138,100.0,38010
38,11,78,78,100.0,38011
38,12,119,119,100.0,38012
38,13,79,79,100.0,38013
38,14,95,95,100.0,38014
38,15,71,71,100.0,38015
38,16,104,104,100.0,38016
38,17,86,86,100.0,38017
38,18,117,117,100.0,38018
38,19,123,123,100.0,38019
38,20,158,158,100.0,38020
38,21,85,85,100.0,38021
38,22,101,101,100.0,38022
38,23,81,81,100.0,38023
38,24,54,54,100.0,38024
38,25,97,97,100.0,38025
38,26,46,46,100.0,38026
38,27,59,59,100.0,38027
38,28,73,73,100.0,38028
38,29,86,86,100.0,38029
38,30,77,77,100.0,38030
38,31,94,94,100.0,38031
38,32,126,126,100.0,38032
38,33,89,89,100.0,38033
38,34,61,61,100.0,38034
38,35,108,108,100.0,38035
38,36,95,95,100.0,38036
38,37,98,98,100.0,38037
38,38,109,109,100.0,38038
38,39,86,86,100.0,38039
38,40,89,89,100.0,38040
38,41,151,151,100.0,38041
38,42,127,127,100.0,38042
38,43,103,103,100.0,38043
38,44,113,113,100.0,38044
38,45,114,114,100.0,38045
38,46,83,83,100.0,38046
38,47,91,91,100.0,38047
38,48,96,96,100.0,38048
38,49,88,88,100.0,38049
38,50,89,89,100.0,38050
38,51,66,66,100.0,38051
38,52,106,106,100.0,38052
38,53,27,27,100.0,38053
39,1,102,102,100.0,39001
39,2,157,157,100.0,39002
39,3,156,156,100.0,39003
39,4,94,94,100.0,39004
39,5,89,89,100.0,39005
39,6,104,104,100.0,39006
39,7,89,89,100.0,39007
39,8,114,114,100.0,39008
39,9,123,123,100.0,39009
39,10,91,91,100.0,39010
39,11,132,132,100.0,39011
39,12,83,83,100.0,39012
39,13,72,72,100.0,39013
39,14,120,120,100.0,39014
39,15,103,103,100.0,39015
39,16,85,85,100.0,39016
39,17,88,88,100.0,39017
39,18,113,113,100.0,39018
39,19,67,67,100.0,39019
39,20,106,106,100.0,39020
39,21,68,68,100.0,39021
39,22,88,88,100.0,39022
39,23,83,83,100.0,39023
39,24,101,101,100.0,39024
39,25,96,96,100.0,39025
39,26,113,113,100.0,39026
39,27,127,127,100.0,39027
39,28,134,134,100.0,39028
39,29,122,122,100.0,39029
39,30,52,52,100.0,39030
39,31,59,59,100.0,39031
39,32,80,80,100.0,39032
39,33,109,109,100.0,39033
39,34,119,119,100.0,39034
39,35,117,117,100.0,39035
39,36,104,104,100.0,39036
39,37,177,177,100.0,39037
39,38,130,130,100.0,39038
39,39,62,62,100.0,39039
39,40,72,72,100.0,39040
39,41,40,40,100.0,39041
39,42,93,93,100.0,39042
39,43,95,95,100.0,39043
39,44,106,106,100.0,39044
39,45,53,53,100.0,39045
39,46,89,89,100.0,39046
39,47,64,64,100.0,39047
40,1,68,68,100.0,40001
40,2,67,67,100.0,40002
40,5,109,109,100.0,40005
40,6,111,111,100.0,40006
40,10,107,107,100.0,40010
40,14,90,90,100.0,40014
40,15,113,113,100.0,40015
40,17,58,58,100.0,40017
