ward,precinct,total,Iris Y. Martinez,Iris Y. Martinez Percent,precinct_id
1,1,26,26,100.0,01001
1,2,58,58,100.0,01002
1,3,52,52,100.0,01003
1,4,78,78,100.0,01004
1,5,63,63,100.0,01005
1,7,72,72,100.0,01007
1,8,80,80,100.0,01008
1,9,88,88,100.0,01009
1,10,80,80,100.0,01010
1,11,53,53,100.0,01011
1,12,96,96,100.0,01012
1,13,120,120,100.0,01013
1,14,66,66,100.0,01014
1,15,74,74,100.0,01015
1,16,53,53,100.0,01016
1,17,48,48,100.0,01017
1,18,81,81,100.0,01018
1,19,56,56,100.0,01019
1,20,105,105,100.0,01020
1,21,59,59,100.0,01021
1,22,65,65,100.0,01022
1,23,63,63,100.0,01023
1,24,151,151,100.0,01024
1,25,55,55,100.0,01025
1,26,49,49,100.0,01026
1,27,56,56,100.0,01027
1,28,27,27,100.0,01028
1,29,76,76,100.0,01029
1,30,132,132,100.0,01030
1,31,64,64,100.0,01031
1,32,102,102,100.0,01032
1,33,85,85,100.0,01033
1,34,50,50,100.0,01034
1,35,50,50,100.0,01035
1,36,81,81,100.0,01036
1,37,76,76,100.0,01037
1,38,41,41,100.0,01038
1,39,78,78,100.0,01039
1,40,24,24,100.0,01040
1,41,63,63,100.0,01041
1,42,47,47,100.0,01042
1,43,76,76,100.0,01043
1,44,3,3,100.0,01044
1,45,84,84,100.0,01045
1,46,74,74,100.0,01046
1,47,64,64,100.0,01047
1,48,46,46,100.0,01048
1,49,34,34,100.0,01049
1,50,54,54,100.0,01050
3,13,70,70,100.0,03013
11,1,1,1,100.0,11001
11,3,82,82,100.0,11003
11,10,82,82,100.0,11010
11,18,15,15,100.0,11018
11,26,0,0,0.0,11026
11,30,9,9,100.0,11030
12,1,54,54,100.0,12001
12,2,70,70,100.0,12002
12,3,73,73,100.0,12003
12,4,47,47,100.0,12004
12,5,66,66,100.0,12005
12,6,59,59,100.0,12006
12,7,84,84,100.0,12007
12,8,105,105,100.0,12008
12,9,60,60,100.0,12009
12,10,71,71,100.0,12010
12,11,112,112,100.0,12011
12,12,41,41,100.0,12012
12,13,106,106,100.0,12013
12,14,84,84,100.0,12014
12,15,63,63,100.0,12015
12,16,73,73,100.0,12016
12,17,92,92,100.0,12017
12,18,54,54,100.0,12018
12,19,92,92,100.0,12019
12,20,67,67,100.0,12020
12,21,74,74,100.0,12021
12,22,65,65,100.0,12022
12,23,88,88,100.0,12023
12,24,99,99,100.0,12024
13,3,170,170,100.0,13003
14,1,72,72,100.0,14001
14,3,147,147,100.0,14003
14,4,87,87,100.0,14004
14,5,116,116,100.0,14005
14,6,115,115,100.0,14006
14,7,85,85,100.0,14007
14,8,70,70,100.0,14008
14,9,136,136,100.0,14009
14,10,87,87,100.0,14010
14,11,103,103,100.0,14011
14,12,72,72,100.0,14012
14,13,149,149,100.0,14013
14,14,72,72,100.0,14014
14,15,107,107,100.0,14015
14,16,83,83,100.0,14016
14,17,89,89,100.0,14017
14,18,73,73,100.0,14018
14,19,123,123,100.0,14019
14,20,77,77,100.0,14020
14,21,94,94,100.0,14021
14,22,103,103,100.0,14022
14,23,107,107,100.0,14023
14,24,83,83,100.0,14024
14,26,96,96,100.0,14026
14,27,140,140,100.0,14027
14,29,112,112,100.0,14029
14,30,83,83,100.0,14030
14,31,82,82,100.0,14031
14,32,84,84,100.0,14032
14,33,70,70,100.0,14033
14,34,87,87,100.0,14034
14,35,83,83,100.0,14035
16,21,70,70,100.0,16021
16,32,59,59,100.0,16032
20,4,65,65,100.0,20004
20,8,37,37,100.0,20008
20,15,71,71,100.0,20015
20,21,44,44,100.0,20021
22,1,62,62,100.0,22001
22,2,56,56,100.0,22002
22,3,111,111,100.0,22003
22,4,77,77,100.0,22004
22,5,96,96,100.0,22005
22,6,82,82,100.0,22006
22,8,50,50,100.0,22008
22,9,95,95,100.0,22009
22,10,101,101,100.0,22010
22,11,85,85,100.0,22011
22,12,70,70,100.0,22012
22,13,102,102,100.0,22013
22,14,45,45,100.0,22014
22,15,53,53,100.0,22015
22,16,104,104,100.0,22016
22,17,104,104,100.0,22017
22,18,88,88,100.0,22018
22,20,106,106,100.0,22020
22,22,57,57,100.0,22022
22,23,104,104,100.0,22023
22,24,76,76,100.0,22024
22,25,85,85,100.0,22025
22,26,66,66,100.0,22026
22,27,107,107,100.0,22027
22,28,49,49,100.0,22028
22,29,46,46,100.0,22029
23,9,168,168,100.0,23009
23,24,95,95,100.0,23024
23,29,121,121,100.0,23029
24,44,48,48,100.0,24044
24,53,90,90,100.0,24053
25,1,100,100,100.0,25001
25,2,142,142,100.0,25002
25,5,94,94,100.0,25005
25,6,49,49,100.0,25006
25,7,91,91,100.0,25007
25,8,120,120,100.0,25008
25,9,146,146,100.0,25009
25,11,128,128,100.0,25011
25,12,83,83,100.0,25012
25,13,113,113,100.0,25013
25,15,121,121,100.0,25015
25,17,152,152,100.0,25017
25,19,116,116,100.0,25019
25,20,125,125,100.0,25020
25,22,58,58,100.0,25022
25,23,120,120,100.0,25023
25,24,130,130,100.0,25024
25,30,114,114,100.0,25030
25,31,69,69,100.0,25031
26,1,46,46,100.0,26001
26,2,72,72,100.0,26002
26,3,56,56,100.0,26003
26,4,40,40,100.0,26004
26,5,92,92,100.0,26005
26,6,48,48,100.0,26006
26,7,38,38,100.0,26007
26,8,41,41,100.0,26008
26,9,29,29,100.0,26009
26,10,47,47,100.0,26010
26,11,62,62,100.0,26011
26,12,43,43,100.0,26012
26,13,68,68,100.0,26013
26,14,58,58,100.0,26014
26,15,60,60,100.0,26015
26,16,43,43,100.0,26016
26,18,34,34,100.0,26018
26,19,129,129,100.0,26019
26,20,72,72,100.0,26020
26,21,47,47,100.0,26021
26,22,35,35,100.0,26022
26,23,46,46,100.0,26023
26,24,44,44,100.0,26024
26,25,30,30,100.0,26025
26,26,30,30,100.0,26026
26,27,70,70,100.0,26027
26,28,53,53,100.0,26028
26,29,56,56,100.0,26029
26,30,46,46,100.0,26030
26,31,60,60,100.0,26031
26,32,56,56,100.0,26032
26,34,77,77,100.0,26034
26,35,65,65,100.0,26035
26,36,45,45,100.0,26036
26,37,36,36,100.0,26037
26,38,38,38,100.0,26038
26,39,49,49,100.0,26039
26,40,46,46,100.0,26040
26,41,75,75,100.0,26041
26,42,31,31,100.0,26042
26,43,56,56,100.0,26043
26,44,36,36,100.0,26044
26,45,60,60,100.0,26045
26,46,17,17,100.0,26046
26,47,22,22,100.0,26047
26,48,78,78,100.0,26048
26,49,36,36,100.0,26049
26,50,33,33,100.0,26050
26,51,55,55,100.0,26051
26,52,21,21,100.0,26052
26,53,26,26,100.0,26053
26,54,42,42,100.0,26054
26,55,47,47,100.0,26055
26,56,51,51,100.0,26056
26,57,54,54,100.0,26057
26,58,63,63,100.0,26058
26,59,56,56,100.0,26059
26,60,49,49,100.0,26060
26,61,34,34,100.0,26061
26,62,72,72,100.0,26062
26,63,25,25,100.0,26063
27,13,68,68,100.0,27013
27,18,21,21,100.0,27018
