ward,precinct,total,Jeremy Karpen,Jeremy Karpen Percent,precinct_id
1,7,0,0,0.0,01007
1,9,2,2,100.0,01009
1,13,1,1,100.0,01013
1,20,1,1,100.0,01020
1,24,4,4,100.0,01024
1,29,2,2,100.0,01029
1,30,5,5,100.0,01030
1,31,0,0,0.0,01031
1,34,0,0,0.0,01034
1,38,1,1,100.0,01038
1,39,0,0,0.0,01039
1,41,0,0,0.0,01041
26,8,0,0,0.0,26008
26,19,3,3,100.0,26019
26,34,0,0,0.0,26034
26,51,2,2,100.0,26051
30,9,0,0,0.0,30009
30,18,0,0,0.0,30018
30,19,1,1,100.0,30019
30,25,0,0,0.0,30025
30,36,0,0,0.0,30036
31,1,0,0,0.0,31001
31,2,0,0,0.0,31002
31,4,1,1,100.0,31004
31,5,2,2,100.0,31005
31,6,1,1,100.0,31006
31,7,0,0,0.0,31007
31,9,0,0,0.0,31009
31,11,0,0,0.0,31011
31,13,1,1,100.0,31013
31,14,0,0,0.0,31014
31,16,1,1,100.0,31016
31,18,0,0,0.0,31018
31,19,0,0,0.0,31019
31,22,1,1,100.0,31022
31,28,4,4,100.0,31028
31,30,1,1,100.0,31030
31,31,0,0,0.0,31031
31,32,0,0,0.0,31032
31,33,1,1,100.0,31033
31,38,0,0,0.0,31038
31,41,1,1,100.0,31041
31,46,0,0,0.0,31046
31,47,0,0,0.0,31047
31,48,0,0,0.0,31048
31,49,0,0,0.0,31049
31,50,2,2,100.0,31050
32,14,1,1,100.0,32014
32,16,0,0,0.0,32016
35,1,3,3,100.0,35001
35,3,1,1,100.0,35003
35,5,1,1,100.0,35005
35,6,3,3,100.0,35006
35,7,3,3,100.0,35007
35,8,2,2,100.0,35008
35,9,4,4,100.0,35009
35,10,5,5,100.0,35010
35,11,1,1,100.0,35011
35,12,4,4,100.0,35012
35,13,1,1,100.0,35013
35,14,0,0,0.0,35014
35,15,4,4,100.0,35015
35,16,1,1,100.0,35016
35,17,0,0,0.0,35017
35,18,1,1,100.0,35018
35,19,5,5,100.0,35019
35,20,0,0,0.0,35020
35,21,6,6,100.0,35021
35,24,0,0,0.0,35024
35,25,2,2,100.0,35025
35,27,2,2,100.0,35027
35,28,5,5,100.0,35028
35,29,5,5,100.0,35029
35,30,4,4,100.0,35030
35,31,1,1,100.0,35031
35,33,0,0,0.0,35033
35,34,3,3,100.0,35034
35,36,1,1,100.0,35036
38,53,0,0,0.0,38053
