ward,precinct,total,Mike Quigley,Mike Quigley Percent,Matt Reichel,Matt Reichel Percent,precinct_id
1,7,0,0,0.0,0,0.0,01007
1,28,8,7,87.5,0,0.0,01028
1,42,7,6,85.71,0,0.0,01042
29,2,21,11,52.38,0,0.0,29002
29,9,22,13,59.09,2,9.09,29009
29,24,18,14,77.78,0,0.0,29024
29,30,26,22,84.62,0,0.0,29030
29,32,28,18,64.29,2,7.14,29032
30,1,71,47,66.2,5,7.04,30001
30,2,38,28,73.68,6,15.79,30002
30,3,62,41,66.13,9,14.52,30003
30,6,32,27,84.38,1,3.13,30006
30,7,24,21,87.5,1,4.17,30007
30,8,37,26,70.27,3,8.11,30008
30,9,25,19,76.0,0,0.0,30009
30,10,28,17,60.71,0,0.0,30010
30,11,27,20,74.07,1,3.7,30011
30,12,13,11,84.62,0,0.0,30012
30,13,34,25,73.53,0,0.0,30013
30,14,7,5,71.43,0,0.0,30014
30,15,72,59,81.94,2,2.78,30015
30,16,40,23,57.5,3,7.5,30016
30,17,17,14,82.35,1,5.88,30017
30,25,5,2,40.0,0,0.0,30025
30,28,32,24,75.0,0,0.0,30028
30,30,35,24,68.57,3,8.57,30030
30,34,28,23,82.14,3,10.71,30034
30,37,33,21,63.64,6,18.18,30037
30,38,48,37,77.08,1,2.08,30038
30,39,21,16,76.19,1,4.76,30039
30,40,18,18,100.0,0,0.0,30040
31,3,30,22,73.33,2,6.67,31003
31,8,30,21,70.0,3,10.0,31008
31,9,25,19,76.0,2,8.0,31009
31,15,17,12,70.59,2,11.76,31015
31,16,10,5,50.0,3,30.0,31016
31,19,28,24,85.71,0,0.0,31019
31,26,22,17,77.27,3,13.64,31026
31,28,26,19,73.08,5,19.23,31028
31,29,34,28,82.35,0,0.0,31029
31,32,62,46,74.19,4,6.45,31032
31,33,36,27,75.0,2,5.56,31033
31,35,9,9,100.0,0,0.0,31035
31,38,21,17,80.95,0,0.0,31038
31,41,19,14,73.68,0,0.0,31041
31,43,37,21,56.76,4,10.81,31043
31,45,21,17,80.95,0,0.0,31045
31,46,23,16,69.57,1,4.35,31046
31,47,19,7,36.84,3,15.79,31047
31,48,30,26,86.67,3,10.0,31048
31,50,27,21,77.78,1,3.7,31050
32,7,26,22,84.62,0,0.0,32007
32,8,96,76,79.17,5,5.21,32008
32,9,98,83,84.69,5,5.1,32009
32,10,57,40,70.18,8,14.04,32010
32,13,26,20,76.92,0,0.0,32013
32,15,36,25,69.44,1,2.78,32015
32,18,50,39,78.0,1,2.0,32018
32,19,62,48,77.42,4,6.45,32019
32,20,36,32,88.89,2,5.56,32020
32,21,37,30,81.08,2,5.41,32021
32,22,82,60,73.17,8,9.76,32022
32,23,83,67,80.72,6,7.23,32023
32,24,39,29,74.36,0,0.0,32024
32,25,33,29,87.88,0,0.0,32025
32,27,39,31,79.49,2,5.13,32027
32,30,45,30,66.67,0,0.0,32030
32,32,69,51,73.91,2,2.9,32032
32,37,56,49,87.5,2,3.57,32037
32,38,56,51,91.07,2,3.57,32038
32,39,64,50,78.13,2,3.13,32039
32,40,52,43,82.69,3,5.77,32040
32,41,65,48,73.85,2,3.08,32041
32,42,52,40,76.92,3,5.77,32042
32,43,44,34,77.27,4,9.09,32043
32,44,94,75,79.79,7,7.45,32044
32,45,47,29,61.7,5,10.64,32045
32,47,76,55,72.37,5,6.58,32047
32,48,81,62,76.54,6,7.41,32048
32,49,40,38,95.0,0,0.0,32049
32,50,23,16,69.57,5,21.74,32050
33,5,46,36,78.26,5,10.87,33005
33,7,119,96,80.67,15,12.61,33007
33,9,72,52,72.22,14,19.44,33009
33,10,119,96,80.67,5,4.2,33010
33,14,45,35,77.78,5,11.11,33014
33,18,30,20,66.67,6,20.0,33018
33,22,63,57,90.48,5,7.94,33022
33,23,70,46,65.71,11,15.71,33023
33,24,102,80,78.43,14,13.73,33024
33,25,72,49,68.06,10,13.89,33025
35,22,25,21,84.0,1,4.0,35022
35,33,65,47,72.31,4,6.15,35033
36,1,57,37,64.91,5,8.77,36001
36,2,50,30,60.0,7,14.0,36002
36,3,152,124,81.58,6,3.95,36003
36,5,51,34,66.67,5,9.8,36005
36,6,57,41,71.93,4,7.02,36006
36,7,49,36,73.47,1,2.04,36007
36,8,79,54,68.35,5,6.33,36008
36,9,56,44,78.57,3,5.36,36009
36,10,27,22,81.48,0,0.0,36010
36,11,99,69,69.7,2,2.02,36011
36,12,56,31,55.36,3,5.36,36012
36,13,174,142,81.61,4,2.3,36013
36,14,92,72,78.26,3,3.26,36014
36,15,49,34,69.39,4,8.16,36015
36,16,76,64,84.21,0,0.0,36016
36,17,91,55,60.44,3,3.3,36017
36,18,104,66,63.46,6,5.77,36018
36,19,47,34,72.34,1,2.13,36019
36,20,56,38,67.86,2,3.57,36020
36,21,141,96,68.09,2,1.42,36021
36,22,80,50,62.5,6,7.5,36022
36,25,56,38,67.86,3,5.36,36025
36,26,65,44,67.69,0,0.0,36026
36,27,39,22,56.41,1,2.56,36027
36,28,58,40,68.97,4,6.9,36028
