ward,precinct,total,Charles J. Wheelan,Charles J. Wheelan Percent,Sara Feigenholtz,Sara Feigenholtz Percent,John A. Fritchey,John A. Fritchey Percent,Victor A. Forys,Victor A. Forys Percent,Jan H. Donatelli,Jan H. Donatelli Percent,Frank Annunzio,Frank Annunzio Percent,Carlos A. Monteagudo,Carlos A. Monteagudo Percent,Paul J. Bryar,Paul J. Bryar Percent,Tom Geoghegan,Tom Geoghegan Percent,Cary Capparelli,Cary Capparelli Percent,Mike Quigley,Mike Quigley Percent,Patrick J. O'Connor,Patrick J. O'Connor Percent,precinct_id
1,7,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01007
1,28,18,3,16.67,2,11.11,6,33.33,0,0.0,0,0.0,0,0.0,0,0.0,3,16.67,0,0.0,0,0.0,3,16.67,1,5.56,01028
1,42,25,5,20.0,4,16.0,2,8.0,2,8.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,8,32.0,3,12.0,01042
29,2,36,4,11.11,5,13.89,9,25.0,4,11.11,2,5.56,0,0.0,2,5.56,1,2.78,3,8.33,0,0.0,5,13.89,1,2.78,29002
29,9,50,3,6.0,3,6.0,8,16.0,22,44.0,2,4.0,0,0.0,0,0.0,0,0.0,2,4.0,1,2.0,7,14.0,2,4.0,29009
29,24,17,1,5.88,2,11.76,0,0.0,6,35.29,1,5.88,0,0.0,2,11.76,0,0.0,0,0.0,0,0.0,5,29.41,0,0.0,29024
29,30,45,5,11.11,5,11.11,4,8.89,16,35.56,0,0.0,0,0.0,4,8.89,0,0.0,1,2.22,0,0.0,4,8.89,6,13.33,29030
29,32,47,1,2.13,4,8.51,6,12.77,18,38.3,0,0.0,2,4.26,2,4.26,0,0.0,3,6.38,0,0.0,8,17.02,3,6.38,29032
30,1,84,4,4.76,17,20.24,10,11.9,5,5.95,0,0.0,2,2.38,1,1.19,1,1.19,11,13.1,0,0.0,24,28.57,9,10.71,30001
30,2,71,0,0.0,6,8.45,30,42.25,23,32.39,1,1.41,0,0.0,2,2.82,0,0.0,1,1.41,1,1.41,6,8.45,1,1.41,30002
30,3,94,5,5.32,8,8.51,14,14.89,18,19.15,1,1.06,0,0.0,1,1.06,3,3.19,12,12.77,1,1.06,22,23.4,9,9.57,30003
30,6,58,3,5.17,9,15.52,26,44.83,8,13.79,2,3.45,1,1.72,1,1.72,0,0.0,1,1.72,1,1.72,4,6.9,2,3.45,30006
30,7,45,5,11.11,2,4.44,16,35.56,6,13.33,2,4.44,0,0.0,1,2.22,2,4.44,1,2.22,0,0.0,8,17.78,2,4.44,30007
30,8,79,3,3.8,15,18.99,4,5.06,20,25.32,0,0.0,0,0.0,8,10.13,7,8.86,3,3.8,3,3.8,14,17.72,2,2.53,30008
30,9,126,2,1.59,5,3.97,84,66.67,25,19.84,0,0.0,1,0.79,2,1.59,0,0.0,0,0.0,0,0.0,5,3.97,2,1.59,30009
30,10,49,0,0.0,9,18.37,3,6.12,25,51.02,0,0.0,0,0.0,2,4.08,1,2.04,5,10.2,1,2.04,0,0.0,3,6.12,30010
30,11,57,1,1.75,7,12.28,13,22.81,19,33.33,0,0.0,0,0.0,0,0.0,0,0.0,3,5.26,1,1.75,9,15.79,4,7.02,30011
30,12,35,1,2.86,0,0.0,6,17.14,17,48.57,0,0.0,0,0.0,2,5.71,0,0.0,0,0.0,2,5.71,5,14.29,2,5.71,30012
30,13,48,7,14.58,9,18.75,1,2.08,5,10.42,4,8.33,0,0.0,1,2.08,0,0.0,2,4.17,0,0.0,16,33.33,3,6.25,30013
30,14,19,2,10.53,2,10.53,5,26.32,5,26.32,1,5.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.53,2,10.53,30014
