ward,precinct,total,Tom Hanson,Tom Hanson Percent,Jon Stewart,Jon Stewart Percent,Gregory A. Bedell,Gregory A. Bedell Percent,Daniel S. Kay (Karkusiewicz),Daniel S. Kay (Karkusiewicz) Percent,precinct_id
1,7,0,0,0.0,0,0.0,0,0.0,0,0.0,01007
1,28,0,0,0.0,0,0.0,0,0.0,0,0.0,01028
1,42,2,0,0.0,0,0.0,0,0.0,2,100.0,01042
29,2,1,0,0.0,0,0.0,0,0.0,0,0.0,29002
29,9,3,0,0.0,0,0.0,0,0.0,1,33.33,29009
29,24,0,0,0.0,0,0.0,0,0.0,0,0.0,29024
29,30,1,1,100.0,0,0.0,0,0.0,0,0.0,29030
29,32,0,0,0.0,0,0.0,0,0.0,0,0.0,29032
30,1,5,1,20.0,0,0.0,0,0.0,1,20.0,30001
30,2,3,1,33.33,0,0.0,1,33.33,1,33.33,30002
30,3,3,0,0.0,0,0.0,2,66.67,0,0.0,30003
30,6,5,0,0.0,0,0.0,0,0.0,3,60.0,30006
30,7,0,0,0.0,0,0.0,0,0.0,0,0.0,30007
30,8,6,3,50.0,0,0.0,0,0.0,0,0.0,30008
30,9,2,1,50.0,1,50.0,0,0.0,0,0.0,30009
30,10,3,1,33.33,1,33.33,0,0.0,1,33.33,30010
30,11,2,1,50.0,0,0.0,0,0.0,1,50.0,30011
30,12,1,1,100.0,0,0.0,0,0.0,0,0.0,30012
30,13,11,0,0.0,1,9.09,2,18.18,2,18.18,30013
30,14,3,0,0.0,1,33.33,1,33.33,1,33.33,30014
30,15,6,1,16.67,0,0.0,3,50.0,0,0.0,30015
30,16,8,3,37.5,0,0.0,2,25.0,2,25.0,30016
30,17,1,0,0.0,0,0.0,0,0.0,0,0.0,30017
30,25,2,0,0.0,0,0.0,0,0.0,1,50.0,30025
30,28,3,1,33.33,0,0.0,0,0.0,0,0.0,30028
30,30,4,0,0.0,1,25.0,0,0.0,0,0.0,30030
30,34,1,0,0.0,0,0.0,0,0.0,0,0.0,30034
30,37,1,0,0.0,0,0.0,0,0.0,1,100.0,30037
30,38,3,0,0.0,0,0.0,2,66.67,0,0.0,30038
30,39,3,2,66.67,0,0.0,1,33.33,0,0.0,30039
30,40,0,0,0.0,0,0.0,0,0.0,0,0.0,30040
31,3,3,1,33.33,0,0.0,0,0.0,0,0.0,31003
31,8,3,0,0.0,0,0.0,0,0.0,0,0.0,31008
31,9,2,0,0.0,0,0.0,0,0.0,1,50.0,31009
31,15,2,0,0.0,0,0.0,1,50.0,1,50.0,31015
31,16,2,0,0.0,0,0.0,0,0.0,0,0.0,31016
31,19,3,0,0.0,0,0.0,0,0.0,0,0.0,31019
31,26,0,0,0.0,0,0.0,0,0.0,0,0.0,31026
31,28,2,1,50.0,0,0.0,0,0.0,0,0.0,31028
31,29,4,1,25.0,0,0.0,0,0.0,0,0.0,31029
31,32,5,2,40.0,0,0.0,0,0.0,0,0.0,31032
