ward,precinct,total,Joan McCarthy Lasonde,Joan McCarthy Lasonde Percent,Janice D. Schakowsky,Janice D. Schakowsky Percent,precinct_id
40,4,321,52,16.2,269,83.8,40004
40,9,484,82,16.94,402,83.06,40009
40,10,468,70,14.96,398,85.04,40010
40,18,511,61,11.94,450,88.06,40018
40,22,563,84,14.92,479,85.08,40022
40,25,106,6,5.66,100,94.34,40025
40,26,576,56,9.72,520,90.28,40026
40,27,753,102,13.55,651,86.45,40027
40,28,630,63,10.0,567,90.0,40028
40,31,535,70,13.08,465,86.92,40031
40,33,559,66,11.81,493,88.19,40033
40,35,416,79,18.99,337,81.01,40035
40,36,529,74,13.99,455,86.01,40036
40,37,603,98,16.25,505,83.75,40037
40,39,200,27,13.5,173,86.5,40039
41,1,485,240,49.48,245,50.52,41001
41,2,554,288,51.99,266,48.01,41002
41,4,519,228,43.93,291,56.07,41004
41,5,610,282,46.23,328,53.77,41005
41,7,591,288,48.73,303,51.27,41007
41,8,523,259,49.52,264,50.48,41008
41,10,551,246,44.65,305,55.35,41010
41,11,419,210,50.12,209,49.88,41011
41,13,630,306,48.57,324,51.43,41013
41,15,662,305,46.07,357,53.93,41015
41,17,84,36,42.86,48,57.14,41017
41,18,483,207,42.86,276,57.14,41018
41,20,420,192,45.71,228,54.29,41020
41,23,295,173,58.64,122,41.36,41023
41,25,510,163,31.96,347,68.04,41025
41,28,622,217,34.89,405,65.11,41028
41,29,471,183,38.85,288,61.15,41029
41,31,558,222,39.78,336,60.22,41031
41,33,81,39,48.15,42,51.85,41033
41,34,450,204,45.33,246,54.67,41034
41,36,515,235,45.63,280,54.37,41036
41,37,581,257,44.23,324,55.77,41037
41,40,585,318,54.36,267,45.64,41040
41,41,545,258,47.34,287,52.66,41041
41,42,537,270,50.28,267,49.72,41042
41,43,568,247,43.49,321,56.51,41043
41,44,558,314,56.27,244,43.73,41044
41,45,292,115,39.38,177,60.62,41045
44,3,426,93,21.83,333,78.17,44003
44,4,636,132,20.75,504,79.25,44004
44,7,498,172,34.54,326,65.46,44007
44,24,516,122,23.64,394,76.36,44024
44,35,803,214,26.65,589,73.35,44035
46,1,460,89,19.35,371,80.65,46001
46,2,547,67,12.25,480,87.75,46002
46,4,566,71,12.54,495,87.46,46004
46,5,12,7,58.33,5,41.67,46005
46,6,570,52,9.12,518,90.88,46006
46,7,671,139,20.72,532,79.28,46007
46,8,480,63,13.13,417,86.88,46008
46,9,682,104,15.25,578,84.75,46009
46,11,636,149,23.43,487,76.57,46011
46,12,599,65,10.85,534,89.15,46012
46,13,630,112,17.78,518,82.22,46013
46,14,699,72,10.3,627,89.7,46014
46,15,676,124,18.34,552,81.66,46015
46,16,398,56,14.07,342,85.93,46016
46,17,695,144,20.72,551,79.28,46017
46,18,704,154,21.88,550,78.13,46018
46,20,512,66,12.89,446,87.11,46020
46,21,459,82,17.86,377,82.14,46021
