ward,precinct,total,John G. Mulroe,John G. Mulroe Percent,precinct_id
29,29,288,288,100.0,29029
29,31,147,147,100.0,29031
29,32,354,354,100.0,29032
38,1,346,346,100.0,38001
38,2,323,323,100.0,38002
38,3,380,380,100.0,38003
38,5,372,372,100.0,38005
38,6,379,379,100.0,38006
38,7,345,345,100.0,38007
38,9,393,393,100.0,38009
38,11,358,358,100.0,38011
38,12,304,304,100.0,38012
38,13,363,363,100.0,38013
38,14,416,416,100.0,38014
38,15,357,357,100.0,38015
38,17,403,403,100.0,38017
38,18,383,383,100.0,38018
38,19,419,419,100.0,38019
38,20,367,367,100.0,38020
38,21,322,322,100.0,38021
38,22,356,356,100.0,38022
38,24,413,413,100.0,38024
38,25,322,322,100.0,38025
38,26,374,374,100.0,38026
38,27,381,381,100.0,38027
38,28,432,432,100.0,38028
38,29,362,362,100.0,38029
38,30,345,345,100.0,38030
38,31,402,402,100.0,38031
38,32,389,389,100.0,38032
38,33,386,386,100.0,38033
38,36,357,357,100.0,38036
38,38,357,357,100.0,38038
38,40,374,374,100.0,38040
38,41,387,387,100.0,38041
39,20,468,468,100.0,39020
39,21,380,380,100.0,39021
39,23,400,400,100.0,39023
39,24,443,443,100.0,39024
39,41,4,4,100.0,39041
41,1,377,377,100.0,41001
41,2,411,411,100.0,41002
41,3,374,374,100.0,41003
41,4,448,448,100.0,41004
41,5,488,488,100.0,41005
41,7,471,471,100.0,41007
41,8,402,402,100.0,41008
41,10,456,456,100.0,41010
41,11,438,438,100.0,41011
41,12,416,416,100.0,41012
41,13,430,430,100.0,41013
41,15,516,516,100.0,41015
41,16,395,395,100.0,41016
41,17,412,412,100.0,41017
41,18,352,352,100.0,41018
41,20,310,310,100.0,41020
41,21,409,409,100.0,41021
41,22,414,414,100.0,41022
41,23,374,374,100.0,41023
41,24,358,358,100.0,41024
41,25,359,359,100.0,41025
41,26,383,383,100.0,41026
41,27,330,330,100.0,41027
41,30,395,395,100.0,41030
41,31,423,423,100.0,41031
41,33,359,359,100.0,41033
41,34,334,334,100.0,41034
41,35,461,461,100.0,41035
41,36,378,378,100.0,41036
41,37,457,457,100.0,41037
41,38,363,363,100.0,41038
41,40,437,437,100.0,41040
41,41,396,396,100.0,41041
41,42,413,413,100.0,41042
41,43,419,419,100.0,41043
41,44,433,433,100.0,41044
41,45,368,368,100.0,41045
41,46,409,409,100.0,41046
45,12,395,395,100.0,45012
45,13,361,361,100.0,45013
45,14,564,564,100.0,45014
45,15,536,536,100.0,45015
45,16,347,347,100.0,45016
45,17,468,468,100.0,45017
45,18,434,434,100.0,45018
45,19,218,218,100.0,45019
45,20,308,308,100.0,45020
45,21,345,345,100.0,45021
45,22,373,373,100.0,45022
45,23,380,380,100.0,45023
45,24,312,312,100.0,45024
45,25,251,251,100.0,45025
45,26,207,207,100.0,45026
45,27,383,383,100.0,45027
45,28,330,330,100.0,45028
45,29,259,259,100.0,45029
45,30,412,412,100.0,45030
45,31,321,321,100.0,45031
45,32,263,263,100.0,45032
45,33,274,274,100.0,45033
45,34,439,439,100.0,45034
45,35,413,413,100.0,45035
45,36,400,400,100.0,45036
45,37,380,380,100.0,45037
45,38,355,355,100.0,45038
45,39,379,379,100.0,45039
45,40,401,401,100.0,45040
45,41,365,365,100.0,45041
45,42,399,399,100.0,45042
45,43,390,390,100.0,45043
45,44,381,381,100.0,45044
45,45,256,256,100.0,45045
45,46,304,304,100.0,45046
45,47,299,299,100.0,45047
45,48,317,317,100.0,45048
