ward,precinct,total,Martin A. Sandoval,Martin A. Sandoval Percent,precinct_id
12,2,339,339,100.0,12002
12,6,385,385,100.0,12006
12,7,433,433,100.0,12007
12,10,404,404,100.0,12010
12,11,415,415,100.0,12011
12,12,427,427,100.0,12012
12,13,90,90,100.0,12013
12,14,388,388,100.0,12014
12,15,370,370,100.0,12015
12,16,388,388,100.0,12016
12,17,264,264,100.0,12017
12,18,364,364,100.0,12018
12,20,520,520,100.0,12020
12,22,411,411,100.0,12022
13,1,281,281,100.0,13001
13,2,263,263,100.0,13002
13,3,277,277,100.0,13003
13,4,355,355,100.0,13004
13,5,429,429,100.0,13005
13,6,306,306,100.0,13006
13,7,300,300,100.0,13007
13,8,270,270,100.0,13008
13,9,360,360,100.0,13009
13,10,278,278,100.0,13010
13,11,344,344,100.0,13011
13,12,314,314,100.0,13012
13,13,333,333,100.0,13013
13,14,346,346,100.0,13014
13,15,549,549,100.0,13015
13,16,267,267,100.0,13016
13,17,318,318,100.0,13017
13,18,267,267,100.0,13018
13,19,442,442,100.0,13019
13,20,216,216,100.0,13020
13,21,360,360,100.0,13021
13,22,353,353,100.0,13022
13,23,300,300,100.0,13023
13,24,315,315,100.0,13024
13,25,362,362,100.0,13025
13,26,347,347,100.0,13026
13,27,315,315,100.0,13027
13,28,283,283,100.0,13028
13,29,312,312,100.0,13029
13,30,281,281,100.0,13030
13,31,337,337,100.0,13031
13,32,273,273,100.0,13032
13,33,289,289,100.0,13033
13,34,384,384,100.0,13034
13,35,309,309,100.0,13035
13,36,235,235,100.0,13036
13,37,391,391,100.0,13037
13,38,262,262,100.0,13038
13,39,361,361,100.0,13039
13,40,281,281,100.0,13040
13,41,429,429,100.0,13041
13,42,294,294,100.0,13042
13,43,344,344,100.0,13043
13,44,343,343,100.0,13044
13,45,347,347,100.0,13045
13,46,451,451,100.0,13046
13,47,416,416,100.0,13047
13,48,284,284,100.0,13048
14,1,32,32,100.0,14001
14,3,467,467,100.0,14003
14,6,39,39,100.0,14006
14,10,2,2,100.0,14010
14,11,275,275,100.0,14011
14,15,489,489,100.0,14015
14,18,111,111,100.0,14018
14,22,353,353,100.0,14022
14,23,87,87,100.0,14023
15,6,425,425,100.0,15006
15,9,52,52,100.0,15009
15,10,274,274,100.0,15010
15,11,214,214,100.0,15011
15,12,56,56,100.0,15012
18,15,430,430,100.0,18015
18,43,258,258,100.0,18043
18,46,249,249,100.0,18046
22,4,135,135,100.0,22004
22,5,9,9,100.0,22005
22,7,55,55,100.0,22007
22,10,525,525,100.0,22010
22,13,213,213,100.0,22013
22,14,312,312,100.0,22014
22,15,289,289,100.0,22015
22,16,308,308,100.0,22016
22,17,53,53,100.0,22017
22,18,203,203,100.0,22018
22,19,2,2,100.0,22019
22,22,345,345,100.0,22022
23,1,328,328,100.0,23001
23,2,321,321,100.0,23002
23,4,407,407,100.0,23004
23,5,411,411,100.0,23005
23,6,297,297,100.0,23006
23,7,388,388,100.0,23007
23,8,433,433,100.0,23008
23,9,361,361,100.0,23009
23,10,458,458,100.0,23010
23,11,463,463,100.0,23011
23,12,302,302,100.0,23012
23,13,362,362,100.0,23013
23,14,39,39,100.0,23014
23,15,356,356,100.0,23015
23,16,308,308,100.0,23016
23,17,94,94,100.0,23017
23,18,294,294,100.0,23018
23,20,263,263,100.0,23020
23,21,319,319,100.0,23021
23,22,273,273,100.0,23022
23,23,307,307,100.0,23023
23,24,136,136,100.0,23024
23,25,68,68,100.0,23025
23,26,212,212,100.0,23026
23,27,291,291,100.0,23027
23,28,330,330,100.0,23028
23,29,287,287,100.0,23029
23,30,453,453,100.0,23030
23,32,389,389,100.0,23032
23,33,430,430,100.0,23033
23,34,401,401,100.0,23034
23,35,255,255,100.0,23035
23,36,316,316,100.0,23036
23,37,199,199,100.0,23037
23,38,304,304,100.0,23038
23,39,400,400,100.0,23039
24,16,378,378,100.0,24016
