ward,precinct,total,Cynthia Soto,Cynthia Soto Percent,precinct_id
1,1,509,509,100.0,01001
1,3,593,593,100.0,01003
1,4,550,550,100.0,01004
1,5,542,542,100.0,01005
1,6,490,490,100.0,01006
1,8,38,38,100.0,01008
1,10,637,637,100.0,01010
1,11,420,420,100.0,01011
1,14,534,534,100.0,01014
1,15,472,472,100.0,01015
1,17,304,304,100.0,01017
1,18,544,544,100.0,01018
1,20,422,422,100.0,01020
1,21,547,547,100.0,01021
1,22,339,339,100.0,01022
1,24,455,455,100.0,01024
1,25,477,477,100.0,01025
1,26,274,274,100.0,01026
1,27,524,524,100.0,01027
1,29,494,494,100.0,01029
1,30,585,585,100.0,01030
1,31,503,503,100.0,01031
1,32,397,397,100.0,01032
1,33,504,504,100.0,01033
1,35,629,629,100.0,01035
1,36,527,527,100.0,01036
1,37,360,360,100.0,01037
1,38,525,525,100.0,01038
1,39,423,423,100.0,01039
1,40,470,470,100.0,01040
1,44,448,448,100.0,01044
2,1,175,175,100.0,02001
2,3,588,588,100.0,02003
2,4,444,444,100.0,02004
2,5,603,603,100.0,02005
2,14,540,540,100.0,02014
2,15,56,56,100.0,02015
2,16,466,466,100.0,02016
2,17,86,86,100.0,02017
2,21,520,520,100.0,02021
26,1,381,381,100.0,26001
26,2,341,341,100.0,26002
26,3,423,423,100.0,26003
26,4,195,195,100.0,26004
26,5,336,336,100.0,26005
26,6,309,309,100.0,26006
26,8,200,200,100.0,26008
26,9,322,322,100.0,26009
26,10,342,342,100.0,26010
26,11,329,329,100.0,26011
26,12,389,389,100.0,26012
26,13,216,216,100.0,26013
26,14,283,283,100.0,26014
26,15,218,218,100.0,26015
26,16,228,228,100.0,26016
26,18,295,295,100.0,26018
26,19,164,164,100.0,26019
26,20,307,307,100.0,26020
26,21,481,481,100.0,26021
26,22,235,235,100.0,26022
26,23,235,235,100.0,26023
26,24,346,346,100.0,26024
26,25,328,328,100.0,26025
26,26,268,268,100.0,26026
26,27,378,378,100.0,26027
26,28,73,73,100.0,26028
26,29,213,213,100.0,26029
26,30,285,285,100.0,26030
26,31,182,182,100.0,26031
26,32,403,403,100.0,26032
26,33,345,345,100.0,26033
26,34,23,23,100.0,26034
26,35,314,314,100.0,26035
26,36,360,360,100.0,26036
26,38,209,209,100.0,26038
26,39,372,372,100.0,26039
26,40,253,253,100.0,26040
26,41,414,414,100.0,26041
26,42,276,276,100.0,26042
26,43,235,235,100.0,26043
26,44,207,207,100.0,26044
26,45,196,196,100.0,26045
26,47,262,262,100.0,26047
26,48,354,354,100.0,26048
26,49,206,206,100.0,26049
27,5,3,3,100.0,27005
27,7,613,613,100.0,27007
27,13,112,112,100.0,27013
27,24,31,31,100.0,27024
27,27,23,23,100.0,27027
27,40,76,76,100.0,27040
27,43,9,9,100.0,27043
31,4,134,134,100.0,31004
31,16,179,179,100.0,31016
35,3,305,305,100.0,35003
35,12,337,337,100.0,35012
35,13,343,343,100.0,35013
35,16,318,318,100.0,35016
35,19,108,108,100.0,35019
35,21,355,355,100.0,35021
36,12,134,134,100.0,36012
37,12,214,214,100.0,37012
37,22,38,38,100.0,37022
