ward,precinct,total,Gary Mandell,Gary Mandell Percent,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,28,169,9,5.33,160,94.67,01028
1,42,65,14,21.54,51,78.46,01042
2,20,89,29,32.58,60,67.42,02020
2,22,667,283,42.43,384,57.57,02022
2,24,581,180,30.98,401,69.02,02024
2,26,541,165,30.5,376,69.5,02026
32,1,502,141,28.09,361,71.91,32001
32,5,36,6,16.67,30,83.33,32005
32,7,655,178,27.18,477,72.82,32007
32,8,762,266,34.91,496,65.09,32008
32,9,645,159,24.65,486,75.35,32009
32,10,662,217,32.78,445,67.22,32010
32,13,657,207,31.51,450,68.49,32013
32,15,600,146,24.33,454,75.67,32015
32,16,606,133,21.95,473,78.05,32016
32,18,593,240,40.47,353,59.53,32018
32,19,594,139,23.4,455,76.6,32019
32,21,646,173,26.78,473,73.22,32021
32,23,637,214,33.59,423,66.41,32023
32,24,510,197,38.63,313,61.37,32024
32,25,610,177,29.02,433,70.98,32025
32,27,614,241,39.25,373,60.75,32027
32,29,166,36,21.69,130,78.31,32029
32,30,638,231,36.21,407,63.79,32030
32,33,305,108,35.41,197,64.59,32033
32,34,77,14,18.18,63,81.82,32034
32,36,26,6,23.08,20,76.92,32036
32,37,350,82,23.43,268,76.57,32037
32,38,614,179,29.15,435,70.85,32038
32,39,705,288,40.85,417,59.15,32039
32,40,668,185,27.69,483,72.31,32040
32,41,654,204,31.19,450,68.81,32041
32,42,571,160,28.02,411,71.98,32042
33,3,117,30,25.64,87,74.36,33003
33,5,117,23,19.66,94,80.34,33005
33,8,779,167,21.44,612,78.56,33008
33,10,557,112,20.11,445,79.89,33010
33,20,93,13,13.98,80,86.02,33020
33,23,664,118,17.77,546,82.23,33023
33,24,769,142,18.47,627,81.53,33024
43,2,653,253,38.74,400,61.26,43002
43,6,494,178,36.03,316,63.97,43006
43,9,668,241,36.08,427,63.92,43009
43,16,759,272,35.84,487,64.16,43016
43,17,545,222,40.73,323,59.27,43017
43,18,726,299,41.18,427,58.82,43018
43,20,694,231,33.29,463,66.71,43020
43,21,681,244,35.83,437,64.17,43021
43,22,464,146,31.47,318,68.53,43022
43,24,529,188,35.54,341,64.46,43024
43,29,652,228,34.97,424,65.03,43029
43,30,818,261,31.91,557,68.09,43030
43,31,619,203,32.79,416,67.21,43031
43,37,767,206,26.86,561,73.14,43037
43,39,719,235,32.68,484,67.32,43039
43,40,499,147,29.46,352,70.54,43040
43,41,843,272,32.27,571,67.73,43041
43,44,621,224,36.07,397,63.93,43044
43,46,381,131,34.38,250,65.62,43046
44,2,670,193,28.81,477,71.19,44002
44,9,642,213,33.18,429,66.82,44009
44,11,472,138,29.24,334,70.76,44011
44,16,746,222,29.76,524,70.24,44016
44,25,636,188,29.56,448,70.44,44025
44,30,787,219,27.83,568,72.17,44030
47,1,404,99,24.5,305,75.5,47001
47,2,628,173,27.55,455,72.45,47002
47,3,601,159,26.46,442,73.54,47003
47,4,653,168,25.73,485,74.27,47004
47,5,158,29,18.35,129,81.65,47005
47,6,723,167,23.1,556,76.9,47006
47,7,581,118,20.31,463,79.69,47007
47,8,629,161,25.6,468,74.4,47008
47,9,573,151,26.35,422,73.65,47009
47,11,650,162,24.92,488,75.08,47011
47,12,687,135,19.65,552,80.35,47012
47,13,569,87,15.29,482,84.71,47013
47,14,577,151,26.17,426,73.83,47014
47,16,597,109,18.26,488,81.74,47016
47,17,600,138,23.0,462,77.0,47017
47,18,647,150,23.18,497,76.82,47018
47,21,582,97,16.67,485,83.33,47021
47,24,654,140,21.41,514,78.59,47024
47,25,730,151,20.68,579,79.32,47025
47,27,569,142,24.96,427,75.04,47027
47,28,36,6,16.67,30,83.33,47028
47,29,667,161,24.14,506,75.86,47029
47,33,644,171,26.55,473,73.45,47033
47,35,637,176,27.63,461,72.37,47035
47,39,612,113,18.46,499,81.54,47039
47,40,606,106,17.49,500,82.51,47040
47,41,90,28,31.11,62,68.89,47041
47,43,634,175,27.6,459,72.4,47043
47,44,621,168,27.05,453,72.95,47044
47,46,562,168,29.89,394,70.11,47046
47,47,770,182,23.64,588,76.36,47047
47,48,56,8,14.29,48,85.71,47048
