ward,precinct,total,Gene Witt,Gene Witt Percent,Sara Feigenholtz,Sara Feigenholtz Percent,precinct_id
2,28,710,252,35.49,458,64.51,02028
2,30,537,202,37.62,335,62.38,02030
2,31,773,281,36.35,492,63.65,02031
2,33,903,308,34.11,595,65.89,02033
2,35,831,313,37.67,518,62.33,02035
2,37,555,157,28.29,398,71.71,02037
2,38,233,102,43.78,131,56.22,02038
2,44,412,152,36.89,260,63.11,02044
27,9,1,0,0.0,1,100.0,27009
27,12,373,129,34.58,244,65.42,27012
27,46,367,129,35.15,238,64.85,27046
43,4,864,333,38.54,531,61.46,43004
43,8,517,156,30.17,361,69.83,43008
43,12,454,138,30.4,316,69.6,43012
43,13,631,160,25.36,471,74.64,43013
43,14,624,210,33.65,414,66.35,43014
43,15,708,245,34.6,463,65.4,43015
43,19,699,234,33.48,465,66.52,43019
43,25,503,130,25.84,373,74.16,43025
43,26,415,102,24.58,313,75.42,43026
43,27,627,204,32.54,423,67.46,43027
43,28,812,257,31.65,555,68.35,43028
43,32,712,213,29.92,499,70.08,43032
43,33,672,247,36.76,425,63.24,43033
43,34,460,145,31.52,315,68.48,43034
43,36,383,124,32.38,259,67.62,43036
43,38,549,223,40.62,326,59.38,43038
43,42,616,156,25.32,460,74.68,43042
43,43,685,265,38.69,420,61.31,43043
44,1,1071,198,18.49,873,81.51,44001
44,3,413,90,21.79,323,78.21,44003
44,4,621,129,20.77,492,79.23,44004
44,5,742,127,17.12,615,82.88,44005
44,6,861,167,19.4,694,80.6,44006
44,7,491,164,33.4,327,66.6,44007
44,8,883,194,21.97,689,78.03,44008
44,10,682,197,28.89,485,71.11,44010
44,11,264,75,28.41,189,71.59,44011
44,12,735,154,20.95,581,79.05,44012
44,13,584,174,29.79,410,70.21,44013
44,14,626,146,23.32,480,76.68,44014
44,15,632,136,21.52,496,78.48,44015
44,17,878,149,16.97,729,83.03,44017
44,18,698,184,26.36,514,73.64,44018
44,19,811,162,19.98,649,80.02,44019
44,20,710,135,19.01,575,80.99,44020
44,21,802,150,18.7,652,81.3,44021
44,22,705,157,22.27,548,77.73,44022
44,23,695,140,20.14,555,79.86,44023
44,24,512,107,20.9,405,79.1,44024
44,25,49,15,30.61,34,69.39,44025
44,26,777,163,20.98,614,79.02,44026
44,27,764,189,24.74,575,75.26,44027
44,28,706,131,18.56,575,81.44,44028
44,29,780,221,28.33,559,71.67,44029
44,31,619,155,25.04,464,74.96,44031
44,32,799,228,28.54,571,71.46,44032
44,33,695,102,14.68,593,85.32,44033
44,34,708,136,19.21,572,80.79,44034
44,35,781,188,24.07,593,75.93,44035
44,36,716,166,23.18,550,76.82,44036
44,37,741,135,18.22,606,81.78,44037
44,38,696,209,30.03,487,69.97,44038
44,39,692,222,32.08,470,67.92,44039
44,40,672,241,35.86,431,64.14,44040
44,41,866,177,20.44,689,79.56,44041
46,3,749,143,19.09,606,80.91,46003
46,5,783,185,23.63,598,76.37,46005
46,7,668,138,20.66,530,79.34,46007
46,9,664,100,15.06,564,84.94,46009
46,10,1039,181,17.42,858,82.58,46010
46,11,620,143,23.06,477,76.94,46011
46,13,631,99,15.69,532,84.31,46013
46,15,670,116,17.31,554,82.69,46015
46,17,681,134,19.68,547,80.32,46017
46,18,691,147,21.27,544,78.73,46018
46,19,436,76,17.43,360,82.57,46019
46,24,685,126,18.39,559,81.61,46024
46,26,304,37,12.17,267,87.83,46026
46,27,783,134,17.11,649,82.89,46027
46,28,616,112,18.18,504,81.82,46028
46,29,483,85,17.6,398,82.4,46029
46,30,654,72,11.01,582,88.99,46030
46,31,674,87,12.91,587,87.09,46031
46,33,718,127,17.69,591,82.31,46033
46,34,743,104,14.0,639,86.0,46034
46,35,742,94,12.67,648,87.33,46035
46,36,601,119,19.8,482,80.2,46036
46,38,671,99,14.75,572,85.25,46038
46,39,610,123,20.16,487,79.84,46039
