ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,Merry Marwig,Merry Marwig Percent,precinct_id
38,2,535,344,64.3,191,35.7,38002
38,7,167,86,51.5,81,48.5,38007
38,12,512,336,65.63,176,34.38,38012
38,17,129,64,49.61,65,50.39,38017
38,20,531,279,52.54,252,47.46,38020
38,24,3,3,100.0,0,0.0,38024
38,28,600,321,53.5,279,46.5,38028
41,1,511,308,60.27,203,39.73,41001
41,2,575,378,65.74,197,34.26,41002
41,3,272,124,45.59,148,54.41,41003
41,4,545,323,59.27,222,40.73,41004
41,5,624,365,58.49,259,41.51,41005
41,7,610,393,64.43,217,35.57,41007
41,8,557,351,63.02,206,36.98,41008
41,10,581,350,60.24,231,39.76,41010
41,11,617,355,57.54,262,42.46,41011
41,13,670,432,64.48,238,35.52,41013
41,15,682,395,57.92,287,42.08,41015
41,16,536,276,51.49,260,48.51,41016
41,17,550,297,54.0,253,46.0,41017
41,18,509,291,57.17,218,42.83,41018
41,20,437,243,55.61,194,44.39,41020
41,21,513,265,51.66,248,48.34,41021
41,22,563,325,57.73,238,42.27,41022
41,23,595,407,68.4,188,31.6,41023
41,25,534,206,38.58,328,61.42,41025
41,26,530,283,53.4,247,46.6,41026
41,27,506,270,53.36,236,46.64,41027
41,31,575,321,55.83,254,44.17,41031
41,33,532,339,63.72,193,36.28,41033
41,34,483,293,60.66,190,39.34,41034
41,35,630,363,57.62,267,42.38,41035
41,36,538,309,57.43,229,42.57,41036
41,37,603,367,60.86,236,39.14,41037
41,40,602,403,66.94,199,33.06,41040
41,41,560,346,61.79,214,38.21,41041
41,42,563,369,65.54,194,34.46,41042
41,43,593,333,56.16,260,43.84,41043
41,44,580,408,70.34,172,29.66,41044
41,45,526,256,48.67,270,51.33,41045
41,46,562,326,58.01,236,41.99,41046
