ward,precinct,total,Victor Horne,Victor Horne Percent,Frances Ann Hurley,Frances Ann Hurley Percent,precinct_id
19,1,442,101,22.85,341,77.15,19001
19,2,614,70,11.4,544,88.6,19002
19,4,559,156,27.91,403,72.09,19004
19,6,510,170,33.33,340,66.67,19006
19,7,474,86,18.14,388,81.86,19007
19,8,566,172,30.39,394,69.61,19008
19,10,577,113,19.58,464,80.42,19010
19,11,519,136,26.2,383,73.8,19011
19,13,580,27,4.66,553,95.34,19013
19,15,662,210,31.72,452,68.28,19015
19,16,431,116,26.91,315,73.09,19016
19,17,459,103,22.44,356,77.56,19017
19,18,415,81,19.52,334,80.48,19018
19,19,602,122,20.27,480,79.73,19019
19,21,525,152,28.95,373,71.05,19021
19,22,513,98,19.1,415,80.9,19022
19,23,496,112,22.58,384,77.42,19023
19,24,18,2,11.11,16,88.89,19024
19,25,461,119,25.81,342,74.19,19025
19,26,519,140,26.97,379,73.03,19026
19,27,473,44,9.3,429,90.7,19027
19,28,555,44,7.93,511,92.07,19028
19,29,533,180,33.77,353,66.23,19029
19,30,430,146,33.95,284,66.05,19030
19,32,432,93,21.53,339,78.47,19032
19,33,378,117,30.95,261,69.05,19033
19,34,463,107,23.11,356,76.89,19034
19,35,443,90,20.32,353,79.68,19035
19,36,677,65,9.6,612,90.4,19036
19,37,467,38,8.14,429,91.86,19037
19,38,439,41,9.34,398,90.66,19038
19,39,221,18,8.14,203,91.86,19039
19,41,489,145,29.65,344,70.35,19041
19,44,566,169,29.86,397,70.14,19044
19,45,489,122,24.95,367,75.05,19045
19,46,502,134,26.69,368,73.31,19046
19,50,413,87,21.07,326,78.93,19050
19,51,547,103,18.83,444,81.17,19051
19,52,581,185,31.84,396,68.16,19052
19,53,461,88,19.09,373,80.91,19053
19,54,419,144,34.37,275,65.63,19054
19,56,139,30,21.58,109,78.42,19056
19,57,401,57,14.21,344,85.79,19057
21,1,448,10,2.23,438,97.77,21001
21,3,479,12,2.51,467,97.49,21003
21,8,491,21,4.28,470,95.72,21008
21,14,521,19,3.65,502,96.35,21014
21,16,422,14,3.32,408,96.68,21016
21,18,519,10,1.93,509,98.07,21018
21,22,123,3,2.44,120,97.56,21022
21,29,194,6,3.09,188,96.91,21029
21,32,445,10,2.25,435,97.75,21032
21,36,103,3,2.91,100,97.09,21036
21,42,157,9,5.73,148,94.27,21042
21,48,100,3,3.0,97,97.0,21048
34,49,58,7,12.07,51,87.93,34049
