ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,precinct_id
1,1,480,480,100.0,01001
1,2,468,468,100.0,01002
1,3,555,555,100.0,01003
1,4,523,523,100.0,01004
1,5,511,511,100.0,01005
1,6,448,448,100.0,01006
1,7,346,346,100.0,01007
1,8,419,419,100.0,01008
1,9,391,391,100.0,01009
1,10,593,593,100.0,01010
1,11,526,526,100.0,01011
1,12,527,527,100.0,01012
1,13,216,216,100.0,01013
1,14,498,498,100.0,01014
1,15,441,441,100.0,01015
1,16,471,471,100.0,01016
1,17,428,428,100.0,01017
1,18,522,522,100.0,01018
1,19,616,616,100.0,01019
1,20,409,409,100.0,01020
1,21,563,563,100.0,01021
1,22,313,313,100.0,01022
1,23,658,658,100.0,01023
1,24,438,438,100.0,01024
1,25,455,455,100.0,01025
1,26,339,339,100.0,01026
1,27,490,490,100.0,01027
1,28,145,145,100.0,01028
1,29,482,482,100.0,01029
1,30,539,539,100.0,01030
1,31,486,486,100.0,01031
1,32,448,448,100.0,01032
1,33,512,512,100.0,01033
1,34,439,439,100.0,01034
1,35,576,576,100.0,01035
1,36,513,513,100.0,01036
1,37,466,466,100.0,01037
1,38,473,473,100.0,01038
1,39,393,393,100.0,01039
1,40,466,466,100.0,01040
1,41,263,263,100.0,01041
1,42,150,150,100.0,01042
1,43,318,318,100.0,01043
1,44,433,433,100.0,01044
2,1,540,540,100.0,02001
2,2,340,340,100.0,02002
2,3,563,563,100.0,02003
2,4,425,425,100.0,02004
2,5,586,586,100.0,02005
2,6,510,510,100.0,02006
2,7,471,471,100.0,02007
2,8,560,560,100.0,02008
2,9,391,391,100.0,02009
2,10,344,344,100.0,02010
2,11,426,426,100.0,02011
2,12,450,450,100.0,02012
2,13,405,405,100.0,02013
2,14,506,506,100.0,02014
2,15,451,451,100.0,02015
2,16,460,460,100.0,02016
2,17,575,575,100.0,02017
2,18,454,454,100.0,02018
2,19,286,286,100.0,02019
2,20,555,555,100.0,02020
2,21,488,488,100.0,02021
2,22,488,488,100.0,02022
2,23,280,280,100.0,02023
2,24,469,469,100.0,02024
2,25,548,548,100.0,02025
2,26,423,423,100.0,02026
2,27,411,411,100.0,02027
2,28,555,555,100.0,02028
2,29,505,505,100.0,02029
2,30,415,415,100.0,02030
2,31,565,565,100.0,02031
2,32,425,425,100.0,02032
2,33,688,688,100.0,02033
2,34,351,351,100.0,02034
2,35,639,639,100.0,02035
2,36,384,384,100.0,02036
2,37,440,440,100.0,02037
2,38,407,407,100.0,02038
2,39,307,307,100.0,02039
2,40,567,567,100.0,02040
2,41,509,509,100.0,02041
2,42,523,523,100.0,02042
2,43,655,655,100.0,02043
2,44,307,307,100.0,02044
2,45,470,470,100.0,02045
2,46,267,267,100.0,02046
3,1,641,641,100.0,03001
3,2,600,600,100.0,03002
3,3,425,425,100.0,03003
3,4,578,578,100.0,03004
3,5,379,379,100.0,03005
3,6,572,572,100.0,03006
3,7,367,367,100.0,03007
3,8,540,540,100.0,03008
3,9,539,539,100.0,03009
3,10,319,319,100.0,03010
3,11,553,553,100.0,03011
3,12,495,495,100.0,03012
3,13,571,571,100.0,03013
3,14,555,555,100.0,03014
3,15,556,556,100.0,03015
3,16,533,533,100.0,03016
3,17,638,638,100.0,03017
3,18,779,779,100.0,03018
3,19,526,526,100.0,03019
3,20,572,572,100.0,03020
3,21,533,533,100.0,03021
3,22,695,695,100.0,03022
3,23,493,493,100.0,03023
