ward,precinct,total,Yes,Yes Percent,No,No Percent,precinct_id
1,1,238,191,80.25,47,19.75,01001
1,2,254,211,83.07,43,16.93,01002
1,3,225,177,78.67,48,21.33,01003
1,4,213,174,81.69,39,18.31,01004
1,5,271,217,80.07,54,19.93,01005
1,6,204,152,74.51,52,25.49,01006
1,7,225,170,75.56,55,24.44,01007
1,8,242,196,80.99,46,19.01,01008
1,9,224,166,74.11,58,25.89,01009
1,10,298,256,85.91,42,14.09,01010
1,11,169,142,84.02,27,15.98,01011
1,12,314,259,82.48,55,17.52,01012
1,13,293,228,77.82,65,22.18,01013
1,14,227,195,85.9,32,14.1,01014
1,15,153,116,75.82,37,24.18,01015
1,16,65,47,72.31,18,27.69,01016
1,17,192,161,83.85,31,16.15,01017
1,18,160,107,66.88,53,33.13,01018
1,19,143,101,70.63,42,29.37,01019
1,20,164,122,74.39,42,25.61,01020
1,21,188,154,81.91,34,18.09,01021
1,22,171,137,80.12,34,19.88,01022
1,23,214,170,79.44,44,20.56,01023
1,24,329,257,78.12,72,21.88,01024
1,25,173,140,80.92,33,19.08,01025
1,26,251,203,80.88,48,19.12,01026
1,27,178,129,72.47,49,27.53,01027
1,28,136,102,75.0,34,25.0,01028
1,29,250,194,77.6,56,22.4,01029
1,30,320,245,76.56,75,23.44,01030
1,31,319,267,83.7,52,16.3,01031
1,32,162,133,82.1,29,17.9,01032
1,33,243,200,82.3,43,17.7,01033
1,34,179,142,79.33,37,20.67,01034
1,35,209,178,85.17,31,14.83,01035
1,36,264,216,81.82,48,18.18,01036
1,37,203,175,86.21,28,13.79,01037
1,38,132,100,75.76,32,24.24,01038
1,39,271,202,74.54,69,25.46,01039
1,40,122,96,78.69,26,21.31,01040
1,41,183,137,74.86,46,25.14,01041
1,42,222,180,81.08,42,18.92,01042
1,43,184,145,78.8,39,21.2,01043
1,44,203,156,76.85,47,23.15,01044
1,45,201,163,81.09,38,18.91,01045
1,46,243,194,79.84,49,20.16,01046
1,47,247,206,83.4,41,16.6,01047
1,48,105,92,87.62,13,12.38,01048
1,49,144,113,78.47,31,21.53,01049
1,50,202,153,75.74,49,24.26,01050
2,1,514,421,81.91,93,18.09,02001
2,2,100,78,78.0,22,22.0,02002
2,3,383,294,76.76,89,23.24,02003
2,4,190,123,64.74,67,35.26,02004
2,5,274,194,70.8,80,29.2,02005
2,6,466,385,82.62,81,17.38,02006
2,7,301,210,69.77,91,30.23,02007
2,8,338,288,85.21,50,14.79,02008
2,9,289,214,74.05,75,25.95,02009
2,10,159,127,79.87,32,20.13,02010
2,11,336,260,77.38,76,22.62,02011
2,12,461,371,80.48,90,19.52,02012
2,13,263,201,76.43,62,23.57,02013
2,14,315,257,81.59,58,18.41,02014
2,15,166,125,75.3,41,24.7,02015
2,16,502,416,82.87,86,17.13,02016
2,17,210,152,72.38,58,27.62,02017
2,18,256,221,86.33,35,13.67,02018
2,19,410,312,76.1,98,23.9,02019
2,20,265,200,75.47,65,24.53,02020
2,21,187,151,80.75,36,19.25,02021
2,22,358,279,77.93,79,22.07,02022
2,23,215,150,69.77,65,30.23,02023
2,24,340,265,77.94,75,22.06,02024
2,25,388,294,75.77,94,24.23,02025
2,26,236,175,74.15,61,25.85,02026
2,27,143,107,74.83,36,25.17,02027
2,28,259,199,76.83,60,23.17,02028
2,29,131,108,82.44,23,17.56,02029
2,30,371,295,79.51,76,20.49,02030
2,31,244,194,79.51,50,20.49,02031
2,32,157,103,65.61,54,34.39,02032
2,33,166,117,70.48,49,29.52,02033
2,34,130,98,75.38,32,24.62,02034
2,35,108,92,85.19,16,14.81,02035
2,36,400,315,78.75,85,21.25,02036
2,37,245,203,82.86,42,17.14,02037
2,38,418,334,79.9,84,20.1,02038
2,39,303,217,71.62,86,28.38,02039
2,40,557,454,81.51,103,18.49,02040
2,41,124,85,68.55,39,31.45,02041
2,42,70,59,84.29,11,15.71,02042
2,43,279,231,82.8,48,17.2,02043
2,44,146,115,78.77,31,21.23,02044
2,45,303,211,69.64,92,30.36,02045
2,46,322,257,79.81,65,20.19,02046
2,47,174,117,67.24,57,32.76,02047
2,48,185,131,70.81,54,29.19,02048
2,49,195,155,79.49,40,20.51,02049
2,50,191,145,75.92,46,24.08,02050
2,51,213,160,75.12,53,24.88,02051
2,52,341,238,69.79,103,30.21,02052
2,53,353,288,81.59,65,18.41,02053
2,54,345,273,79.13,72,20.87,02054
2,55,158,128,81.01,30,18.99,02055
2,56,230,168,73.04,62,26.96,02056
3,1,155,115,74.19,40,25.81,03001
